# 《通用规范汉字表》（2013年） 
# https://github.com/cdtym/digital-table-of-general-standard-chinese-characters
#
# 原表8105字
# 附表一繁体字列2648字（传承字）
# 附表一异体字列1023字
# 全表共计11776=8105+2648+1023字
# 其中133字分别出现2次，去重后共11643字。
# 繁简关系：无繁体组5552、一一对应组2445、复杂对应组108（其有96组一个规范字对应多个繁体字（或传承字））。
# 
# 缺少编码
# 其中有5个异体字字未进行unicode编码，分别是：
# 610_1_3	⿰韋刄 	
# 1360_0_1	⿰王冊 # 1360_0_1可认同到“珊”（参考港台字形，同码异形）
# 2424_0_2	⿰氵⿱⿻夕丶缶 # 2424_0_2疑似可以认同到“滛”U+6EDB，参考校编本《第一批异体字整理表》，顾雪枫 编著，苏州大学出版社
# 3317_0_2	⿰扌㕘	# 3317_0_2疑似可以认同到“撡”U+64A1，参考《语言文字规范标准 (教育部语言文字信息管理司组编)》 
# 4225_0_1	⿰口芉	# 4225_0_1疑似可以认同到“哶”U+54F6

# 序号	汉字	Unicode		
332	奶	U+5976
332_0_1	妳	U+59B3
332_0_2	嬭	U+5B2D
333	奴	U+5974
334	召	U+53EC
335	加	U+52A0
336	皮	U+76AE
337	边	U+8FB9
337_1	邊	U+908A
338	孕	U+5B55
339	发	U+53D1
339_1	發	U+767C
339_2	髮	U+9AEE
340	圣	U+5723
340_1	聖	U+8056
341	对	U+5BF9
341_1	對	U+5C0D
342	台	U+53F0
342_0	台	U+53F0
342_1	臺	U+81FA
342_2	颱	U+98B1
342_3	檯	U+6AAF
343	矛	U+77DB
344	纠	U+7EA0
344_1	糾	U+7CFE
344_1_1	糺	U+7CFA
345	母	U+6BCD
346	幼	U+5E7C
347	丝	U+4E1D
347_1	絲	U+7D72
348	邦	U+90A6
349	式	U+5F0F
350	迂	U+8FC2
351	刑	U+5211
352	戎	U+620E
353	动	U+52A8
353_1	動	U+52D5
353_1_1	働	U+50CD
354	扛	U+625B
354_0_1	摃	U+6443
355	寺	U+5BFA
356	吉	U+5409
357	扣	U+6263
357_0_1	釦	U+91E6
358	考	U+8003
358_0_1	攷	U+6537
359	托	U+6258
359_0_1	託	U+8A17
360	老	U+8001
