
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
龐	BÀNG	T	鴻龐 Hồng Bàng · 𣱆龐 họ Bàng	U+9F90
氷	BĂNG	T	㨂氷 đóng băng · 氷𬰊 băng giá · 氷翁 băng ông	U+6C37
氷	bâng	T	氷傾 bâng khuâng · 氷撾 bâng quơ	
崩	BĂNG	T	崩遐 băng hà · 崩駕 băng giá ·崩血 băng huyết · 𣇟崩 sao băng	U+5D29
繃	BĂNG	5	繃抪 băng bó · 繃𢬣 băng tay ·㧅繃 đeo băng · 𧦕繃 ghế băng · 茹繃 nhà băng [摱]	U+7E43
𬦋	băng	T	𬦋過 băng qua · 消𬦋 tiêu băng · 𬦋涳 băng xăng · 越𤂬𬦋嵃 vượt suối băng ngàn	U+2C98B
朋	BẰNG	T	朋友 bằng hữu	[翻] U+670B
憑	BẰNG	3	憑證 bằng chứng · 文憑 văn bằng · 證明憑事寔 chứng minh bằng sự thực	U+6191
鵬	BẰNG	T	𪀄鵬 chim bằng	U+9D6C
捠	banh	T	捠眜 banh mắt · 𤏬捠 sáng banh · 跢捠 đá banh [摱] · 參捠 sâm banh (panh) [摱]	U+6360
餅	bánh	T	餅蒸 bánh chưng · 餅麪 bánh mì · 餅車 bánh xe · 餅梩 bánh lái	[異] 𩛄 U+9905
彭	BÀNH	T	𣱆彭 họ Bành	U+5F6D
彭	bành	T	𧦕彭 ghế bành · 腥彭 tanh bành [𠸨] · 彭蘇 bành-tô [摱]	
包	BAO	1	包襆 bao bọc · 包劍 bao kiếm ·包含 bao hàm · 包容 bao dung	[翻] U+5305
包	bao	1	包饒 bao nhiêu · 包𣇞 bao giờ ·炳包 bảnh bao [𠸨]	[翻]
保	BẢO	2	保護 bảo hộ · 擔保 đảm bảo ·保持 bảo trì · 保行 bảo hành	U+4FDD
保	BỬU	2		⇔ 保 bảo [翻]
保	bầu	2	保舉 bầu cử · 評保 bình bầu · 𠫾保 đi bầu	[翻]
𠸒	bảo	3	勸𠸒 khuyên bảo · 𠰺𠸒 dạy bảo	U+20E12
寶（宝）	BẢO	3	寶物 bảo vật · 寶劍 bảo kiếm	U+5BF6 (U+5B9D)
寶（宝）	BỬU	3	文房四寶 văn phòng tứ bửu ·寶貝 bửu bối	⇔ 寶 bảo
寶（宝）	báu	3	貴寶 quý báu · 寶物 báu vật ·珠寶 châu báu	
豹	BÁO	T	豹𤜬 báo săn · 豹獅子 báo sư tử	U+8C79
報	BÁO	1	報誌 báo chí · 報恩 báo ân · 報讎 báo thù · 茹報 nhà báo · 報夢 báo mộng · 報信 báo tin	U+5831
刨	BÀO	4	刨楛 bào gỗ · 丐刨 cái bào	U+5228
刨	BÀO	4	炮製 bào chế	U+70AE
炮	PHÁO	3	炮臺 pháo đài · 炮花 pháo hoa	
袍	BÀO	T	襖袍 áo bào	U+888D
抱	BÃO	T	懷抱 hoài bão	U+62B1
雹	bão	T	𩙍雹 gió bão · 雹𡋥 bão cát · 𩘪雹 dông bão · 𤴬雹 đau bão ·雹咂 bão táp	U+96F9
怉	bạo	T	怉𢢀 bạo dạn · 怉𠰘 bạo miệng · 舉止窒怉 cử chỉ rất bạo	U+6009
暴	BẠO	3	暴力 bạo lực · 粗暴 thô bạo ·暴動 bạo động · 暴行 bạo hành · 殘暴 tàn bạo · 暴虐 bạo ngược	U+66B4
𣔟	bắp	5	𣔟荎 bắp chuối · 𣔟芥 bắp cải · 𣔟蹎 bắp chân	[翻] U+2351F
八	BÁT	T	七八 thất bát · 八仙 bát tiên ·八角 bát giác · 八索 bát sách ·八𬇣 bát nháo · 八𬳜 bát ngát	U+516B
八	bạch	T	八足 bạch tuộc	
八	bét	T	八 bét	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.
般	BÁT	5	般若 Bát Nhã	U+822C
鉢	BÁT	T	鉢𥐨 bát đĩa · 鉢𩚵 bát cơm	U+9262
潑	BÁT	T	活潑 hoạt bát	[翻] U+6F51
拔	BẠT	T	提拔 đề bạt · 拔劍 bạt kiếm	U+62D4
拔	bạt	T	拔𤽶 bạt vía · 拔艚 bạt tầu · 拔命 bạt mạng · 𨄂拔 lang bạt ·拔𦖻 bạt tai · 拔𡶀拫瀧 bạt núi ngăn sông	
扒	bắt	1	扒𫃚 bắt buộc · 扒着 bắt chước · 扒脈 bắt mạch · 扒𡃓 bắt bớ [𠸨] · 扒﨤 bắt gặp	[異] 撥 抔 U+6252
