
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
露	LỘ	2	露𫥨 lộ ra · 露喉 lộ hầu · 露真相 lộ chân tướng · 雨露 vũ lộ	[翻] U+9732
露	lồ	2	裸露 loã lồ · 露露 lồ lộ	[翻]
𢣻	lơ	5	𢣻𠻴 lơ lửng	U+228FB
矑（𪾦）	lờ	5	𣉕矑 tảng lờ	U+77D1 (U+2AFA6)
𢙲	lỡ	T	𢙲廊 lỡ làng · 𢙲蹎 lỡ chân · 𠬃 𢙲 bỏ lỡ	U+22672
𢙲	nhỡ	T		⇔ 𢙲 lỡ
𢙲	loa	T	過𠼱 qua loa	U+20F31
𠼱	nhoe	T	𠼱𥹽 nhoe nhoét [𠸨]	
𥉹	loà	T	𤏬𥉹 sáng loà · 霧𥉹 mù loà · 𥉹眜 loà mắt · 𥉹汊 loà xoà	U+25279
𥉹	nhoà	T	扠𥉹 xoá nhoà · 溂𥉹 nhạt nhoà	
類	LOẠI	2	體類 thể loại · 同類 đồng loại ·種類 chủng loại	U+985E
類	loai	2	類𬿕 loai nhoai [𠸨]	
類	loài	2	類𠊛 loài người · 類物 loài vật · 𥞖類 giống loài	
𤄹	loại	3	𤄹𠬃 loại bỏ · 𤄹𫥨 loại ra	[異] 類 U+24139
摞	loay	5	摞揋 loay hoay [𠸨]	U+645E
鸞（鵉）	LOAN	T	𪀄鸞 chim loan · 鸞鳳 loan phượng	U+9E1E (U+9D49)
鸞（鵉）	lang	T	笙鸞 song lang	
亂（乱）	LOẠN	2	亂世 loạn thế · 亂臣 loạn thần · 混亂 hỗn loạn · 擾亂 nhiễu loạn	U+4E82 (U+4E71)
亂（乱）	loàn	2	凌亂 lăng loàn	
刷	LOÁT	2	流刷 lưu loát · 印刷 ấn loát	U+5237
刷	loạt	2	𠬠刷 một loạt · 𪥘󠄁刷 cả loạt	
漉	lọc	5	渃漉 nước lọc · 紙漉 giấy lọc ·譔漉 chọn lọc	U+6F09
鹿	LỘC	T	鹿茸 lộc nhung · 騎鹿 cưỡi lộc	U+9E7F
祿	LỘC	5	俸祿 bổng lộc · 福祿 phúc lộc	[翻] U+797F
祿	lỏi	5	蹥𨇒 len lỏi [𠸨]	U+281D2
𨇒	lủi	T	𨇒𠅒 lủi mất · 𨄺𨇒 chui lủi · 𨇒蹆 lủi thủi	
𨇒	lui	T	𨇒𨇒 lui lủi [𠸨]	⇔ 𨇒 lủi
雷	LÔI	T	地雷 địa lôi · 魚雷 ngư lôi · 雷雨 lôi vũ	U+96F7
擂	lôi	4	擂捁 lôi kéo · 擂催 lôi thôi	U+64C2
𡓃	lối	5	塘𡓃 đường lối · 無𡓃 vô lối ·吶𡓃 nói lối	U+214C3
磊	LỖI	T	磊落 lỗi lạc	U+78CA
磊	lũi	T	啉磊 lầm lũi	
磊	rỏi	T	𰧄磊 rắn rỏi [𠸨]	
纇	LỖI	2	𡍚纇 lầm lỗi · 吀纇 xin lỗi · 赦纇 tha lỗi	U+7E87
洡	lội	T	𣵰洡 lặn lội	U+6D21
𠳒	lời	3	𠳒吶 lời nói	[異] 唎 U+20CD2
𠳒	nhời	3	𠳒𨤰 nhời nhẽ	⇔ 𠳒 lời
利	LỢI	1	利息 lợi tức · 益利 ích lợi	"格讀𧵑「利 lị」爲𠼤諱時 𠸗。 Cách đọc của ""利 lị"" vì kiêng huý thời xưa. U+5229"
利	lì	1	利市 lì xì [摱]	
利	lời	1	利賚 lời lãi · 𠬠𲂪𦊚利 một vốn bốn lời	
俐	LỢI	T	伶俐 lanh lợi	U+4FD0
㖮	lon	T	𬨠㖮 lên lon [摱] · 㖮噂 lon ton	[翻] U+35AE
𪵅	lốn	3	胡𪵅 hồ lốn · 𪵅𥇈 lốn nhốn	U+2AD45
𪵅	lộn	3	𢪱𪵅 vật lộn	
𡘯	lớn	1	𡘯嘮 lớn lao [𠸨] · 𫰅𡘯 to lớn · 𡘯猛 lớn mạnh	[異] 𣁔 U+2162F
𡘯	nhớn	1		⇔ 𡘯 lớn
𤞼	lợn	T	𤞼𤞖 lợn lòi · 𤞼𡹃 lợn rừng	U+247BC
隆	LONG	3	隆重 long trọng	U+9686
龍（竜）	LONG	3	恐龍 khủng long · 蛟龍 giao long · 龍眼 long nhãn	U+9F8D (U+7ADC)
儱（𫣏）	long	T	儱伶 long lanh · 儱銊 long nhong [聲] · 儱淙 long tong [聲]	U+5131 (U+2B8CF)
攏（𢲣）	long	T	𪘵攏 răng long · 攏𣁲 long đong	U+650F (U+22CA3)
挵	lỏng	T	挵𣱾 lỏng lẻo · 挵𥵾 lỏng chỏng · 𠬃挵 bỏ lỏng · 抯挵 thả lỏng · 摕挵 nới lỏng · 質挵 chất lỏng	U+6335
挵	lòng	T	挵𢪬 lòng khòng [𠸨] · 挵𦄷 lòng thòng [𠸨]	
𢚸	lòng	2	𬌓𢚸 tấm lòng · 𢚸𦛌 lòng ruột · 𢝙𢚸 vui lòng · 𣃣𢚸 vừa lòng	U+226B8
𨁦	lõng	5	落𨁦 lạc lõng	U+28066
𣯡	lông	T	𣯡蘿 lông lá · 𣯡𪀄 lông chim ·球𣯡 cầu lông	U+23BE1
哢	lồng	T	哢㗂 lồng tiếng · 哢𪵅 lồng lộn	U+54E2
𣼰	lộng	T	𣼰𡅏 lộng lẫy · 𣼰𣼰 lồng lộng [𠸨]	U+23F30
𣼰	lùng	T	冷𣼰 lạnh lùng	
𣼰	lồng	T	𣼰𣼰 lồng lộng [𠸨]	⇔ 𣼰 lộng
笠	lớp	3	笠學 lớp học · 𬨠笠 lên lớp ·伴共笠 bạn cùng lớp	U+7B20
䘹	lót	T	襖䘹 áo lót	[翻] U+4639
𢯰	lọt	T	𢯰𢚸 lọt lòng · 𢯰㖭 lọt thỏm ·餅𢯰 bánh lọt	[異] 律 U+22BF0
蛻	lột	T	蛻殼 lột xác · 剝蛻 bóc lột	U+86FB
瞜（䁖）	lu	5	瞜𥊚 lu mờ	U+779C (U+4056)
褸（褛）	LŨ	T	襤褸 lam lũ	U+8938 (U+891B)
𬉆󠄁（𬉆）	lũ	T	渃𬉆󠄁 nước lũ · 𬉆󠄁𣼧 lũ lụt · 𬉆󠄁 𦀎 lũ lượt · 佊𬉆󠄁 bè lũ · 𠬠𬉆󠄁𠊛 một lũ người	U+2C246 U+E0101 (U+2C246)
爐（𱪵）	LƯ	T	爐香 lư hương	U+7210 (U+31AB5)
爐（𱪵）	lò	T	丐爐 cái lò · 𤇮爐 bếp lò	
侶	LỮ	T	伴侶 bạn lữ	U+4FB6
侶	lứa	T	侶對 lứa đôi · 共侶 cùng lứa	
旅	LỮ	4	旅團 lữ đoàn · 旅行 lữ hành	U+65C5
慮	LỰ	T	思慮 tư lự · 兩慮 lưỡng lự · 智慮 trí lự	[翻] U+616E
穭	lúa	5	垌穭 đồng lúa · 𥝽穭 cấy lúa ·穭𥡗 lúa má	U+7A6D
穭	ló	5		⇔ 穭 lúa
焒	lửa	5	箭焒 tên lửa · 焒𤇮 lửa bếp	U+7112
驢（𩢬）	lừa	5	𡥵驢 con lừa · 驢馭 lừa ngựa ·驢𨔾行 lừa chở hàng	U+9A62 (U+298AC)
攄	lựa	T	攄譔 lựa chọn · 攄𫥨 lựa ra ·攄𠳒 lựa lời	U+6504
倫	LUÂN	3	倫理 luân lí	U+502B
淪	LUÂN	T	沈淪 trầm luân	U+6DEA
輪	LUÂN	3	輪流 luân lưu · 輪番 luân phiên · 輪迴 luân hồi	U+8F2A
踚	luẩn	T	踚𨆤 luẩn quẩn	U+8E1A
論	LUẬN	1	討論 thảo luận · 𠴞論 bàn luận	U+8AD6
論	lụn	1	論僎 lụn vụn [𠸨]	
律	LUẬT	1	律例 luật lệ · 律師 luật sư	U+5F8B
𣅶	lúc	2	𠬠𣅶 một lúc · 𣅶尼 lúc này · 𣅶黃昏 lúc hoàng hôn · 𣅶冷𣅶 𤎏 lúc lạnh lúc nóng	U+23176
六	LỤC	T	銃六 súng lục · 彈三十六 đàn tam thập lục · 六角 lục giác	U+516D
六	mục	T	六 mục	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.
陸	LỤC	4	陸地 lục địa · 大陸 đại lục · 洲陸 châu lục · 陸軍 lục quân ·陸續 lục tục	[翻] U+9678
綠	LỤC	T	青綠 xanh lục · 𧋻綠 rắn lục ·綠撰 lục soạn	U+7DA0
磟	lục	T	磟澇 lục lạo · 磟詧 lục soát · 磟濁 lục đục · 磟鉻 lục lạc · 磟 𥑶 lục lọi	U+78DF
錄	LỤC	3	抄錄 sao lục · 紀錄 kỉ lục · 錄事 lục sự	U+9304
溧	lức	T	𤅶溧 Bến Lức	U+6EA7
溧	rớt	T	淶溧 rơi rớt	[翻]
力	LỰC	1	壓力 áp lực · 力田 lực điền	[翻] U+529B
𨆢	lui	T	𨆢𬧐 lui tới	[翻] U+281A2
𨀤	lùi	T	𠫾𨀤 đi lùi · 𨀤𨀈 lùi bước	U+28024
累	LUỸ	4	積累 tích luỹ · 累乘 luỹ thừa ·累進 luỹ tiến	U+7D2F
累	LUỴ	4	連累 liên luỵ · 係累 hệ luỵ · 跪累 quỵ luỵ · 抵累朱家庭 để luỵ cho gia đình	
累	luý	4	醉累 tuý luý [𠸨]	
戀	LUYẾN	4	留戀 lưu luyến · 眷戀 quyến luyến · 戀愛 luyến ái · 戀惜 luyến tiếc · 自戀 tự luyến	U+6200
練	LUYỆN	3	習練 tập luyện · 訓練 huấn luyện	U+7DF4
練	lẹn	3	伶練 lanh lẹn [𠸨]	
鍊	LUYỆN	T	熣鍊 tôi luyện · 鍊𨨧 luyện thép · 鍊鋼 luyện gang	U+934A
瓏（𱯚）	lung	T	瓏玲 lung linh	U+74CF (U+31BDA)
朧（𪱨）	LUNG	T	朦朧 mông lung	[翻] U+6727 (U+2AC68)
籠（篭）	LUNG	T	籠絡 lung lạc	U+7C60 (U+7BED)
籠（篭）	lồng	T	籠𦙏 lồng ngực	
𭟬（𢥆）	lung	T	𭟬摛 lung lay · 𭟬縱 lung tung [𠸨]	U+2D7EC (U+22946)
𢤲	lúng	T	𢤲慫 lúng túng [𠸨]	U+22932
𨓡	lùng	T	追𨓡 truy lùng	U+284E1
壟	LŨNG	T	壟斷 lũng đoạn	U+58DF
𠦻	lưng	T	𠦻鉢𩚵 lưng bát cơm · 𠦻襊𩙍𦝄 lưng túi gió trăng	U+209BB
𨉞	lưng	5	𢖖󠄁𨉞 sau lưng · 絏𨉞 dây lưng	[異] 𦝄 U+2825E
𤠸	lửng	T	𤠸㹥 lửng chó · 𤠸蜜 lửng mật	U+24838
𠻴	lửng	T	𢣻𠻴 lơ lửng	U+20EF4
淩	lừng	4	𡅏淩 lẫy lừng · 㘇淩 vang lừng	[翻] U+6DE9
略	LƯỢC	5	要略 yếu lược · 省略 tỉnh lược · 侵略 xâm lược · 戰略 chiến lược · 疏略 sơ lược	U+7565
𥳂	lược	T	丐𥳂 cái lược · 𥳂𦃀頭 lược chải đầu	U+25CC2
䋥	lưới	T	䋥𦃮 lưới gai · 𦁸䋥 mạng lưới	U+42E5
𢜞	lười	5	𢜞怲 lười biếng	U+2271E
𦧜	lưỡi	T	𦧜𢲨 lưỡi hái · 𦧜鉤 lưỡi câu · 𠷌𦧜 tặc lưỡi	[異] 𥚇 U+269DC
𢹦	lượm	T	收𢹦 thu lượm · 𢹦𢳝 lượm lặt	U+22E66
㳥	luông	3	㳥㗰 luông tuồng	U+3CE5
㳥	sóng	3	𡥵㳥 con sóng · 㳥潮 sóng trào	
㳥	sõng	3	㳥𣻑 sõng soài [𠸨]	⇔ 㳥 sóng
蠬（𧏵）	luồng	T	𧐺蠬 thuồng luồng	U+882C (U+273F5)
蠬（𧏵）	rồng	T	𦞑蠬 vòi rồng · 豆蠬 đậu rồng · 𨉟蠬 mình rồng	
良	LƯƠNG	T	良善 lương thiện · 良心 lương tâm · 改良 cải lương · 良知 lương tri · 不良 bất lương · 邊良邊教 bên lương bên giáo	U+826F
涼	LƯƠNG	T	清涼 thanh lương · 襖涼 áo lương · 淒涼 thê lương	U+6DBC
粱	LƯƠNG	T	高粱 cao lương · 膏粱美味 cao lương mĩ vị	U+7CB1
糧	LƯƠNG	5	糧食 lương thực · 糧俸 lương bổng · 錢糧 tiền lương · 軍糧 quân lương	U+7CE7
兩	LƯỠNG	T	兩極 lưỡng cực · 兩慮 lưỡng lự	U+5169
兩	LƯỢNG	T	𠬠兩平 37,5𨭺 một lượng bằng 37,5 gam	"「兩 lượng」拱得使用欺吶𧗱𢵋量塊量𧵑金類貴。 ""兩 lượng"" cũng được sử dụng khi nói về đo lường khối lượng của kim loại quý."
兩	lạng	T	姅斤𠔭兩 nửa cân tám lạng	
倆	LƯỠNG	4	技倆 kĩ lưỡng	U+5006
量	LƯỢNG	1	數量 số lượng · 質量 chất lượng · 力量 lực lượng · 量詞 lượng từ · 量子 lượng tử · 㧗量䀡所𬏇其產出得包饒其露𨭺𥟉 thử lượng xem thửa ruộng kia sản xuất được bao nhiêu ki-lô-gam thóc	U+91CF
量	lường	1	𢵋量 đo lường · 坤量 khôn lường	
諒	LƯỢNG	T	諒恕 lượng thứ · 固諒對貝𠊛悔纇 có lượng đối với người hối lỗi	U+8AD2
諒	lạng	T	諒山 Lạng Sơn	𡨸尼得讀如格發音尼只𥪝名詞𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này.
迾	lướt	T	𢭹迾 lấn lướt · 𪫦迾 lả lướt	U+8FFE
𦀎	lượt	5	吝𦀎 lần lượt · 𦀎羅 lượt là	U+2600E
𦀎	rịt	5	𦀾𦀎 ràng rịt	[翻]
𣼧	lụt	T	𬉆󠄁𣼧 lũ lụt · 𣼧洡 lụt lội · 難𣼧 nạn lụt · 𣼧藝 lụt nghề	[翻] U+23F27
留	LƯU	2	留徠 lưu lại · 保留 bảo lưu · 存留 tồn lưu · 留念 lưu niệm · 留班 lưu ban	U+7559
流	LƯU	2	交流 giao lưu · 流行 lưu hành ·潮流 trào lưu · 流氓 lưu manh · 流𢰥 lưu đày · 流刷 lưu loát	U+6D41
琉	LƯU	T	琉璃 lưu li · 琉球 Lưu Cầu	[翻] U+7409
劉	LƯU	5	𣱆劉 họ Lưu	U+5289
榴	LỰU	5	榴彈 lựu đạn · 石榴 thạch lựu ·果榴 quả lựu	U+69B4
麻	MA	3	麻黃 ma hoàng · 麻醉 ma tuý	[翻] U+9EBB
麻	mạt	3	麻雀 mạt chược [摱]	
嘛	MA	5	喇嘛 lạt ma	U+561B
摩	MA	T	摩擦 ma sát · 摩羯 Ma Kết	U+6469
魔	MA	4	惡魔 ác ma	U+9B54
䔍	má	T	蔞䔍 rau má	U+450D
媽	má	T	爸媽 ba má	U+5ABD
𦟐	má	T	𦟐紅 má hồng · 𡍢𦟐 gò má · 𦟐𡄁銅錢 má lúm đồng tiền	U+267D0
𥡗	má	T	𥞖𥡗 giống má · 穭𥡗 lúa má ·㹥𥡗 chó má · 稅𥡗 thuế má	U+25857
𣻕	mà	T	𪉽𣻕 mặn mà	U+23ED5
𦓡	mà	1	扔𦓡 nhưng mà	[異] 麻 U+264E1
馬	MÃ	3	海馬 hải mã · 走馬 tẩu mã · 人馬 nhân mã · 馬來 mã lai	U+99AC
瑪	MÃ	T	瑪瑙 mã não	U+746A
瑪	mẽ	T	誇瑪 khoe mẽ · 猛瑪 mạnh mẽ [𠸨] · 苿瑪 mùi mẽ [𠸨]	
碼	MÃ	4	碼數 mã số · 碼化 mã hoá · 密碼 mật mã	U+78BC
𦄀	mã	T	炪𦄀 đốt mã · 𣘊𦄀 đồ mã · 𦄀焒 mã lửa · 卒𦄀 tốt mã · 伮時得丐𦄀催 nó thì được cái mã thôi	U+26100
𢨃	mác	T	槊𢨃 giáo mác · 錆𢨃 thanh mác	U+22A03
莫	MẠC	5	莫大 mạc đại · 𣱆莫 họ Mạc	[翻] U+83AB
莫	mác	5	蔞莫 rau mác · 漫莫 man mác [𠸨]	[翻]
幕	MẠC	T	開幕 khai mạc · 閉幕 bế mạc ·幕府 mạc phủ	U+5E55
漠	MẠC	T	沙漠 sa mạc · 荒漠 hoang mạc · 木漠 mộc mạc · 廊漠 làng mạc	U+6F20
摹	mạc	T	摹𡨸 mạc chữ · 摹幀 mạc tranh	U+6479
縸	mắc	T	縸𦀻 mắc cửi · 曲縸 khúc mắc · 縸難 mắc nạn · 𦁽縸 vướng mắc · 縸搩 mắc kẹt · 縸 𡎡 mắc (mắt) mỏ	[異] 默 𢹇 𫄓 縸 嗼 U+7E38
縸	MẶC	T	水墨 thuỷ mặc	U+58A8
墨	mực	4	墨黰 mực đen · 𩵜墨 cá mực ·墨艚 mực tàu · 絏墨 dây mực ·準墨 chuẩn mực · 𠬠墨 một mực	
默	MẶC	5	沈默 trầm mặc	U+9ED8
嚜	mặc	1	嚜偈 mặc kệ · 嚜價 mặc cả	U+569C
脈	MẠCH	4	短脈 đoản mạch · 動脈 động mạch · 血脈 huyết mạch · 脈𧖱 mạch máu · 房脈 phòng mạch	U+8108
麥	MẠCH	T	穭麥 lúa mạch · 燕麥 yến mạch · 蕎麥 kiều mạch · 黑麥 hắc mạch	U+9EA5
枚	MAI	T	銜枚 hàm mai · 銃火枚 súng hoả mai · 𠸍枚 mỉa mai [𠸨] · 𤗖枚 mảnh mai [𠸨]	[翻] U+679A
埋	MAI	T	埋伏 mai phục · 埋沒 mai một	U+57CB
梅	MAI	T	花梅 hoa mai · 烏梅 ô mai	U+6885
𣈕	mai	4	𣈜𣈕 ngày mai · 𣊿𣈕 chiều mai · 霜𣈕 sương mai	[異] 𪰹 U+23215
𨨦	mai	T	丐𨨦 cái mai · 𨨦𧒍 mai rùa · 𨨦船 mai thuyền · 𨨦墨 mai mực	U+28A26
𠃅	mái	T	𠃅茹 mái nhà · 𠃅𩯀 mái tóc · 𠃅棹 mái chèo	U+200C5
𠃅	mai	T	𠃅𠃅 mai mái [𠸨]	⇔ 𠃅 mái
㜥	mái	T	𪟤㜥 sống mái · 𪃿㜥 gà mái	U+3725
𥕄	mài	T	蔑𥕄 miệt mài [𠸨] · 山𥕄 sơn mài · 𥒥𥕄 đá mài	U+25544
買	MÃI	T	勸買 khuyến mãi · 招兵買馬 chiêu binh mãi mã	U+8CB7
賣	MẠI	4	商賣 thương mại · 賣淫 mại dâm · 賣國 mại quốc	U+8CE3
𠶣	may	4	𠶣慜 may mắn [𠸨] · 𩙍囂𠶣 gió heo may · 𡮳𠶣 mảy may [𠸨]	[異] 埋 枚 U+20DA3
𦁼	may	5	𦁼𦀪 may vá · 𦁼襖 may áo	[異] 埋 枚 U+2607C
𣛠	máy	1	筆𣛠 bút máy · 車𣛠 xe máy · 𣛠𢪮 máy móc	U+236E0
𠋥	mày	5	𠋥𠋺 mày tao	[異] 𠋥 眉 U+202E5
𠋥	mầy	5		⇔ 𠋥 mày
𠋥	mi	5		⇔ 𠋥 mày
𣮮	mày	T	𣯡𣮮 lông mày · 𣮮𩯁 mày râu	[異] 𪵟 U+23BAE
𥻡	mày	5	𥻡吳 mày ngô · 𥻡𤵖傷 mày vết thương	U+25EE1
𠇍	mấy	3	𠇍𣇫 mấy thuở · 固𠇍𠊛 có mấy người	U+201CD
𩻐	mắm	T	渃𩻐 nước mắm	U+29ED0
𦹰	mầm	5	𦹰嫩 mầm non	[翻] U+26E70
𦟣	mẫm	T	𦟣䏜 mẫm mạp [𠸨]	U+267E3
𦟣	mũm	T	𦟣俛 mũm mĩm	[翻]
漫	MAN	3	漫莫 man mác [𠸨] · 漫漫 man man · 攔漫 lan man · 迷漫 mê man	[翻] U+6F2B
漫	MẠN	3	浪漫 lãng mạn	[翻]
瞞	MAN	T	開瞞 khai man · 瞞詐 man trá	U+779E
蠻（蛮）	MAN	T	野蠻 dã man · 蠻𤞪 man rợ · 蠻𤵺 man dại · 綿蠻 miên man	U+883B (U+86EE)
幔	màn	3	𢲫幔 mở màn · 幔𣎀 màn đêm	U+5E54
滿	MÃN	3	美滿 mĩ mãn · 充滿 sung mãn · 滿意 mãn ý · 滿願 mãn nguyện · 𥆾滿眼 nhìn mãn nhãn	U+6EFF
墁	mạn	T	墁逆 mạn ngược · 墁𣵶 mạn xuôi	U+5881
慢	MẠN	5	輕慢 khinh mạn · 慢法 mạn phép	U+6162
慢	mằn	5	悶慢 muộn mằn [𠸨]	
慜	mắn	T	慜𤯰 mắn đẻ · 𤯰𡥵 mắn con · 𠶣慜 may mắn [𠸨] · 𣭻慜 mau mắn [𠸨]	[異] 𠽊 U+615C
𪉽	mặn	T	𪉽濃 mặn nồng	U+2A27D
𪉽	mằn	T	𪉽𪉽 mằn mặn [𠸨]	⇔ 𪉽 mặn
玟	MÂN	5	玟瑰 mân côi	[翻] U+739F
敏	MẪN	T	勤敏 cần mẫn · 敏感 mẫn cảm · 敏幹 mẫn cán	U+654F
茫	MANG	T	溟茫 mênh mang	U+832B
𦛿	mang	T	固𦛿 có mang · 𦛿胎 mang thai	U+266FF
𧋽	mang	T	𧋽𦖻 mang tai · 𧋻䗂𧋽 rắn hổ mang	U+272FD
𫼳	mang	3	𫼳𠫾 mang đi · 𫼳𱠲 mang vác	U+2BF33
芒	màng	T	𬁒芒 mùa màng · 𦝺芒 mỡ màng [𠸨] · 晚芒 muộn màng [𠸨]	U+8292
恾	màng	T	空恾名利 không màng danh lợi · 𢠩恾 mơ màng [𠸨]	U+607E
恾	mòng	T	𢠩恾 mơ mòng [𠸨]	⇔ 恾 màng
𩓜	màng	T	𩓜耳 màng nhĩ · 𩓜貞 màng trinh · 𩓜腛 màng óc · 𩓜蝒 màng nhện	U+294DC
𦁸	mạng	T	𦁸蝒 mạng nhện · 絩𦁸 thêu mạng · 𦁸裙襖 mạng quần áo	[異] 命 U+26078
盲	MANH	T	盲動 manh động	U+76F2
氓	MANH	T	流氓 lưu manh	U+6C13
萌	MANH	T	萌芽 manh nha · 萌心 manh tâm · 萌䋦 manh mối	U+840C
𥯋	manh	5	𥯋襖 manh áo · 懞𥯋 mong manh · 𥯋紙 manh giấy	U+25BCB
𤗖	mảnh	T	𤗖𦘺 mảnh dẻ · 𤗖𥒮 mảnh vỡ · 青𤗖 thanh mảnh · 𤗖枚 mảnh mai [𠸨]	U+245D6
猛	MÃNH	2	猛烈 mãnh liệt · 勇猛 dũng mãnh	U+731B
猛	mạnh	2	猛瑪 mạnh mẽ [𠸨] · 飭猛 sức mạnh · 猛劸 mạnh khoẻ	
孟	MẠNH	5	孟子 Mạnh Tử	U+5B5F
孟	mồng	5	𣈜孟 ngày mồng · 孟𱑕 mồng mười · 孟𠬠 mồng một	
孟	mùng	5		⇔ 孟 mồng
毛	MAO	4	𣯡毛 lông mao · 鴻毛 hồng mao	U+6BDB
毛	mau	4	歌毛 Cà Mau	𡨸尼得讀如格發音尼只𥪝名詞𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này.
𠰭	máo	4	𠴕𠰭 mếu máo [𠸨]	U+20C2D
𠰭	méo	4	𢯒𠰭 bóp méo · 𠰭𢺀 méo mó [𠸨]	[翻]
冒	MẠO	5	冒險 mạo hiểm · 冒名 mạo danh	U+5192
帽	MẠO	T	丐帽 cái mạo · 𢃱帽 mũ mạo	U+5E3D
貌	MẠO	T	容貌 dung mạo	U+8C8C
𦚖	mập	T	𦚖䏜 mập mạp [𠸨]	[翻] U+26696
眨	mập	T	眨𥊚 mập mờ	[翻] U+7728
𩶟	mập	T	𩵜𩶟 cá mập	U+29D9F
𠖾	mát	5	𩙍𠖾 gió mát · 𠖾渼 mát mẻ [𠸨]	U+205BE
𠖾	man	5	𠖾𠖾 man mát [𠸨]	⇔ 𠖾 mát
眜	mắt	2	𦖻眜 tai mắt · 渃眜 nước mắt	[異] 𬑉 U+771C
𩈘	mặt	1	𩈘𣮮 mặt mày · 皮𩈘 bề mặt · 𩈘𦝄 mặt trăng · 𩈘渃 mặt nước	U+29218
𠅒	mất	3	悁𠅒 quên mất · 𠅒跡 mất tích · 𠅒𠖾 mất mát [𠸨]	[異] 秩 𠅎 U+20152
密	MẬT	3	密度 mật độ · 秘密 bí mật · 親密 thân mật · 保密 bảo mật	[翻] U+5BC6
蜜	MẬT	T	蜜螉 mật ong · 蜜月 mật nguyệt · 𦝄蜜 trăng mật · 糖蜜 đường mật	U+871C
蜜	mứt	T	餅蜜 bánh mứt · 蜜𣘛 mứt dâu	
蜜	mất	T		⇔ 蜜 mứt
𦟽	mật	T	肝𦟽 gan mật · 襊𦟽 túi mật ·㑲荄𫫞𦟽 nằm gai nếm mật	U+267FD
𣭻	mau	T	𣭻𫏢 mau chóng	U+23B7B
𧖱	máu	3	䅘𧖱 lai máu · 𧖱湈 máu mủ	U+275B1
𦭷	màu	3	𦭷色 màu sắc · 形𦭷 hình màu	[翻] [異] 牟 U+26B77
𦭷	mầu	3	花𦭷 hoa mầu	[異] 牟
矛	MÂU	T	矛盾 mâu thuẫn	U+77DB
眸	MÂU	T	眸子 mâu tử	U+7738
侔	mầu	T	侔冉 mầu nhiệm	U+4F94
牡	MẪU	T	牡丹 mẫu đơn	U+7261
㑄	mẫu	T	𦎛㑄 gương mẫu · 㑄𦄀 mẫu mã · 㑄墨 mẫu mực · 㑄物 mẫu vật · 𠊛㑄 người mẫu · 矯㑄 kiểu mẫu	U+3444
畝	MẪU	T	畝𬏇 mẫu ruộng · 畝英 mẫu Anh	U+755D
戊	MẬU	4	戊申 Mậu Thân	U+620A
貿	MẬU	T	貿易 mậu dịch	U+8CBF
媄	mẹ	2	媄𡥵 mẹ con · 仛媄 cha mẹ ·㗂媄𤯰 tiếng mẹ đẻ	U+5A84
迷	MÊ	3	昏迷 hôn mê · 迷信 mê tín · 迷宮 mê cung · 迷惑 mê hoặc · 耽迷 đam mê · 迷𢠨 mê mẩn	[翻] U+8FF7
迷	ma	3	班迷屬 Buôn Ma Thuột	
繌	mềm	4	份繌 phần mềm	[翻] [異] 𣠳 U+7E4C
𢗔	mến	3	㤇𢗔 yêu mến	[翻] U+225D4
溟	mênh	T	溟濛 mênh mông	[翻] U+6E9F
命	MỆNH	2	使命 sứ mệnh · 命令 mệnh lệnh · 命名 mệnh danh · 數命 số mệnh	U+547D
命	MẠNG	2	命𠊛 mạng người · 革命 cách mạng · 生命 sinh mạng · 折命 thiệt mạng · 憭命 liều mạng	⇔ 命 mệnh
命	MẠNH	2		⇔ 命 mệnh
貓	mèo	T	𡥵貓 con mèo · 貓𫅷化𤞺 mèo già hoá cáo	U+8C93
𠵐	mép	T	𣱾𠵐 lẻo mép	[翻] U+20D50
衊	mét	5	𦛍衊 tái mét	U+884A
衊	men	5	衊衊 men mét [𠸨]	⇔ 衊 mét
𤻻	mệt	T	𤻻痗 mệt mỏi	U+24EFB
眉	MI	4	𣯡眉 lông mi	[翻] U+7709
𥈢	mí	T	𥈢眜 mí mắt	U+25222
美	MĨ	2	完美 hoàn mĩ · 華美 hoa mĩ ·絕美 tuyệt mĩ · 美滿 mĩ mãn	U+7F8E
美	mỉ	2	細美 tỉ mỉ	
寐	MỊ	T	夢寐 mộng mị	U+5BD0
媚	MỊ	T	媚民 mị dân · 媚娘 mị nương	U+5A9A
媚	mì	T	柔媚 nhu mì	
媚	mị	T	𬌓𡲫媚𩈘 tấm vải mị mặt	
媚	MỊCH	T	覓訪 mịch phỏng	U+8993
覓	mích	T	斥覓 xích mích	
