# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

博	BÁC	5		博士 bác sĩ · 博學 bác học · 博愛 bác ái
搏	BÁC			搏鬥 bác đấu
煿	bác			煿𠨡 bác trứng
駁	BÁC	5		反駁 phản bác · 駁案 bác án · 駁𠬃 bác bỏ
礮	bác	T		大礮 đại bác
博	bạc	5		打博 đánh bạc · 𡥵博 con bạc · 牌博 bài bạc · 𠴞博 bàn bạc
鉑	bạc	5		錢鉑 tiền bạc · 鐄鉑 vàng bạc · 頭鉑 đầu bạc
薄	BẠC	T		負薄 phụ bạc · 背薄 bội bạc · 薄𤾷 bạc phếch · 薄殍 bạc bẽo[𠸨]
礴	BẠC	T		磅礴 bàng bạc
北	BẮC	2		方北 phương bắc · 東北 đông bắc · 北愛縺 Bắc Ai-len
𢫣	bắc	T		𢫣橋 bắc cầu
堛	bậc	4		級堛 cấp bậc · 越堛 vượt bậc · 𠬠堛聖人 một bậc thánh nhân
百	BÁCH	5		百合 bách hợp · 百科 bách khoa · 百貨 bách hoá · 百姓 bách tính
柏	BÁCH	T		松柏 tùng bách · 柏傘 bách tán
迫	BÁCH	4		急迫 cấp bách · 逼迫 bức bách · 窘迫 quẫn bách · 滌迫 sạch bách [𠸨]
八	bạch	T		八足 bạch tuộc
白	BẠCH	4		白金 bạch kim · 明白 minh bạch · 辯白 biện bạch · 剒白 tách bạch
㕷	bạch	T		𤃝㕷 lạch bạch [聲] · 㕷㕷 bạch bạch [聲] · 𢯞比㕷 vỗ bì bạch [聲]
拜	BÁI	T		崇拜 sùng bái · 拜別 bái biệt
湃	bái			滂湃 bàng bái
俳	BÀI			俳句 bài cú
排	BÀI	2		安排 an bài · 排除 bài trừ · 排兵布陣 bài binh bố trận
排	bài	2		排習 bài tập · 排詩 bài thơ
牌	BÀI	T		金牌 kim bài · 牌位 bài vị · 牌博 bài bạc
罷（罢）	BÃI	5		罷工 bãi công · 罷兵 bãi binh
𡓁（𪤄）	bãi	4		𡓁𡋥 bãi cát · 𡓁㴜 bãi biển
敗	BẠI	3		打敗 đánh bại · 敗露 bại lộ · 𥟹敗 lụi bại · 勝敗 thắng bại · 敗將 bại tướng · 腐敗 hủ bại
𠎩	bay	T		衆𠎩 chúng bay
𢒎	bay	2		𣛠𢒎 máy bay · 𢒎𧊉 bay bướm · 𢒎𫅤 bay lượn
𨭍	bay			丐𨭍 cái bay
𠤩（𬙞）	bảy	4		𠤩𱑕 bảy mươi · 次𠤩 thứ bảy
排	bày	2		呈排 trình bày · 解排 giãi bày · 烝排 chưng bày
𣊾	bây	5		𣊾𣇞 bây giờ · 𠏭𣊾 tụi bây
𠻻	bấy	3		𠻻𣇞 bấy giờ · 𠻻𥹰󠄁 bấy lâu
排	bầy	2	⇔ 排 bày	
𠍣	bầy	T		𠍣碎 bầy tôi
擺（摆）	bẫy	T		蹉𠓨擺 sa vào bẫy
𫌶	bậy			𫌶𢗌 bậy bạ
𢵉	bám	5		咹𢵉 ăn bám
稟	BẨM	5		稟報 bẩm báo · 賦稟 phú bẩm · 𡀫稟 lẩm bẩm [𠸨]
𢶸	bấm			𢶸至 bấm chí · 𢶸䏾 bấm bụng
班	BAN	2	班迷屬 Buôn Ma Thuột	班𣎀 ban đêm · 班曥 ban trưa · 班頭 ban đầu · 班編輯 ban biên tập
頒	BAN	4		頒朱 ban cho · 頒發 ban phát · 𠸒頒 bảo ban [𠸨]
𦶾	BAN	T		花𦶾 hoa ban · 𦶾西北 Ban Tây Bắc
癍	BAN			焠發癍 sốt phát ban
本	BẢN	1		基本 cơ bản · 日本 Nhật Bản
坂	bản	T		坂廊 bản làng · 坂社 bản xã
板	BẢN	T		木板 mộc bản · 板𨦙 bản lề
版	BẢN	2		出版 xuất bản · 版草 bản thảo · 再版 tái bản
半	BÁN	4		半島 bán đảo · 北半球 bắc bán cầu · 半𤯩半𣩂 bán sống bán chết
𬥓	bán	3		𧷸𬥓 mua bán · 𬥓行 bán hàng
槃	BÀN	T		涅槃 niết bàn
盤（盘）	BÀN	3		盤纙 bàn là · 琫盤 bóng bàn · 地盤 địa bàn · 盤棋 bàn cờ · 盤𧦕 bàn ghế
磐	BÀN	T		磐石 bàn thạch
蟠	BÀN	T		蟠桃 bàn đào · 蟠龍 bàn long
𠴞	bàn	4		𠴞𠳚 bàn cãi · 𠴞博 bàn bạc · 𠴞論 bàn luận · 𠴞𠾎 bàn tán
伴	BẠN	2		伴佊 bạn bè · 結伴 kết bạn · 伴共笠 bạn cùng lớp
叛	BẠN	T		叛逆 bạn nghịch
𠺚	băn	T		𠺚𡂷 băn khoăn
𢏑	bắn	4		𢏑銃 bắn súng · 𢏑信 bắn tin · 𢏑箭 bắn tên
𣵲	bẩn	T		𣵲吵 bẩn thỉu · 洳𣵲 nhơ bẩn · 垢𣵲 cáu bẩn · 膠𣵲 keo bẩn
𦁂	bấn			慫𦁂 túng bấn
貧	BẦN			貧農 bần nông · 貧窮 bần cùng
蘋	bần	T		𣘃蘋 cây bần
𢠈	bần			𢠈神 bần thần
泮	bận	3		泮𡀷 bận rộn · 每𣈜𠄩泮 mỗi ngày hai bận
絆	bận	T	⇔ 絆 vận	咹絆 ăn bận · 絆襖 bận áo
邦	BANG	3		小邦 tiểu bang · 聯邦 liên bang · 番邦 phiên bang
幫	BANG	T		丐幫 cái bang · 幫會 bang hội · 幫派 bang phái
榜	BẢNG	T		榜眼 bảng nhãn · 副榜 phó bảng · 榜黰 bảng đen · 榜統計 bảng thống kê · 𤥑鬥榜 vòng đấu bảng
榜	bảng	T		榜踉 bảng lảng
鎊	BẢNG			鎊英 bảng Anh
彷	BÀNG	4		彷徨 bàng hoàng
枋	bàng			𣘃枋 cây bàng
㥬	bàng	T		𢜢㥬 bẽ bàng · 坌㥬 bộn bàng
滂	bàng			滂湃 bàng bái
膀	BÀNG	T		膀胱 bàng quang
磅	BÀNG	T		磅礴 bàng bạc
龐	BÀNG	T		鴻龐 Hồng Bàng
冰	BĂNG	T		㨂冰 đóng băng · 冰𬰊 băng giá · 冰翁 băng ông
崩	BĂNG	T		崩遐 băng hà · 崩駕 băng giá · 崩血 băng huyết · 𣇟崩 sao băng
繃	BĂNG	T		繃抪 băng bó · 繃𢬣 băng tay · 㧅繃 đeo băng · 𧦕繃 ghế băng · 茹繃 nhà băng [譯]
𨀰	băng	T		𨀰過 băng qua · 消𨀰 tiêu băng · 𨀰腔 băng xăng · 越𤂬𨀰嵃 vượt suối băng ngàn
平	bằng	1		平僥 bằng nhau · 垌平 đồng bằng · 公平 công bằng · 平𢚸 bằng lòng · 𠬠共𠬠平𠄩 một cộng một bằng hai
朋	BẰNG	T		朋友 bằng hữu
憑	BẰNG	3		憑證 bằng chứng · 文憑 văn bằng · 證明憑事寔 chứng minh bằng sự thực
鵬	BẰNG	T		𪀄鵬 chim bằng
捠	banh	T		捠眜 banh mắt · 𤏬捠 sáng banh · 跢捠 đá banh [譯] · 參捠 sâm banh (panh) [譯]
炳	bảnh			炳包 bảnh bao [𠸨]
餅	bánh	4		餅蒸 bánh chưng · 餅麪 bánh mì · 餅車 bánh xe · 餅梩 bánh lái
彭	BÀNH	T		三彭 tam bành
彭	bành	T		𧦕彭 ghế bành · 腥彭 tanh bành [𠸨] · 彭蘇 bành tô [譯]
膨	BÀNH	5		膨脹 bành trướng · 膨膨 bành bành
包	BAO	1		包襆 bao bọc · 包劍 bao kiếm · 包含 bao hàm · 包容 bao dung
包	bao	1		包饒 bao nhiêu · 包𣇞 bao giờ · 炳包 bảnh bao [𠸨]
保	BẢO	1		保護 bảo hộ · 擔保 đảm bảo · 保持 bảo trì · 保行 bảo hành
寶（宝）	BẢO	4		寶物 bảo vật · 寶劍 bảo kiếm
𠸒	bảo	2		勸𠸒 khuyên bảo · 𠰺𠸒 dạy bảo
豹	BÁO	T		豹𤜬 báo săn · 豹獅子 báo sư tử
報	BÁO	1		報誌 báo chí · 報恩 báo ân · 報讎 báo thù · 茹報 nhà báo · 報夢 báo mộng · 報信 báo tin
刨	BÀO	5		刨楛 bào gỗ · 丐刨 cái bào
泡	BÀO			泡影 bào ảnh
炮	BÀO	3		炮製 bào chế
胞	BÀO	5		胞胎 bào thai · 同胞 đồng bào · 細胞 tế bào
袍	BÀO	T		襖袍 áo bào
鮑	BÀO	T		鮑魚 bào ngư
抱	BÃO	T		懷抱 hoài bão
雹	bão	4		𩙍雹 gió bão · 雹𡋥 bão cát · 𩘪雹 dông bão · 𤴬雹 đau bão · 雹咂 bão táp
飽	BÃO			飽和 bão hoà
怉	bạo	T		怉𢢀 bạo dạn · 怉𠰘 bạo miệng · 舉止窒怉 cử chỉ rất bạo
暴	BẠO	3		暴力 bạo lực · 粗暴 thô bạo · 暴動 bạo động · 暴行 bạo hành · 殘暴 tàn bạo · 暴虐 bạo ngược
𣔟	bắp	5		𣔟荎 bắp chuối · 𣔟芥 bắp cải · 𣔟蹎 bắp chân
乏	bấp			乏𦛼 bấp bênh
潗	bập			吶𤇥潗 nói lập bập
八	BÁT	T		七八 thất bát · 八仙 bát tiên · 八角 bát giác · 八索 bát sách · 八𤂗 bát nháo · 八𠮾 bát ngát · 詩六八 thơ lục bát
般	BÁT	4		般若 Bát Nhã
鉢	BÁT	T		鉢𥐨 bát đĩa · 鉢𩚵 bát cơm
潑	BÁT	T		活潑 hoạt bát
𦪑	bát			𢭄𦪑 cạy bát
拔	BẠT	T		提拔 đề bạt · 拔劍 bạt kiếm
拔	bạt	T		拔𤽶 bạt vía · 拔艚 bạt tầu · 拔命 bạt mạng · 浪拔 lang bạt · 拔𦖻 bạt tai · 拔𡶀拫瀧 bạt núi ngăn sông
紱	bạt			紱𩂏 bạt che [譯] · 茹紱 nhà bạt [譯] · 寮紱 lều bạt [譯] · 𡲫紱 vải bạt [譯]
跋	BẠT			跋涉 bạt thiệp · 𠳒跋 lời bạt
鈸	bạt			鐃鈸 nạo bạt · 銅鈸 đồng bạt [譯]
