# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

纙（𬗢）	là	T		纙裙襖 là quần áo
𨓐	lạ	2		奇𨓐 kì lạ · 𨓐𨓡 lạ lùng · 𨓐常 lạ thường
咧	lác			𢸠咧 khoác lác · 𦠱咧 phét lác
櫟	lác			𦹯櫟 cỏ lác
𥋷	lác			𥋷眜 lác mắt
絡	LẠC	4		聯絡 liên lạc · 籠絡 lung lạc · 脈絡 mạch lạc
落	LẠC	3		豆落 đậu lạc · 油落 dầu lạc · 落類 lạc loài · 落塘 lạc đường · 落僤 lạc đàn · 花落 hoa lạc · 落𡓃 lạc lối · 磊落 lỗi lạc · 部落 bộ lạc
鉻	lạc	T		磟鉻 lục lạc
雒	LẠC	T		鴻雒 Hồng Lạc · 雒越 Lạc Việt
樂	LẠC	2	多樂 Đà Lạt	樂觀 lạc quan · 極樂 cực lạc · 快樂 khoái lạc
駱	LẠC	T		駱駝 lạc đà
鴼	lạc			𪀄鴼 chim lạc
扐	lắc	T		扐頭 lắc đầu · 𢫝扐 rung lắc · 扐攎 lắc lư [𠸨]
釛	lắc			𬌓釛 tấm lắc [譯]
勒	lắc			得勒 Đắk Lắk (Đắc Lắc)
攊	lách	T		掄攊 luồn lách
𥷒	lách			𦰤𥷒 lau lách
𫇀	lách			蘿𫇀 lá lách
𤃝	lạch			𤃝瀧 lạch sông
來（来）	LAI	2		來歷 lai lịch · 外來 ngoại lai · 將來 tương lai · 往來 vãng lai
棶（梾）	lai			𣘃棶 cây lai
萊（莱）	LAI	T		嘉萊 Gia Lai · 萊州 Lai Châu · 蓬萊 bồng lai
䅘（𥟂）	lai	T		䅘𥞖 lai giống · 䅘𧖱 lai máu
𢯦（𫼲）	lai	T		𢯦㫰 lai láng · 𢯦褠裙𬺗𠬠𥯝 lai gấu quần xuống một đốt
𤳆（𱰼）	lai	2	⇔ 𤳆 trai	
二	lái	4	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.	二 lái
俚	lái	T		俚販 lái buôn
梩	lái	5		梩車 lái xe · 餅梩 bánh lái
債	lái	3	⇔ 債 trái	
𬃻	lái	5	⇔ 𬃻 trái	
賚	lãi	5		利賚 lời lãi · 賚率 lãi suất
𧕬（𧕬󠄁）	lãi			𡥵𧕬 con lãi
吏	LẠI	T		官吏 quan lại
徠（徕）	lại	1		𠭤徠 trở lại · 𠫾徠 đi lại
賴	LẠI	5		倚賴 ỷ lại · 無賴 vô lại
摛	lay	T		𭟬摛 lung lay
𠸨	láy			𠸨眜 láy mắt · 詞𠸨 từ láy
𥚒	lạy	T		𥚒主 lạy chúa
唻（𫪁）	lây	5		唻傳 lây truyền
𥙩	lấy	3		𥙩𫯳 lấy chồng · 𡨺𥙩 giữ lấy · 𥙩錢 lấy tiền · 𥙩毒治毒 lấy độc trị độc
浰	lầy			湓浰 bùn lầy · 蹉浰 sa lầy · 浰洡 lầy lội
𡅏（𠲥）	lẫy	T		𡅏淩 lẫy lừng · 𰱂𡅏 lộng lẫy [𠸨]
𢹿（𢬦）	lẫy			𠀧𣎃別𢹿 ba tháng biết lẫy · 𢯒𢹿 bóp lẫy
婪	LAM	5		貪婪 tham lam
嵐	LAM			嵐瘴 lam chướng
藍	LAM	T		青藍 xanh lam · 名藍勝景 danh lam thắng cảnh · 伽藍 già lam
糮	lam			𩚵糮 cơm lam
襤	LAM	T		襤褸 lam lũ
𫜵	làm	1		𫜵役 làm việc · 𫜵弄 làm lụng [𠸨]
覽	LÃM	T		展覽 triển lãm · 遊覽 du lãm
濫	LẠM	4		濫伐 lạm phát · 濫用 lạm dụng · 濫殺 lạm sát
惏	lăm	T		惏惏 lăm lăm · 惏𠻗 lăm le [𠸨] · 咖惏 cà lăm
𠄼	lăm	1		𱑕𠄼 mươi lăm · 包𠄼 bao lăm
𡗋	lắm	3		𥹰󠄁𡗋 lâu lắm · 𡗋𠳒 lắm lời
林	LÂM	4		林山 lâm sơn · 林業 lâm nghiệp · 松林 tùng lâm · 武林 võ lâm · 院翰林 viện hàn lâm
淋	LÂM			淋漓 lâm li
霖	lâm			霖𩂐 lâm dâm
臨	LÂM	4		臨𠓨 lâm vào · 臨危 lâm nguy · 臨時 lâm thời · 臨陣 lâm trận · 臨牀 lâm sàng
𡀫	lẩm			𡀫唫 lẩm cẩm · 𡀫稟 lẩm bẩm [𠸨]
壈	lấm			𡓔湓 lấm bùn · 𡓔𬌓 lấm tấm · 𡓔苫 lấm lem
啉	lầm	T		啉𠽍 lầm rầm
𡍚	lầm	3		𡍚洡 lầm lội · 𡍚炭 lầm than · 𡍚渀 lầm bùn · 差𡍚 sai lầm · 𡍚𢙲 lầm lỡ · 𡍚悋 lầm lẫn
凜	lẫm			凜冽 lẫm liệt
廩	lẫm			廩𥟉 lẫm thóc
𨈇	lẫm			𨓐𨈇 lạ lẫm · 𨈇踸 lẫm chẫm
攔	lan	4		攔傳 lan truyền · 𣼼攔 tràn lan · 攔𪹟 lan toả
欄	LAN	T		欄杆 lan can
蘭	LAN	4		花蘭 hoa lan · 玉蘭 ngọc lan · 木蘭 mộc lan · 荷蘭 Hà Lan
瀾	làn	T		瀾㳥 làn sóng · 瀾調 làn điệu · 瀾塘 làn đường [譯]
籃	làn	T		籃䋥 làn lưới · 籃捇 làn xách
遴	lăn	T		車遴 xe lăn · 遴𫼚 lăn lóc · 遴㳯 lăn tăn
𠓬	lặn	T		𠓬洡 lặn lội
吝	lân	2	⇔ 吝 lần	𦤾吝 đến lân
撛	lân			消撛𠓨本 tiêu lân vào vốn
鄰	LÂN	T		相鄰 tương lân · 鄰近 lân cận · 鄰囉 lân la
燐	LÂN	T		燐晶 lân tinh · 燐光 lân quang · 糞燐 phân lân · 氮燐喀璃 đạm lân ca-li
麟	LÂN			麒麟 kì lân
𢭹	lấn	5		𢭹遏 lấn át · 𢭹𡓃 lấn lối · 𢭹迾 lấn lướt
吝	lần	2		吝𦀎 lần lượt · 吝尼 lần này · 吝嘽 lận đận · 𠀧吝𠀧羅𠃩 ba lần ba là chín
𨁮	lần	T		𨁮摸 lần mò · 𨁮𨀈 lần bước
悋	lẫn	4		悋𪵅 lẫn lộn · 𡍚悋 lầm lẫn
吝	LẬN	2		奸吝 gian lận
郎	LANG	T	潘郎 Phan Rang	偨郎 thầy lang · 牛郎 ngưu lang · 令郎 lệnh lang · 郎君 lang quân · 新郎 tân lang · 官郎 quan lang
浪	LANG	3		浪拔 lang bạt · 浪藉 lang chạ · 浪湯 lang thang [𠸨] · 笠浪 lớp lang [𠸨]
狼	LANG	T		狼藉 lang tạ · 類狼𤢿 loài lang sói · 𢚸狼胣獸 lòng lang dạ thú
廊	LANG	3		行廊 hành lang
榔	LANG	T		𧃷榔 khoai lang · 檳榔 tân lang
𫉱	lang			𫉱𤶒 lang ben
踉	lảng	T		榜踉 bảng lảng
㫰	láng	T		㫰𣈖 láng bóng · 𢯦㫰 lai láng · 㫰𫣂 láng giềng
廊	làng	3		坂廊 bản làng · 廊𥯎 làng xóm · 廊解智 làng giải trí · 廊瓖 làng nhàng
浪	LÃNG	3		浪費 lãng phí · 浪漫 lãng mạn
𢥉	lãng	4		𢥉𠅳 lãng quên
兩	lạng	T		姅斤𠔭兩 nửa cân tám lạng
啢	lạng			啢楛 lạng gỗ
魎	LẠNG			魍魎 võng lạng
凌	LĂNG	4		凌遲 lăng trì · 凌亂 lăng loàn · 凌辱 lăng nhục
掕	lăng	T		掕腔 lăng xăng · 掕芿 lăng nhăng
陵	LĂNG	5		陵墓 lăng mộ · 陵寢 lăng tẩm
棱	LĂNG	T		棱鏡 lăng kính · 六棱 lục lăng
稜	lăng	T		丁稜 đinh lăng · 苓稜 linh lăng
鯪	lăng			𩵜鯪 cá lăng
𢠯	lắng	4		𢠯𦖑 lắng nghe · 𢠯𠘃 lắng đọng · 𢥈𢠯 lo lắng [𠸨]
䗀	lằng			𧋆䗀 ruồi lằng · 䗀嚷 lằng nhằng [𠸨]
𠻴	lặng	3		安𠻴 yên lặng · 唵𠻴 im lặng · 𠻴𨤰 lặng lẽ [𠸨] · 𠻴𠖯 lặng ngắt
伶	lanh	T		伶俐 lanh lợi · 儱伶 long lanh · 伶智 lanh trí · 伶厲 lanh lẹ
欞	lanh			𣘃欞 cây lanh [譯]
𨀌	lánh	5		𨀌難 lánh nạn · 賒𨀌 xa lánh · 垃𨀌 lấp lánh
令	lành	2		令猛 lành mạnh · 卒令 tốt lành · 沖令 trong lành · 信令 tin lành · 令性 lành tính · 安令 an lành · 拯令 chẳng lành
冷	LÃNH	3		冷淡 lãnh đạm · 冷宮 lãnh cung
領	LÃNH	1	"格讀𧵑「領 lĩnh」爲𫍊諱時𠸗。 Cách đọc của ""領 lĩnh"" vì kiêng húy thời xưa."	領導 lãnh đạo · 領事 lãnh sự · 領土 lãnh thổ · 領糧 lãnh lương
嶺	LÃNH	T		高嶺 Cao Lãnh
冷	lạnh	3		凍冷 đông lạnh · 冷𬰊 lạnh giá · 冷𠖭 lạnh lẽo [𠸨]
牢	LAO	T		牢獄 lao ngục · 哀牢 Ai Lao
勞（劳）	LAO	3		功勞 công lao · 勞動 lao động · 劬勞 cù lao
嘮（唠）	lao	T		嘮嗃 lao xao
𨦭	lao	T		𠛌𨦭 đâm lao · 放𨦭 phóng lao · 𧼋𨦭蹺 chạy lao theo · 𣘃𨦭 cây lao
癆（痨）	LAO			病癆 bệnh lao
咾	láo	T		溷咾 hỗn láo
𠈭	lào	T		𠊛𠈭 người Lào
嘮（唠）	lào	T		𫇿嘮 thuốc lào · 嘮樔 lào rào [𠸨] · 嘮𡁞 lào xào [𠸨]
老	LÃO	3	老街 Lào Cai	婆老 bà lão · 月老 nguyệt lão · 長老 trưởng lão · 養老 dưỡng lão · 敬老 kính lão
十	lạp	3	⇔ 十 nạp	十 lạp
粒	LẠP			粒體 lạp thể
臘	LẠP	4		希臘 Hi Lạp · 臘腸 lạp xường · 咹臘 ăn lạp [譯]
蠟	LẠP			白蠟 bạch lạp
擸	lắp	T		擸撻 lắp đặt · 擸撘 lắp ráp · 吶擸 nói lắp
㕸	lặp	T		㕸𠫾㕸徠 lặp đi lặp lại
垃	lấp	5		垃𣹓 lấp đầy · 垃𨀌 lấp lánh
立	LẬP	1		自立 tự lập · 獨立 độc lập · 立法 lập pháp
𤇥	lập	T		𤇥𤍶 lập loè · 吶𤇥潗 nói lập bập
𣋩	lát	T		𡎺𣋩 chốc lát
𬅀	lát			楛𬅀 gỗ lát
喇	LẠT			喇嘛 lạt ma
𤁕	lạt	T		𤁕𠖭 lạt lẽo [𠸨]
𥶁	lạt			𧵑𠊛菩薩、𧵑𨉟𥶁𫃚 của người Bồ tát, của mình lạt buộc
𣙬	lặt	T		𢹦𣙬 lượm lặt
㗚	lất			秩㗚 trật lất
搮	lật	T		搮𢭰 lật đổ
撈（捞）	lau	T		撈𰔫 lau dọn · 撈滌 lau sạch
𦰤	lau	T		𡹃𦰤 rừng lau · 𦰤𥷒 lau lách
恅	làu			恅恅 làu làu · 恅垉 làu bàu [𠸨]
嘍（喽）	LÂU	T		嘍囉 lâu la
樓（楼）	LÂU	T		樓臺 lâu đài · 青樓 thanh lâu
髏（髅）	LÂU	T		頭髏 đầu lâu
𥹰󠄁（𥹰）	lâu	5		𥹰󠄁𨱽 lâu dài · 包𥹰󠄁 bao lâu · 𥹰󠄁過空﨤 lâu quá không gặp
陋	LẬU	T		粗陋 thô lậu · 腐陋 hủ lậu
漏	LẬU	T		漏稅 lậu thuế · 販漏 buôn lậu · 𨢇漏 rượu lậu
瘺	lậu			病瘺 bệnh lậu
𠻗	le			雙𠻗 song le · 惏𠻗 lăm le [𠸨]
𪅆	le			𪀄𪅆𪅆 chim le le
𥛭	lẻ	5		𥛭𩁦 lẻ loi [𠸨] · 𥢆𥛭 riêng lẻ · 數𥛭 số lẻ
𡤠（𫰣）	lẽ	T		𱙡𡤠 vợ lẽ · 𡤠𨳒 lẽ mọn
𨤰	lẽ	1		𨤰沛 lẽ phải · 固𨤰 có lẽ · 理𨤰 lí lẽ · 𨤰𠚢 lẽ ra
厲（厉）	lẹ	T		厲廊 lẹ làng · 伶厲 lanh lẹ
梨	LÊ	T	坡梨俱 Pleiku (Bờ-lây-cu)	果梨 quả lê · 𤫿梨 dưa lê · 雪梨 tuyết lê
璃	LÊ	T		玻璃 pha lê
黎	LÊ	5		茹前黎 Nhà Tiền Lê · 𣱆黎 họ Lê
𠠍	lê	T		捁𠠍 kéo lê · 𠠍棲 lê thê · 𠠍𨀺 lê lết · 𠠍邏 lê la
藜	LÊ			藿藜 hoắc lê
𣠲（𣑶）	lể			計𣠲 kể lể · 𣠲荄 lể gai
例	lề	3		例𢟔 lề thói
𨦙	lề	5		板𨦙 bản lề
禮（礼）	LỄ	2		禮會 lễ hội · 婚禮 hôn lễ · 𣇜禮 buổi lễ · 免禮 miễn lễ · 多禮 đa lễ · 禮拜 lễ bái
例	LỆ	3		例常 lệ thường · 例禁 lệ cấm · 前例 tiền lệ · 條例 điều lệ · 通例 thông lệ · 外例 ngoại lệ
荔	LỆ	T		荔枝 lệ chi · 薜荔 bệ lệ
淚	LỆ	T		湥淚 giọt lệ · 淶淚 rơi lệ
厲（厉）	LỆ	T		厲害 lệ hại
勵（励）	LỆ	5		激勵 khích lệ
隸	LỆ	5		隸屬 lệ thuộc · 奴隸 nô lệ
麗	LỆ	T		壯麗 tráng lệ · 㥋麗 e lệ · 美麗 mĩ lệ · 艷麗 diễm lệ · 華麗 hoa lệ
𨘸	lếch			𨘸逖 lếch thếch
儮	lệch	3		𠶐儮 nghiêng lệch · 佂儮 chênh lệch
𩽏	lệch			𩵜𩽏 cá lệch
苫	lem			苫溽 lem luốc · 苫苫 lem nhem [𠸨]
蘝	lém			蘝蘝𠸄 lém lỉnh [𠸨]
𠿳	lèm			𠿳𣲹 lèm nhèm
縺	len			襖縺 áo len [譯]
蹥	len	T		蹥蹎 len chân · 蹥𨇒 len lỏi [𠸨]
𨇍	lén	T		𨇍𣹕 lén lút · 𦖑𨇍 nghe lén
𬨠	lên	2		𬨠𨑗 lên trên · 𠫾𬨠 đi lên · 增𬨠 tăng lên
泠	lênh			泠汀 lênh đênh
泠	lềnh			泠浧 lềnh sềnh · 泠泙 lềnh bềnh
令	LỆNH	2		口令 khẩu lệnh · 司令 tư lệnh · 命令 mệnh lệnh · 打令 đánh lệnh · 令嬡 lệnh ái · 令郎 lệnh lang
蹽	leo	T		𧋹蹽 giời leo · 蹽𥉬 leo lét
𣱾	lẻo			𣿅𣱾 lỏng lẻo · 蹽𣱾 leo lẻo · 𠼽𣱾 mách lẻo · 搮𣱾 lắt lẻo · 㓭𣱾 hớt lẻo · 𣱾𠵐 lẻo mép
嘹	léo	T		𫩟嘹 khéo léo [𠸨]
𠖭	lẽo			冷𠖭 lạnh lẽo [𠸨] · 𤁕𠖭 lạt lẽo [𠸨]
𥼕	lép			𥼕鋏 lép kẹp
𥉬	lét			蹽𥉬 leo lét
哷	lẹt			𤋸哷 khét lẹt
𨀺	lết			𠠍𨀺 lê lết
寮	lều	T		𦭧寮 túp lều · 寮寨 lều trại
狸	LI	T		狐狸 hồ li · 海狸 hải li
漓	LI			淋漓 lâm li
璃	LI	T		璃𨢇 li rượu · 琉璃 lưu li
罹	LI			罹難 li nạn
釐	LI	T		釐絲 li ti · 差𠬠釐𠫾𠬠𨤮 sai một li đi một dặm
離	LI	4		離婚 li hôn · 離開 li khai · 分離 phân li · 距離 cự li
李	LÍ	5		行李 hành lí · 桃李 đào lí · 茹李 nhà Lí · 𣱆李 họ Lí
里	LÍ	5		海里 hải lí · 千里 thiên lí · 鄉里 hương lí
哩	lí	T		哩𡭺 lí nhí
理	LÍ	4		管理 quản lí · 理說 lí thuyết · 理𨤰 lí lẽ
履	LÍ	5		履歷 lí lịch
蒞	LỊ			省蒞 tỉnh lị
離	lìa	4		賒離 xa lìa
曆	LỊCH	T		陰曆 âm lịch · 西曆 tây lịch · 曆法 lịch pháp
歷	LỊCH	2		歷史 lịch sử · 歴代 lịch đại · 履歷 lí lịch · 歷事 lịch sự · 遊歷 du lịch
儮	lịch	3	⇔ 儮 lệch	
𩽏	lịch		⇔ 𩽏 lệch	
廉	LIÊM	T		清廉 thanh liêm
鐮	LIÊM			鉤鐮 câu liêm
連	LIÊN	2		連續 liên tục · 連關 liên quan · 連結 liên kết · 連綿 liên miên · 黃連 hoàng liên
蓮	LIÊN	T		白蓮 bạch liên
聯	LIÊN	2		聯合 liên hợp · 聯邦 liên bang
連	liền	2		𡐙連 đất liền · 麪咹連 mì ăn liền · 茹連壁 nhà liền vách
靈（灵）	liêng	2		𤍌󠄁靈 thiêng liêng
另	liếng	T		本另 vốn liếng
列	LIỆT	5		羅列 la liệt · 系列 hệ liệt
劣	LIỆT	T		惡劣 ác liệt
冽	LIỆT	T		凜冽 lẫm liệt
烈	LIỆT	T		劇烈 kịch liệt · 忠烈 trung liệt · 熱烈 nhiệt liệt · 烈士 liệt sĩ
裂	LIỆT	T		分裂 phân liệt
𩷈	liệt			𩵜𩷈 cá liệt
𬏩	liệt	T		痺𬏩 tê liệt · 敗𬏩 bại liệt
僚	LIÊU	T		官僚 quan liêu · 僚友 liêu hữu · 僚屬 liêu thuộc
寥	LIÊU			寂寥 tịch liêu
遼	LIÊU	T		薄遼 Bạc Liêu
料	liều	3		料𫇿 liều thuốc · 料量 liều lượng
憭	liều	T		憭彾 liều lĩnh · 憭命 liều mạng
了	LIỄU			結了 kết liễu
柳	LIỄU	T		楊柳 dương liễu · 花柳 hoa liễu
料	LIỆU	3		預料 dự liệu · 質料 chất liệu · 與料 dữ liệu · 原料 nguyên liệu · 𢥈料 lo liệu · 料魂 liệu hồn
療	LIỆU	T		治療 trị liệu
𥋲	lim			𥋲𥇌 lim dim [𠸨]
殮	lịm			𡴯殮 ngất lịm
伶	LINH	T		伶俐 linh lợi
玲	linh	T		瓏玲 lung linh
苓	LINH	T		茯苓 phục linh · 苓稜 linh lăng
羚	LINH	T		羚羊 linh dương
零	LINH	T		飄零 phiêu linh · 零星 linh tinh
靈（灵）	LINH	2		靈牧 linh mục · 靈魂 linh hồn · 心靈 tâm linh · 靈感 linh cảm · 靈霆 linh đình · 靈牌 linh bài
𪜯	lính	4		兵𪜯 binh lính · 軍𪜯 quân lính · 𪜯壯 lính tráng · 𪜯𢷳 lính quýnh [𠸨]
昤	lình			晠昤 thình lình
紷	lĩnh	T		𡲫紷 vải lĩnh · 裙紷 quần lĩnh
領	LĨNH	1		認領 nhận lĩnh · 領糧 lĩnh lương · 占領 chiếm lĩnh · 將領 tướng lĩnh · 領域 lĩnh vực · 憭領 liều lĩnh
嶺	LĨNH	T		鴻嶺 Hồng Lĩnh · 嶺南 Lĩnh Nam
令	lịnh	2	⇔ 令 lệnh	
立	lip	1	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.	
㕸	lip	T		菲㕸𠯴 Phi-líp-pin(bin) [譯]
𡊻	lít			𡊻𣻾 lít nhít  [𠸨] · 眉璃𡊻 mi-li-lít [譯]
𠮩	líu	5		𠮩嚧 líu lo
嚧（𠰷）	lo	T		𠮩嚧 líu lo
𢥈（𱞋）	lo	2		𢥈𢠯 lo lắng [𠸨]
爐（𱪵）	lò	T		丐爐 cái lò · 𤇮爐 bếp lò
𡀔	lọ			𡀔羅 lọ là
𤮗	lọ	T		𥑂𤮗 chai lọ · 𤮗𤈝 lọ nghẹ
倮	lô			𠊛倮倮 người Lô Lô
盧（卢）	lô	5		固恆盧枝節 có hàng lô chi tiết · 𠬠盧𥘷𡥵 một lô trẻ con · 引渃𠓨層盧𬏇 dẫn nước vào từng lô ruộng [譯] · 𥿯盧 vé lô [譯] · 其露噤 kí(ki)-lô-gam [譯]
蘆（𱽗）	LÔ	T		葫蘆 hồ lô · 蘆薈 lô hội
路	lồ	5		空路 khổng lồ
露	lồ	4		裸露 loã lồ · 露露 lồ lộ
𡓇	lỗ	4		𡓇𡊲 lỗ chỗ · 咹𣯡於𡓇 ăn lông ở lỗ · 𡓇賚 lỗ lãi
賂	LỘ	5		賄賂 hối lộ
路	LỘ	5		國路 quốc lộ · 路程 lộ trình · 路面 lộ diện
露	LỘ	4		露𠚢 lộ ra · 露喉 lộ hầu · 露真相 lộ chân tướng · 雨露 vũ lộ
𢣻	lơ	4		𢣻𣼽 lơ lửng
𡋿	lở			𥒮𡋿 vỡ lở · 𡐙𡋿 đất lở
矑（𪾦）	lờ	T		𣉕矑 tảng lờ
籚（𰩲）	lờ			抯籚 thả lờ
𢙲	lỡ	T	⇔ 𢙲 nhỡ	𢙲廊 lỡ làng · 𢙲蹎 lỡ chân · 𠬃𢙲 bỏ lỡ
螺	LOA			噲螺 gọi loa · 丐螺 cái loa
𠼱	loa	T		過𠼱 qua loa
類	loài	2		類𠊛 loài người · 類物 loài vật · 𥞖類 giống loài
類	LOẠI	2		體類 thể loại · 同類 đồng loại · 種類 chủng loại
𤄹	loại	3		𤄹𠬃 loại bỏ · 𤄹𠚢 loại ra
摞	loay	T		摞揋 loay hoay [𠸨]
關	loan	2		關報 loan báo
欒（栾）	LOAN			團欒 đoàn loan
灣（湾）	LOAN	5		臺灣 Đài Loan
鸞（鵉）	LOAN	T		𪀄鸞 chim loan · 鸞鳳 loan phượng
亂（乱）	loàn	3		凌亂 lăng loàn
亂（乱）	LOẠN	3		亂世 loạn thế · 亂臣 loạn thần · 混亂 hỗn loạn · 擾亂 nhiễu loạn
灤（滦）	loáng	T		灤洸 loáng thoáng · 𤏬灤 sáng loáng
浪	loăng	3		浪挄 loăng quăng [𠸨]
𨗺	loanh			𨗺𨒺 loanh quanh [𠸨]
刷	LOÁT	4		流刷 lưu loát · 印刷 ấn loát
刷	loạt	4		𠬠刷 một loạt · 𪥘󠄁刷 cả loạt
唰	loạt			唰咄 loạt xoạt [聲]
䱚	lóc			𩵜䱚 cá lóc
𠯿	lóc			𠯿唂 lóc cóc [聲] · 哭𠯿 khóc lóc [𠸨]
𫼚	lóc			𫼚𬚸 lóc thịt · 遴𫼚 lăn lóc
漉	lọc	5		渃漉 nước lọc · 紙漉 giấy lọc · 譔漉 chọn lọc
𦬩	lộc	5		𦬩碧 lộc biếc · 𠛌䒹䄧𦬩 đâm chồi nẩy lộc
鹿	LỘC	T		鹿茸 lộc nhung · 騎鹿 cưỡi lộc
祿	LỘC	T		俸祿 bổng lộc · 福祿 phúc lộc
𤍶	loè			𤇥𤍶 lập loè
𩁦	loi			𥛭𩁦 lẻ loi [𠸨]
𣢹	lỏi			𠬃𣢹 bỏ lỏi · 卒𣢹 tốt lỏi
𨇒	lỏi	T		蹥𨇒 len lỏi [𠸨]
䋘	lòi			䋘𠚢 lòi ra · 䋘綷 lòi tói
𤞖	lòi			𤞼𤞖 lợn lòi
𣑳	lõi			骨𣑳 cốt lõi
𥑶	lọi			熶𥑶 chói lọi · 𥑶磟 lục lọi
雷	LÔI	T		地雷 địa lôi · 魚雷 ngư lôi · 雷雨 lôi vũ
擂	lôi	3		擂捁 lôi kéo · 擂慛 lôi thôi
𪆼	lôi			𪃿𪆼 gà lôi
𡓃	lối	3		塘𡓃 đường lối · 無𡓃 vô lối · 吶𡓃 nói lối
磊	LỖI	T		磊落 lỗi lạc
纇	LỖI	2		𡍚纇 lầm lỗi · 吀纇 xin lỗi · 赦纇 tha lỗi
洡	lội	T		𠓬洡 lặn lội
蕾	LỘI			花蕾 hoa lội
利	lời	2		利賚 lời lãi · 𠬠本𦊚利 một vốn bốn lời
𠳒	lời	2		𠳒吶 lời nói
利	LỢI	2	"格讀𧵑「利 lị」爲𫍊諱時𠸗。 Cách đọc của ""利 lị"" vì kiêng húy thời xưa."	利息 lợi tức · 益利 ích lợi
俐	LỢI	T		伶俐 lanh lợi
𪘌	lợi			𪘵𪘌 răng lợi
𦡶	lom			𦡶𢐎 lom khom
𤒢	lốm			𤒢玷 lốm đốm
㖮	lon	T		𬨠㖮 lên lon [譯] · 㖮噂 lon ton
錀	lon			錀錫 lon thiếc
掄	lòn		⇔ 掄 luồn	
𪵅	lốn	4		胡𪵅 hồ lốn · 𪵅𥇈 lốn nhốn
𪵅	lộn	4		𢪱𪵅 vật lộn
𡘯	lớn	2		𡘯嘮 lớn lao [𠸨] · 𫰅𡘯 to lớn · 𡘯猛 lớn mạnh
𤞼	lợn	T		𤞼𤞖 lợn lòi · 𤞼𡹃 lợn rừng
隆	LONG	3		隆重 long trọng
龍（竜）	LONG	4		恐龍 khủng long · 蛟龍 giao long · 龍眼 long nhãn
儱（𫣏）	long	T		儱伶 long lanh · 儱銊 long nhong [聲] · 儱淙 long tong [聲]
攏（𢲣）	long	T		𪘵攏 răng long · 攏𣁲 long đong
𣿅	lỏng	T		𣿅𣱾 lỏng lẻo · 𣿅偅 lỏng chỏng · 𠬃𣿅 bỏ lỏng · 抯𣿅 thả lỏng · 摕𣿅 nới lỏng · 質𣿅 chất lỏng
𢚸	lỏng	2		𢚸𰩍 lỏng khỏng [𠸨]
㑝	lóng			㗂㑝 tiếng lóng
梇	lóng	T	⇔ 梇 gióng	
𢚸	lòng	2		𬌓𢚸 tấm lòng · 𣃣𢚸 vừa lòng · 𢚸𰩍 lòng khòng [𠸨]
𨁦	lõng	T		落𨁦 lạc lõng
𣯡	lông	T		𣯡蘿 lông lá · 𣯡𪀄 lông chim · 球𣯡 cầu lông
哢	lồng	T		哢㗂 lồng tiếng · 哢𪵅 lồng lộn
籠（篭）	lồng	T		籠𦙏 lồng ngực
𰱂	lộng	T		𰱂𡅏 lộng lẫy · 𰱂𰱂 lồng lộng [𠸨]
弄	LỘNG			弄權 lộng quyền
苙	lóp			苙𥼕 lóp lép
笠	lớp	3		笠學 lớp học · 𬨠笠 lên lớp · 伴共笠 bạn cùng lớp
䘹	lót	T		襖䘹 áo lót
𢯰	lọt	T		𢯰𢚸 lọt lòng · 𢯰㖭 lọt thỏm · 餅𢯰 bánh lọt
蛻	lột	T		蛻殼 lột xác · 剝蛻 bóc lột
瞜（䁖）	lu	T		瞜𥊚 lu mờ
壚（垆）	lu			丐壚 cái lu
瀘（泸）	lù			瀘瀘 lù lù · 瀘𣭃 lù xù [𠸨]
褸（褛）	LŨ	T		襤褸 lam lũ
𬉆󠄁（𬉆）	lũ	T		渃𬉆󠄁 nước lũ · 𬉆󠄁𣼧 lũ lụt · 𬉆󠄁𦀎 lũ lượt · 佊𬉆󠄁 bè lũ · 𠬠𬉆󠄁𠊛 một lũ người
攎（𢫘）	lư			扐攎 lắc lư [𠸨]
爐（𱪵）	LƯ	T		爐香 lư hương
侶	LỮ	T		伴侶 bạn lữ
旅	LỮ	T		旅團 lữ đoàn · 旅行 lữ hành
泐	lự			𠊛泐 người Lự
慮	LỰ	T		思慮 tư lự · 兩慮 lưỡng lự · 智慮 trí lự
穭	lúa	5		垌穭 đồng lúa · 𥝽穭 cấy lúa · 穭𥡗 lúa má
𫄎（𫄄）	lụa			𫄎紋 lụa vân
焒	lửa	3		箭焒 tên lửa · 焒𤇮 lửa bếp
侶	lứa	T		侶對 lứa đôi · 共侶 cùng lứa
驢（𩢬）	lừa	5		𡥵驢 con lừa · 驢馭 lừa ngựa · 驢𨔾行 lừa chở hàng
