# 常用标准汉喃字表（2023年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表1共3987字（分为6级，即1、2、3、4、5、T，分别有236、355、471、470、480、1975字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

桑	TANG	T	桑滄 tang thương · 滄海桑田 thương hải tang điền	
喪	TANG	5	抵喪 để tang · 役喪 việc tang · 𡌽喪 đám tang	
喪	TÁNG	5	斲喪 trác táng	
嗓	tang	T	丐嗓茦尼唿𥘀𡗋 cái tang thuốc này hút nặng lắm · 函嗓 hàm tang [摱]	
贓	TANG	T	贓物 tang vật · 果贓 quả tang	
𮍄	TANG	T	𩓜𮍄 màng tang · 𤿰𫫴𡀳𮍄 trống thủng còn tang	
𣉕	tảng	T	假𣉕 giả tảng · 𣉕矑 tảng lờ · 𣉕𤏬 tảng sáng	
磉	TẢNG	T	磉𥒥 tảng đá	
葬	TÁNG	T	火葬 hỏa táng · 埋葬 mai táng · 安葬 an táng · 改葬 cải táng	
藏	TÀNG	2	寶藏 bảo tàng · 藏書 tàng thư · 藏形 tàng hình · 藏身 tàng thân · 藏匿 tàng nặc · 昂藏 ngang tàng · 藏螉 tàng ong · 𫜵藏 làm tàng	
藏	TẠNG	2	西藏 tây tạng · 道藏 đạo tạng	
藏	tàng	2	藏藏 tàng tàng	
臟	TẠNG	T	臟腑 tạng phủ	
僧	TĂNG	3	僧人 tăng nhân · 僧侶 tăng lữ · 僧尼 tăng ni · 僧伽 tăng già	
增	TĂNG	4	增加 tăng gia · 增𬨠 tăng lên · 車增 xe tăng [摱]	
增	tâng	4	增扑 tâng bốc · 增功 tâng công	
贈	TẶNG	4	贈物 tặng vật · 捐贈 quyên tặng · 贈品 tặng phẩm	
層	tầng	3	層𡌢 tầng hầm	
層	từng	3	層𣈜 từng ngày · 茹𦊚層 nhà bốn tầng	
腥	tanh	T	腥臊 tanh tao	
遭	TAO	T	遭遇 tao ngộ	
騷	TAO	T	騷亂 tao loạn	
灶	TÁO	T	翁灶 ông táo · 灶君 táo quân	
燥	TÁO	T	燥𤵳 táo bón	
躁	TÁO	4	躁暴 táo bạo	
曹	tào	5	曹勞 tào lao	
造	TẠO	2	製造 chế tạo · 人造 nhân tạo · 假造 giả tạo	
雜	TẠP	5	複雜 phức tạp · 雜誌 tạp chí · 混雜 hỗn tạp · 雜技 tạp kĩ	
漝	tấp	T	吸漝 hấp tấp · 𬧐漝 tới tấp · 漝汭 tấp nập	
習	TẬP	3	學習 học tập · 排習 bài tập · 寔習 thực tập	
集	TẬP	1	集合 tập hợp · 集體 tập thể · 集詩 tập thơ · 聚集 tụ tập	
緝	TẬP	T	緝拿 tập nã	
輯	TẬP	T	編輯員 biên tập viên	
襲	TẬP	T	襲擊 tập kích	
薩	TÁT	T	菩薩 bồ tát	
𤎕	tắt	4	𤎕畑 tắt đèn · 𤎕焒 tắt lửa	
𨄠	tắt	4	塘𨄠 đường tắt  · 縿𨄠 tóm tắt · 𢪏𨄠 viết tắt	
必	TẤT	5	必然 tất nhiên · 必要 tất yếu · 不必 bất tất · 何必 hà tất	
㧙	tất	T	㧙弼 tất bật · 㧙𪭥 tất tả	
悉	TẤT	4	悉𪥘󠄁 tất cả · 悉心 tất tâm · 悉悉悉 tất tần tật	
畢	TẤT	5	完畢 hoàn tất · 畢力 tất lực	
韠	TẤT	T	𠫾韠 đi tất	"裊得使用如𠬠詞獨立、得𢪏羅 「韠 tất」；裊得使用如詞𢯖、得𢪏羅「蔽膝 bít tất」。 Nếu được sử dụng như một từ độc lập, được viết là ""韠 tất""; nếu được sử dụng như từ ghép, được viết là ""蔽膝 bít tất""."
疾	TẬT	3	病疾 bệnh tật	
艚	tàu	3	艚水 tàu thuỷ · 艚𤿤 tàu bè · 棗艚 táo tàu · 艚蘿 tàu lá  · 𠊛艚 người Tàu	
艚	tầu	3		⇔ 艚 tàu
奏	TẤU	T	稟奏 bẩm tấu · 變奏 biến tấu · 奏樂 tấu nhạc · 節奏 tiết tấu	
奏	tâu	T	𨷈奏 muôn tâu · 奏排 tâu bày · 奏𬨠 tâu lên	
𪷉	té	T	𪷉𨁟 té ngã · 𪷉渃𠓨𩈘 té nước vào mặt	
犀	TÊ	T	犀角 tê giác · 𡥵犀犀 con tê tê	
痺	TÊ	T	痺𠻇 tê dại · 痺濕 tê thấp · 痺𦛍 tê tái	
儕	tê	T	細儕 tỉ tê  · 坭儕 nơi tê · 𠊛儕 người tê · 儕儕 tê tề	
祭	TẾ	T	祭天 tế thiên · 祭禮 tế lễ · 祭文 tế văn · 祭祖 tế tổ	
細	TẾ	5	仔細 tử tế · 細膩 tế nhị · 細胞 tế bào ·精細 tinh tế	
細	tỉ	5	細美 tỉ mỉ · 細儕 tỉ tê (ti)	
際	TẾ	2	國際 quốc tế · 交際 giao tế · 寔際 thực tế	
濟	TẾ	2	經濟 kinh tế · 醫濟 y tế · 救濟 cứu tế	
敝	TỆ	T	敝姓 tệ tính · 敝處 tệ xứ · 敝校 tệ hiệu	
幣	TỆ	5	外幣 ngoại tệ · 錢幣 tiền tệ	
弊	TỆ	4	弊害 tệ hại · 頹弊 tồi tệ · 弊端 tệ đoan · 丐𣛠尼過弊 cái máy này quá tệ	
𠸜	tên	4	𠸜噲 tên gọi · 𠸜𣱆 tên họ	
司	TI	2	公司 công ti	
司	TƯ	2	司法 tư pháp · 司徒 tư đồ	
卑	TI	T	尊卑 tôn ti · 自卑 tự ti	
絲	TI	T	釐絲 li ti	
絲	tơ	T	絲𫄎 tơ lụa · 絲蠶 tơ tằm	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
姊	TỈ	T	師姊 sư tỉ · 姊妹 tỉ muội	
秭	TỈ	5	秭富 tỉ phú · 恆秭 hàng tỉ · 𠀧秭銅 ba tỉ đồng	
子	TÍ	2	𣇞子 giờ Tí	
子	TỬ	2	父子 phụ tử · 太子 thái tử · 子宮 tử cung · 獅子 sư tử	
子	tí	2	子𡭧 tí chút · 𠬠子 một tí · 子㳻 tí tách [聲]	
子	tị	2	𠬠子𫇿 một tị thuốc	⇔ 子 tí
避	TỊ	5	避難 tị nạn	
𣈢	tia	5	𣈢𣌝 tia nắng · 𣈢反射 tia phản xạ · 𣈢紫外 tia tử ngoại	
昔	TÍCH	T	古昔 cổ tích	
析	TÍCH	T	分析 phân tích	
跡	TÍCH	3	奇跡 kì tích · 蹤跡 tung tích · 遺跡 di tích · 𨁪跡 dấu tích · 跡事 tích sự · 固跡哴 có tích rằng	
積	TÍCH	2	積極 tích cực · 𩐛積 ấm tích · 面積 diện tích · 積徠 tích lại · 積累 tích luỹ	
績	TÍCH	T	功績 công tích · 成績 thành tích · 戰績 chiến tích · 績事 tích sự	
夕	TỊCH	T	夕陽 tịch dương · 七夕 thất tịch · 除夕 trừ tịch	
席	TỊCH	2	主席 chủ tịch	
席	tiệc	2	宴席 yến tiệc · 𩛷席 bữa tiệc · 席從 tiệc tùng [𠸨]	
寂	TỊCH	T	寂寞 tịch mịch · 圓寂 viên tịch	
僻	TỊCH	T	阨僻 ách tích · 孤僻 cô tích	
籍	TỊCH	T	國籍 quốc tịch · 戶籍 hộ tịch · 籍編 tịch biên · 書籍 thư tịch	
惜	tiếc	4	傷惜 thương tiếc · 當惜 đáng tiếc	
尖	TIÊM	T	尖防 tiêm phòng · 尖𫇿 tiêm thuốc · 䈵尖 ống tiêm · 尖染 tiêm nhiễm	
殲	TIÊM	T	殲擊 tiêm kích	
纖	TIÊM	T	纖細 tiêm tế · 纖悉 tiêm tất · 纖毛 tiêm mao	
潛	TIỀM	4	潛力 tiềm lực · 潛能 tiềm năng · 潛識 tiềm thức · 潛藏 tiềm tàng	
仙	TIÊN	T	仙佛 tiên phật · 水仙 thủy tiên · 八仙 bát tiên	
先	TIÊN	1	𠓀先 trước tiên · 頭先 đầu tiên · 先生 tiên sinh	
鮮	TIÊN	3	朝鮮 Triều Tiên	
鮮	tươi	3	𩵜鮮 cá tươi · 鮮唭 tươi cười · 𧺀鮮 thắm tươi	
薦	TIẾN	T	薦舉 tiến cử	
前	TIỀN	3	前輩 tiền bối · 前途 tiền đồ	
錢	TIỀN	3	錢鉑 tiền bạc · 錢幣 tiền tệ	
錢	TIỄN	3	弓箭 cung tiễn · 火箭 hoả tiễn	
箭	tên	4	箭焒 tên lửa · 𪖫箭 mũi tên · 弓箭 cung tên	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𥏋、 𥏌
踐	TIỄN	5	寔踐 thực tiễn	
餞	TIỄN	T	餞別 tiễn biệt · 餞迻 tiễn đưa	
便	TIỆN	3	方便 phương tiện · 順便 thuận tiện · 不便 bất tiện · 便利 tiện lợi	
銑	tiện	T	銑圇 tiện tròn · 𠏲銑 thợ tiện	
賤	TIỆN	T	低賤 đê tiện · 苛賤 hà tiện · 貧賤 bần tiện	
㗂	tiêng	2	𠊛綀㗂 người Xơ-Tiêng (X'Tiêng)	𡨸尼得讀如格發音尼只𥪝名詞 𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này.
㗂	tiếng	2	吶㗂 tiếng nói · 㗂叫 tiếng kêu · 㗂越 tiếng Việt	
接	TIẾP	1	接續 tiếp tục · 接客 tiếp khách	
捷	TIỆP	T	敏捷 mẫn tiệp · 捷報 tiệp báo · 波花𠫾捷 ba hoa đi Tiệp	
捷	tẹp	T	捷叺 tẹp nhẹp	
泄	TIẾT	4	泄毒 tiết độc · 浽泄 nổi tiết · 泄瀉 tiết tả · 泄尿 tiết niệu	泄尿 tiết niệu ⇔ 泌尿 tiết niệu
節	TIẾT	3	時節 thời tiết · 枝節 chi tiết · 音節 âm tiết · 節學 tiết học · 節面 tiết diện · 氣節 khí tiết · 節行 tiết hạnh	
節	tết	3	節元旦 tết nguyên đán	
宵	TIÊU	T	元宵 nguyên tiêu	
消	TIÊU	3	消化 tiêu hoá · 取消 thủ tiêu · 支消 chi tiêu · 消散 tiêu tan · 消遣 tiêu khiển · 消渃 tiêu nước · 洒消 tưới tiêu · 消用 tiêu dùng	
逍	TIÊU	T	逍遙 tiêu dao	
椒	TIÊU	T	胡椒 hồ tiêu · 籺椒 hạt tiêu · 花椒 hoa tiêu	
焦	TIÊU	T	焦點 tiêu điểm · 三焦 tam tiêu · 𣱆焦 họ Tiêu	
標	TIÊU	3	標表 tiêu biểu · 標準 tiêu chuẩn · 標本 tiêu bản · 標題 tiêu đề · 花標 hoa tiêu	
銷	TIÊU	4	銷售 tiêu thụ · 銷毀 tiêu huỷ · 銷喍 tiêu xài	
蕭	TIÊU	T	蕭條 tiêu điều · 𣱆蕭 họ Tiêu	
鏢	TIÊU	T	飛鏢 phi tiêu	
小	TIỂU	2	弱小 nhược tiểu · 小說 tiểu thuyết · 小姐 tiểu thư · 渃小 nước tiểu · 小𡊳 tiểu sành	
小	tẻo	2	小悄 tẻo teo	
𦻳	tím	T	𦻳𠖯 tím ngắt · 茄𦻳 cà tím · 𦻳𦻳 tim tím [𠸨]	
信	TÍN	1	信仰 tín ngưỡng · 信徒 tín đồ · 信服 tín phục · 信物 tín vật · 信用 tín dụng ·信紙 tín chỉ · 信號 tín hiệu · 迷信 mê tín · 信任 tín nhiệm	
信	tin	1	信息 tin tức · 𢚸信 lòng tin · 信用 tin dùng  · 信𢚁 tin cậy	
星	TINH	4	明星 minh tinh · 占星 chiêm tinh · 零星 linh tinh · 𤏬星𢠩 sáng tinh mơ	
晶	TINH	T	水晶 thủy tinh · 結晶 kết tinh	
猩	TINH	T	猩猩 tinh tinh	
精	TINH	2	精神 tinh thần · 妖精 yêu tinh · 𤽸精 trắng tinh · 精坤 tinh khôn · 精液 tinh dịch · 精氣 tinh khí	
精	chính	2	味精 mì chính [摱]	
精	toanh	2	㵋精 mới toanh	⇔ 精 tinh
省	TỈNH	5	省蒞 tỉnh lị · 省永福 tỉnh Vĩnh Phúc ·省略 tỉnh lược	
省	xĩnh	5	侊省 xoàng xĩnh [𠸨]	
省	xỉnh	5	𨻬省 xó xỉnh [𠸨]	
醒	TỈNH	4	警醒 cảnh tỉnh · 醒悟 tỉnh ngộ · 醒𧻭 tỉnh dậy	
併	TÍNH	2	吞併 thôn tính	
併	tính	2	併算 tính toán · 𣛠微併 máy vi tính	
姓	TÍNH	T	百姓 bách tính · 貴姓 quí tính	
性	TÍNH	2	個性 cá tính · 同性 đồng tính · 性情 tính tình · 男性 nam tính	
性	tánh	2		⇔ 性 tính
情	TÌNH	1	情㤇 tình yêu · 情感 tình cảm · 情敵 tình địch · 情欲 tình dục · 表情 biểu tình · 情報 tình báo	
竫	tĩnh	T	立竫𰨂母 lập tĩnh thờ mẫu · 徠逴竫𠚢唿 lại rước tĩnh ra hút	
靜	TĨNH	3	安靜 yên tĩnh · 靜電 tĩnh điện · 平靜 bình tĩnh · 動靜 động tĩnh · 恬靜 điềm tĩnh	
淨	TỊNH	T	淨土 tịnh độ · 雅淨 nhã tịnh · 碎淨空別頭脽役尼 tôi tịnh không biết đầu đuôi việc này	
㘉	tít	T	賒㘉 xa tít · 㘉空湯 tít cung thang	
𫰅	to	3	𫰅𡘯 to lớn · 𫰅㗂 to tiếng	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𡚡、蘇
𤍊	tỏ	3	𤏬𤍊 sáng tỏ · 𤍊詳 tỏ tường · 𦝄𤍊 trăng tỏ · 𤍊𤑟 tỏ rõ	
𭇓	tò	5	𭇓摸 tò mò	
蘇	TÔ	4	紫蘇 tử tô · 烏蘇 ô-tô [摱]	
𥗹	tô	T	𥗹𦘧 tô vẽ	
坥	tổ	T	坥𪀄 tổ chim · 坥𤋾 tổ ấm	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：祖
祖	TỔ	2	始祖 thuỷ tổ · 祖國 tổ quốc · 祖蔭 tổ ấm	
組	TỔ	3	組織 tổ chức · 組合 tổ hợp · 改組 cải tổ	
素	TỐ	3	要素 yếu tố · 元素 nguyên tố · 素質 tố chất	
訴	TỐ	3	訴訟 tố tụng · 追訴 truy tố · 訴告 tố cáo	
祚	TỘ	T	阮長祚 Nguyễn Trường Tộ	
伵	tớ	T	𣹓伵 đầy tớ · 碎伵 tôi tớ	
𨌘	toa	T	𨌘車 toa xe	
鎖	TOẢ	4	封鎖 phong toả	
𪹟	toả	T	𪹟唏 toả hơi · 𪹟𠚢 toả ra	
座	TOÀ	3	座案 toà án · 𠬠座茹樓 một toà nhà lầu	
座	TOẠ	3	座談 toạ đàm · 座度 toạ độ	
坐	TOẠ	5	坐禪 toạ thiền · 坐落 toạ lạc	
坐	TOÁI	5	煩碎 phiền toái	
碎	tôi	1	衆碎 chúng tôi · 𤤰碎 vua tôi	
碎	tui	1		⇔ 碎 tôi
遂	TOẠI	T	遂願 toại nguyện	
算	TOÁN	2	併算 tính toán · 清算 thanh toán · 計算 kế toán · 核算 hạch toán	
算	toan	2	算併 toan tính · 謀算 mưu toan · 𢥈算 lo toan · 算𠫾 toan đi · 算𫜵 toan làm	
匴	toán	T	匴軍 toán quân · 匴劫 toán cướp	
全	TOÀN	1	安全 an toàn · 全捖 toàn vẹn	
全	tuyền	1	黰全 đen tuyền · 𤽸全 trắng tuyền · 全羅𠊛𫅷 tuyền là người già	
𩯀	tóc	4	𦃀𩯀 chải tóc · 𥾘𩯀 sợi tóc · 𠃅𩯀 mái tóc	
速	TỐC	3	加速 gia tốc · 速度 tốc độ · 急速 cấp tốc · 速記 tốc kí	
族	TỘC	1	家族 gia tộc · 民族 dân tộc · 外族 ngoại tộc	
熣	tôi	T	熣鍊 tôi luyện	
最	TỐI	3	最高 tối cao · 最後 tối hậu	
𣋁	tối	3	𣇜𣋁 buổi tối · 𣋽𣋁 sớm tối · 𣋁吣 tối tăm [𠸨]	
摧	TỒI	T	摧殘 tồi tàn	
罪	TỘI	2	無罪 vô tội · 罪業 tội nghiệp · 被罪 bị tội · 重罪 trọng tội	
𬧐	tới	3	𬧐坭 tới nơi · 𨆢𬧐 lui tới · 旬𬧐 tuần tới · 𬧐漝 tới tấp	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：細
𥿂	tom	5	𥿂𢵰得𠃣錢 tom góp được ít tiền · 𥿂𥿂 tom tom [聲]	
𥿂	tóm	5	縿𨄠 tóm tắt · 縿徠 tóm lại	
縿	túm	4		⇔ 縿 tóm
𩵽	tôm	T	𩵽𤞻 tôm hùm	
𢟖	tởm	T	𠺳𢟖 ghê tởm	
宗	TÔN	1	宗教 tôn giáo	"格讀𧵑「宗 tông」爲𠼤諱時 𠸗。 Cách đọc của ""宗 tông"" vì kiêng húy thời xưa."
宗	TÔNG	1	宗廟 tông miếu · 祖宗 tổ tông · 宗派 tông phái	
孫	TÔN	T	曾孫 tằng tôn · 孫女 tôn nữ · 𡥙嫡孫 cháu đích tôn	
尊	TÔN	3	尊重 tôn trọng · 自尊 tự tôn · 尊嚴 tôn nghiêm · 尊榮 tôn vinh · 尊室 Tôn Thất	"「尊 tôn」𥪝「尊室 Tôn Thất」羅格𢪏吧格讀𧵑「宗 tông」爲𠼤諱時𠸗。 ""尊 tôn"" trong ""尊室 Tôn Thất"" là cách viết và cách đọc của ""宗 tông"" vì kiêng húy thời xưa."
損	TỔN	3	損害 tổn hại · 損耗 tổn hao · 損失 tổn thất · 損傷 tổn thương	
損	tốn	3	消損 tiêu tốn · 損歉 tốn kém	
遜	TỐN	5	謙遜 khiêm tốn · 慈遜 từ tốn	
存	TỒN	3	生存 sinh tồn · 存在 tồn tại · 保存 bảo tồn · 存亡 tồn vong · 存留 tồn lưu	
存	tòn	3	存鎆 tòn ten [𠸨]	
從	TÒNG	T	從軍 tòng quân · 力不從心 lực bất tòng tâm	
從	TÙNG	T	隨從 tuỳ tùng · 服從 phục tùng · 從九品 tùng cửu phẩm · 附從 phụ tùng · 從從 tùng tùng [聲] · 席從 tiệc tùng [𠸨] ·消從 tiêu tùng [𠸨]	
蹤	TÔNG	T	蹤跡 tông tích	
蹤	TUNG	T	蹤跡 tung tích	
𠵻	tông	5	𠵻樂 tông nhạc [摱] · 𠵻𦭷 tông màu [摱]	
綜	TỔNG	5	綜合 tổng hợp	
總	TỔNG	1	總共 tổng cộng · 總統 tổng thống · 總產量 tổng sản lượng	
送	TỐNG	T	護送 hộ tống · 送別 tống biệt · 送餞 tống tiễn	
卒	TỐT	3	卒業 tốt nghiệp · 士卒 sĩ tốt · 小卒 tiểu tốt · 獄卒 ngục tốt	
卒	tốt	3	窒卒 rất tốt · 卒惵 tốt đẹp	
崒	TỘT	5	崒頂 tột đỉnh	
修	TU	2	修士 tu sĩ · 修業 tu nghiệp · 修行 tu hành · 修補 tu bổ · 𪀄修吁 chim tu hú	
𣗿	tủ	T	𣗿冷 tủ lạnh · 𣗿冊 tủ sách	
秀	TÚ	T	俊秀 tuấn tú · 優秀 ưu tú · 清秀 thanh tú · 秀才 tú tài	
宿	TÚ	T	星宿 tinh tú	
宿	TÚC	T	寄宿舍 kí túc xá · 宿志 túc chí	
繡	TÚ	T	錦繡 cẩm tú	
囚	TÙ	3	茹囚 nhà tù · 囚人 tù nhân · 擒囚 cầm tù · 渃囚 nước tù · 坳囚 ao tù · 囚𠘃 tù đọng · 囚慫 tù túng	
酋	TÙ	T	酋長 tù trưởng	
𧣕	tù	T	𧣕𢯓 tù và	
袖	TỤ	5	領袖 lãnh tụ	
聚	TỤ	3	聚徠 tụ lại · 聚集 tụ tập · 聚血 tụ huyết · 群聚 quần tụ	
私	TƯ	3	𥢆私 riêng tư · 無私 vô tư · 私爲 tư vị	
姿	TƯ	4	姿容 tư dung	
思	TƯ	1	思慮 tư lự · 思想 tư tưởng · 思維 tư duy	
思	TỨ	1	意思 ý tứ	
斯	TƯ	T	波斯 Ba Tư	
滋	TƯ	T	滋養 tư dưỡng · 滋味 tư vị	
資	TƯ	1	資本 tư bản · 投資 đầu tư	
諮	TƯ	5	通諮 thông tư · 諮問 tư vấn	
仔	TỬ	5	仔細 tử tế	
死	TỬ	2	不死 bất tử · 生死 sinh tử	
紫	TỬ	T	紫薇 tử vi · 紫外 tử ngoại	
紫	tía	T	𧹻紫 đỏ tía · 紫蘇 tía tô	
四	TỨ	2	四方 tứ phương	
四	chớ	2	四 chớ	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.
四	tư	2	次四 thứ tư · 𠄩𱑕四 hai mươi tư	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𦊛
四	xí	2	四五 xí-ngầu [摱]	
肆	TỨ	T	市肆 thị tứ	
賜	TỨ	T	恩賜 ân tứ	
徐	TỪ	3	徐徐 từ từ	
祠	TỪ	T	祠堂 từ đường · 翁祠 ông từ	
祠	TỪ	T	詞典 từ điển · 詞語 từ ngữ	
詞	tờ	2	詞報 tờ báo · 紙詞 giấy tờ · 𣼽如詞 lặng như tờ	
慈	TỪ	2	仁慈 nhân từ · 慈善 từ thiện	
磁	TỪ	4	磁場 từ trường	
辭（辞）	TỪ	3	辭別 từ biệt · 辭挃 từ chối · 告辭 cáo từ	
字	TỰ	4	文字 văn tự · 十字 thập tự · 字典 tự điển	
寺	TỰ	T	佛寺 Phật tự	
自	TỰ	1	自然 tự nhiên · 自𨉟 tự mình · 自咹 tự ăn · 自欺芇 tự khi nào	
自	từ	1	自欺 từ khi · 自𫢩 từ nay · 自𠁀𠸗 từ đời xưa	
似	TỰ	4	相似 tương tự	
似	tựa	4	似如 tựa như	
序	TỰ	3	次序 thứ tự · 序言 tự ngôn	
序	tựa	3	題序 đề tựa · 𠳒序 lời tựa	
祀	TỰ	T	祭祀 tế tự	
敘	TỰ	T	敘事 tự sự · 敘述 tự thuật · 敘情 tự tình	
嗣	TỰ	T	承嗣 thừa tự	
緒	TỰ	T	緒論 tự luận	
𢭸	tựa	4	𢭗𢭸 nương tựa	
遵	TUÂN	T	遵守 tuân thủ · 遵循 tuân hành · 遵令 tuân lệnh · 遵蹺 tuân theo	
俊	TUẤN	T	俊傑 tuấn kiệt · 俊秀 tuấn tú · 英俊 anh tuấn	
駿	TUẤN	T	駿馬 tuấn mã	
旬	TUẦN	4	旬禮 tuần lễ · 上旬 thượng tuần · 旬𦝄 tuần trăng	
巡	TUẦN	4	𠫾巡 đi tuần · 巡查 tuần tra · 巡邏 tuần la	
循	TUẦN	T	循環 tuần hoàn · 循序 tuần tự	
馴	TUẦN	T	馴鹿 tuần lộc	
馴	thuần	T	馴服 thuần phục · 馴養 thuần dưỡng ·馴化 thuần hoá	
足	TÚC	T	補足 bổ túc · 充足 sung túc · 足足 túc túc [聲]	
足	tuộc	T	八足 bạch tuộc	
肅	TÚC	5	嚴肅 nghiêm túc	
俗	TỤC	3	俗語 tục ngữ · 風俗 phong tục · 通俗 thông tục	
續	TỤC	4	接續 tiếp tục · 手續 thủ tục · 繼續 kế tục	
即	TỨC	2	即時 tức thì · 即速 tức tốc · 即羅 tức là	
息	TỨC	5	信息 tin tức · 利息 lợi tức	
𠺒	tức	4	𠺒𢚷 tức giận · 𠺒𣋁 tức tối	
歲	TUẾ	2	千歲 thiên tuế · 萬歲 vạn tuế · 歲出 tuế xuất · 歲入 tuế nhập	
歲	tuổi	2	𢜠歲 mừng tuổi · 歲春 tuổi xuân · 歲作 tuổi tác [𠸨]	
慧	TUỆ	5	慧眼 tuệ nhãn · 智慧 trí tuệ	
𢢇	tủi	5	𢢇分 tủi phận · 𢢇𢜜 tủi hổ · 𢢇㘋 tủi hờn · 𢢇身 tủi thân	
襊	túi	4	襊裙 túi quần	
𠏭	tụi	T	𠏭𠎩 tụi bây	
綏	TUY	3	綏和 Tuy Hòa	
綏	nối	3	𬗵綏 chắp nối · 綏接 nối tiếp · 綏業 nối nghiệp · 結綏 kết nối	
雖	TUY	3	雖然 tuy nhiên · 雖丕 tuy vậy	
粹	TUÝ	5	國粹 quốc tuý · 純粹 thuần tuý · 精粹 tinh tuý	
醉	TUÝ	3	麻醉 ma tuý	
隨	TUỲ	4	隨便 tuỳ tiện · 隨從 tuỳ tùng · 隨機 tuỳ cơ · 隨意 tuỳ ý · 追隨 truy tuỳ	
瘁	TỤY	T	盡瘁 tận tụy	
宣	TUYÊN	2	宣布 tuyên bố · 宣傳 tuyên truyền · 宣判 tuyên phán · 宣言 tuyên ngôn	
選	TUYỂN	3	選譔 tuyển chọn · 選舉 tuyển cử · 選集 tuyển tập · 預選 dự tuyển · 選募 tuyển mộ	
線	TUYẾN	4	無線 vô tuyến · 前線 tiền tuyến · 戰線 chiến tuyến · 直線 trực tuyến · 線運轉 tuyến vận chuyển	
雪	TUYẾT	T	葻雪 bông tuyết · 菍雪 nấm tuyết · 𠊛雪 người tuyết · 果球雪 quả cầu tuyết	
絕	TUYỆT	2	拒絕 cự tuyệt · 絕對 tuyệt đối · 絕𡸏 tuyệt vời · 絕妙 tuyệt diệu	
嵩	TUNG	T	嵩呼 tung hô	
嵩	tum	T	崑嵩 Con (Kon) Tum	𡨸尼得讀如格發音尼只𥪝名詞 𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này.
縱	TUNG	T	縱橫 tung hoành · 縱深 tung thâm · 縱洗 tung tẩy · 縱𤂭 tung toé · 𭟬縱 lung tung [𠸨] · 縱增 tung tăng [𠸨] · 縱傳單 tung truyền đơn	
縱	TÚNG	T	放縱 phóng túng	
慫	túng	T	慫𦁂 túng bấn · 慫少 túng thiếu · 𢤲慫 lúng túng [𠸨]	
松	TÙNG	T	松林 tùng lâm · 松柏 tùng bách	
訟	TỤNG	T	訴訟 tố tụng · 件訟 kiện tụng	
頌	TỤNG	4	傳頌 truyền tụng · 歌頌 ca tụng	
誦	TỤNG	T	誦經 tụng kinh · 日誦 nhật tụng	
熷	tưng	T	熷𤇊 tưng bừng · 熷𤈍 tưng hửng  · 咖熷 cà tưng	
熷	tửng	T	熷熷 tưng tửng	⇔ 熷 tưng
曾	từng	T	㐌曾 đã từng · 曾𱱇 từng trải	
削	TƯỚC	T	削𤿭𣘃 tước vỏ cây · 削奪 tước đoạt · 𢭯削 quét tước	
爵	TƯỚC	T	職爵 chức tước · 伯爵 bá tước	
洒	tưới	T	洒消 tưới tiêu	
㗰	tuồng	T	喝㗰 hát tuồng  · 㳥㗰 luông tuồng	
相	TƯƠNG	2	相助 tương trợ · 相爭 tương tranh · 相愛 tương ái · 相親 tương thân	
相	TƯỚNG	2	首相 thủ tướng · 眞相 chân tướng · 䀡相 xem tướng	
將	TƯƠNG	2	將來 tương lai	
將	TƯỚNG	2	將軍 tướng quân · 將領 tướng lĩnh · 將士 tướng sĩ	
漿	TƯƠNG	T	瓊漿 quỳnh tương · 豆漿 đậu tương ·血漿 huyết tương	
醬	TƯƠNG	T	醬𤸎 tương ớt · 渃醬 nước tương · 醬 𪥘󠄁𪉥𠓨鈉茶 tương cả muối vào nồi chè	
想	TƯỞNG	2	想𢖵 tưởng nhớ · 信想 tin tưởng · 想象 tưởng tượng · 夢想 mộng tưởng	
祥	TƯỜNG	T	吉祥 cát tường	
詳	TƯỜNG	4	𤍊詳 tỏ tường · 詳述 tường thuật · 詳盡 tường tận	
墻	TƯỜNG	T	墻坧 tường gạch · 墻𡐙 tường đất · 壁墻 vách tường	
象	TƯỢNG	2	𡥵象 con tượng · 管象 quản tượng · 印象 ấn tượng · 氣象 khí tượng · 象徵 tượng trưng · 𩵜𦖻象 cá tai tượng · 𣘃膠𦖻象 cây keo tai tượng	
象	tịnh	2		⇔ 象 tượng
