# 常用标准汉喃字表（2023年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表1共3987字（分为6级，即1、2、3、4、5、T，分别有236、355、471、470、480、1975字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

版	BẢN	2	出版 xuất bản · 版草 bản thảo · 再版 tái bản	
半	BÁN	4	半島 bán đảo · 北半球 bắc bán cầu · 半 𤯩半𣩂 bán sống bán chết	
𬥓	bán	3	𧷸𬥓 mua bán · 𬥓行 bán hàng	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𠰢、 󰢏
槃	BÀN	T	涅槃 niết bàn	
盤（盘）	BÀN	3	盤纙 bàn là · 琫盤 bóng bàn · 地盤 địa bàn · 盤棋 bàn cờ · 盤𧦕 bàn ghế	
磐	BÀN	T	磐石 bàn thạch	
蟠	BÀN	T	蟠桃 bàn đào · 蟠龍 bàn long	
𠴞	bàn	4	𠴞𠳚 bàn cãi · 𠴞博 bàn bạc · 𠴞論 bàn luận · 𠴞𠾎 bàn tán	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𡂑
伴	BẠN	2	伴佊 bạn bè · 結伴 kết bạn · 伴共笠 bạn cùng lớp	
伴	vạn	2	伴䊷 vạn chài	
叛	BẠN	T	叛逆 bạn nghịch	
𠺚	băn	T	𠺚𡂷 băn khoăn	
𢏑	bắn	4	𢏑銃 bắn súng · 𢏑信 bắn tin · 𢏑箭 bắn tên	
𣵲	bẩn	T	𣵲吵 bẩn thỉu · 洳𣵲 nhơ bẩn · 垢𣵲 cáu bẩn · 膠𣵲 keo bẩn	
泮	bận	3	泮𡀷 bận rộn · 泮褓 bận bịu [𠸨] · 每𣈜 𠄩泮 mỗi ngày hai bận	
邦	BANG	3	小邦 tiểu bang · 聯邦 liên bang · 番邦 phiên bang	
幫	BANG	T	丐幫 cái bang · 幫會 bang hội · 幫派 bang phái	
榜	BẢNG	T	榜眼 bảng nhãn · 副榜 phó bảng · 榜黰 bảng đen · 榜統計 bảng thống kê · 𤥑鬥榜 vòng đấu bảng	
榜	bảng	T	榜𨅉 bảng lảng	
彷	BÀNG	4	彷徨 bàng hoàng	
彷	PHẢNG	4	彷彿 phảng phất	
彷	vưởng	4	沕彷 vất vưởng	
㥬	bàng	T	𢜢㥬 bẽ bàng · 坌㥬 bộn bàng	
膀	BÀNG	T	膀胱 bàng quang	
磅	BÀNG	T	磅礴 bàng bạc	
龐	BÀNG	T	鴻龐 Hồng Bàng  · 𣱆龐 họ Bàng	
氷	BĂNG	T	㨂氷 đóng băng · 氷𬰊 băng giá · 氷翁 băng ông	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：冰
氷	bâng	T	氷傾 bâng khuâng · 氷撾 bâng quơ	
崩	BĂNG	T	崩遐 băng hà · 崩駕 băng giá · 崩血 băng huyết · 𣇟崩 sao băng	
繃	BĂNG	T	繃抪 băng bó · 繃𢬣 băng tay · 㧅繃 đeo băng · 𧦕繃 ghế băng · 茹繃 nhà băng [摱]	
𬦋	băng	T	𬦋過 băng qua · 消𬦋 tiêu băng · 𬦋涳 băng xăng · 越𤂬𬦋嵃 vượt suối băng ngàn	
朋	BẰNG	T	朋友 bằng hữu	
憑	BẰNG	3	憑證 bằng chứng · 文憑 văn bằng · 證明憑事寔 chứng minh bằng sự thực	
鵬	BẰNG	T	𪀄鵬 chim bằng	
捠	banh	T	捠眜 banh mắt · 𤏬捠 sáng banh · 跢捠 đá banh [摱] · 參捠 sâm banh (panh) [摱]	
餅	bánh	4	餅蒸 bánh chưng · 餅麪 bánh mì · 餅車 bánh xe · 餅梩 bánh lái	
彭	BÀNH	T	𣱆彭 họ Bành	
彭	bành	T	𧦕彭 ghế bành · 腥彭 tanh bành [𠸨] ·彭蘇 bành-tô [摱]	
膨	BÀNH	5	膨脹 bành trướng · 膨膨 bành bành	
膨	phềnh	5	脹膨 chương phềnh	
包	BAO	1	包襆 bao bọc · 包劍 bao kiếm · 包含 bao hàm · 包容 bao dung	
包	bao	1	包饒 bao nhiêu · 包𣇞 bao giờ · 炳包 bảnh bao [𠸨]	
保	BẢO	1	保護 bảo hộ · 擔保 đảm bảo · 保持 bảo trì · 保行 bảo hành	
保	BỬU	1		⇔ 保 bảo
保	bầu	1	保舉 bầu cử  · 評保 bình bầu · 𠫾保 đi bầu	
保	BẢO	1	寶物 bảo vật · 寶劍 bảo kiếm	
寶（宝）	BỬU	4	文房四寶 văn phòng tứ bửu · 阮福寶嶙 Nguyễn Phúc Bửu Lân	⇔ 寶 bảo
寶（宝）	báu	4	貴寶 quý báu · 寶物 báu vật · 珠寶 châu báu	
𠸒	bảo	2	勸𠸒 khuyên bảo · 𠰺𠸒 dạy bảo	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𠶓
豹	BÁO	T	豹𤜬 báo săn · 豹獅子 báo sư tử	
報	BÁO	1	報誌 báo chí · 報恩 báo ân · 報讎 báo thù · 茹報 nhà báo · 報夢 báo mộng ·報信 báo tin	
刨	BÀO	5	刨楛 bào gỗ · 丐刨 cái bào	
炮	BÀO	3	炮製 bào chế	
炮	PHÁO	3	炮臺 pháo đài · 炮花 pháo hoa	
胞	BÀO	5	胞胎 bào thai · 同胞 đồng bào · 細胞 tế bào	
袍	BÀO	T	襖袍 áo bào	
鮑	BÀO	T	鮑魚 bào ngư	
抱	BÃO	T	懷抱 hoài bão	
雹	bão	4	𩙍雹 gió bão · 雹𡋥 bão cát · 𩘪雹 dông bão · 𤴬雹 đau bão · 雹咂 bão táp	
怉	bạo	T	怉𢢀 bạo dạn · 怉𠰘 bạo miệng · 舉止窒怉 cử chỉ rất bạo	
暴	BẠO	3	暴力 bạo lực · 粗暴 thô bạo · 暴動 bạo động · 暴行 bạo hành · 殘暴 tàn bạo ·暴虐 bạo ngược	
𣔟	bắp	5	𣔟荎 bắp chuối · 𣔟芥 bắp cải · 𣔟蹎 bắp chân	
八	BÁT	T	七八 thất bát · 八仙 bát tiên · 八角 bát giác · 八索 bát sách · 八𤂗 bát nháo ·八𬳜 bát ngát · 詩六八 thơ lục bát	
八	bạch	T	八足 bạch tuộc	
八	bét	T	八 bét	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.
般	BÁT	4	般若 Bát Nhã	
鉢	BÁT	T	鉢𥐨 bát đĩa · 鉢𩚵 bát cơm	
潑	BÁT	T	活潑 hoạt bát	
拔	BẠT	T	提拔 đề bạt · 拔劍 bạt kiếm	
拔	bạt	T	拔𤽶 bạt vía · 拔艚 bạt tầu · 拔命 bạt mạng · 𨄂拔 lang bạt · 拔𦖻 bạt tai · 拔 𡶀拫瀧 bạt núi ngăn sông	
扒	bắt	1	扒𫃚 bắt buộc · 扒着 bắt chước · 扒脈 bắt mạch · 扒𡃓 bắt bớ [𠸨] · 扒﨤 bắt gặp	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：󰈫、抔
不	BẤT	1	不安 bất an · 不期 bất kì · 不執 bất chấp · 不晠昤 bất thình lình	
弼	bật	3	弼焒 bật lửa · 弼畑 bật đèn	
匏	bầu	T	匏𡗶 bầu trời · 彈匏 đàn bầu · 固匏 có bầu · 匏欲 bầu dục · 匏苾 bầu bí · 匏空氣 bầu không khí	
匏	bồ	T	匏欲 bồ dục	⇔ 匏 bầu
𠾦	be	T	𠾦𠾦 be be [聲] · 𦭷𠾦 màu be [摱] · 𠾦 𦛺 be bét [𠸨]	
𣛥	be	T	𣛥𨢇 be rượu · 𣛥𦩰 be xuồng	
𡮣	bé	2	𡮣𡮈 bé nhỏ · 𡮣𤊡 bé bỏng [𠸨]	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𡮤
佊	bè	T	佊伴 bè bạn · 佊黨 bè đảng	
𤿤	bè	T	艚𤿤 tầu bè · 船𤿤 thuyền bè · 𤿤𥫭 bè nứa	
𠶎	bê	4	𠶎𦁀 bê bối	
閉	BẾ	T	封閉 phong bế · 閉關 bế quan · 閉幕 bế mạc	
嬖	bế	T	捧嬖 bồng bế · 嬖㛪 bế em	
陛	BỆ	T	陛下 bệ hạ · 陛衛 bệ vệ · 堂陛 đường bệ · 下陛 hạ bệ · 陛𨷯 bệ cửa · 陛平 bệ bằng	
䏶	bệ	T	䏶𫄈 bệ rạc  · 䏶䐭 bệ sệ	
𤓩（𤊰）	bén	T	焒𤓩𠓨稴 lửa bén vào rơm · 銫𤓩 sắc bén	
卞	bèn	T	應意、卞𧷸𬆄 Ưng ý, bèn mua ngay	
𤅶（𣷷）	bến	5	𤅶渃 bến nước · 𤅶艔 bến đò · 𤅶港 bến cảng	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𡔖、 𡍣
𥾽	bền	4	𥾽凭 bền vững · 𥾽比 bền bỉ [𠸨]	
𦛼	bênh	T	𦛼掝 bênh vực · 乏𦛼 bấp bênh · 㑲𦛼 𦛼 nằm bênh bênh	
病	BỆNH	2	病疾 bệnh tật · 病感 bệnh cảm · 病院 bệnh viện · 病人 bệnh nhân	
病	bịnh	2		⇔ 病 bệnh
𠰏	bép	4	𠰏㴙 bép xép [𠸨]	
𠰏	bom	4	𠰏彈 bom đạn [摱] · 揇𠰏 ném bom [摱] · 果𠰏 quả bom [摱]	
𠰏	bôm	4	𠰏抸 bôm bốp	
𤇮	bếp	5	茹𤇮 nhà bếp · 𤇮焒 bếp lửa · 刀𤇮 dao bếp	
啤	bi	T	筆啤 bút bi [摱] · 𢏑啤 bắn bi [摱]	
悲	BI	3	悲劇 bi kịch · 悲哀 bi ai · 悲慘 bi thảm · 悲觀 bi quan · 愁悲 sầu bi · 悲切 bi thiết	
碑	BI	T	碑記 bi kí · 碑文 bi văn	
碑	bia	T	碑墓 bia mộ · 𢏑碑 bắn bia	
比	BỈ	3	渃比 nước Bỉ · 𥾽比 bền bỉ [𠸨]	
比	TÌ	3	比丘 tì kheo	
比	TỈ	3	比對 tỉ đối · 比例 tỉ lệ · 比喻 tỉ dụ · 比如 tỉ như · 比丘 tỉ khưu	
比	TỊ	3	推比 suy tị	
比	bì	3	分比 phân bì · 𬧺比 so bì · 推比 suy bì	
鄙	BỈ	5	粗鄙 thô bỉ	
秘	BÍ	2	秘傳 bí truyền · 秘密 bí mật · 秘訣 bí quyết · 秘書 bí thư · 秘名 bí danh · 秘 𡌀 bí bết · 秘小便 bí tiểu tiện · 﨤運秘 gặp vận bí	
被	BÍ	1	植物被子 thực vật bí tử	
被	BỊ	1	𠀧被 ba bị · 被動 bị động · 被告 bị cáo	
皮	BÌ	4	封皮 phong bì · 包皮 bao bì · 陳皮 trần bì · 下皮 hạ bì	
皮	bề	4	皮𩈘 bề mặt · 皮外 bề ngoài · 坌皮 bộn bề [𠸨]	
否	BĨ	5	運否 vận bĩ · 否極泰來 bĩ cực thái lai	
否	PHỦ	5	否認 phủ nhận · 否定 phủ định · 否決 phủ quyết	
備	BỊ	1	準備 chuẩn bị · 設備 thiết bị	
𣖾	bị	T	𠹌抇𬘋𣖾 năng nhặt chặt bị	
𨡕	bia	T	𨢇𨡕 rượu bia [摱]	
𨡕	BÍCH	T	玉碧 ngọc bích	
碧	biếc	T	青碧 xanh biếc · 𦬩碧 lộc biếc	
編	BIÊN	3	正編 chính biên · 編撰 biên soạn	
邊（边）	BIÊN	2	邊界 biên giới · 邊防 biên phòng · 邊疆 biên cương	
邊（边）	bên	2	邊𥪝 bên trong · 邊𨑗 bên trên · 邊沛 bên phải	
邊（边）	ven	2	邊瀧 ven sông · 邊㴜 ven biển	
匾	BIỂN	T	匾號 biển hiệu · 匾數 biển số · 匾廣告 biển quảng cáo	
㴜	biển	3	㴜𪥘󠄁 biển cả · 𩈘㴜 mặt biển · 坡㴜 bờ biển	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𤅶
騙	BIỂN	T	騙取 biển thủ	
遍	BIẾN	4	普遍 phổ biến	
變（变）	BIẾN	2	變𠅒 biến mất · 應變 ứng biến · 變化 biến hoá · 政變 chính biến	
辦	BIỆN	4	辦法 biện pháp · 辦𨢇 biện rượu	
辨	BIỆN	T	辨別 biện biệt	
辯	BIỆN	4	辯論 biện luận · 雄辯 hùng biện · 辯白 biện bạch · 辯駁 biện bác	
怲	biếng	T	𢜞怲 lười biếng	
別	BIỆT	1	𠫾別 đi biệt · 別離 biệt li · 別沁 biệt tăm · 駢別 biền biệt · 別墅 biệt thự	
別	biết	1	別讀 biết đọc · 別條 biết điều · 曉別 hiểu biết	
表	BIỂU	2	代表 đại biểu · 表現 biểu hiện · 表圖 biểu đồ · 時課表 thời khoá biểu	
表	bẻo	2	表𣱾 bẻo lẻo · 棹表 chèo bẻo	
俵	BIẾU	T	敬俵 kính biếu · 俵釧 biếu xén	
兵	BINH	2	兵士 binh sĩ · 憲兵 hiến binh · 兵𪜯 binh lính	
平	BÌNH	1	平安 bình an · 平原 bình nguyên · 不平 bất bình · 平等 bình đẳng · 和平 hoà bình	
平	bằng	1	平僥 bằng nhau · 垌平 đồng bằng · 公平 công bằng · 平𢚸 bằng lòng · 𠬠共 𠬠平𠄩 một cộng một bằng hai	
屏	BÌNH	4	𬌓屏風 tấm bình phong	
瓶	BÌNH	T	瓶渃 bình nước · 瓶𨢇 bình rượu	
評	BÌNH	5	評論 bình luận · 評品 bình phẩm	
𧦟	bịp	T	驢𧦟 lừa bịp · 𧦟姂 bịp bợm	
蔽	bít	T	𢫕蔽 bưng bít · 蔽膝 bít tất	
𥒰	bo	5	𥒰 bo [摱]	
𠬃	bỏ	2	恄𠬃 ghét bỏ · 𠬃過 bỏ qua · 辭𠬃 từ bỏ · 𨑥𠬃 vứt bỏ	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：補
抪	bó	4	繃抪 băng bó	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𥿠、咘
𤙭	bò	T	𤙭𡣨 bò cái · 𤙭㴜 bò biển · 裙𤙭 quần bò · 餅𤙭 bánh bò	
𨁏	bò	T	𧋻𨁏 rắn bò · 𨁏𨑜𡐙 bò dưới đất	
𧌂	bọ	T	螻𧌂 sâu bọ	
俌	bô	T	俌老 bô lão	
𥮉	bô	T	䈵𥮉 ống bô (pô) [摱] · 𢭰𥮉渃解 đổ bô nước giải [摱]	
捕	bổ	T	捕檜 bổ củi · 捕洆 bổ chửng	
補	BỔ	3	補充 bổ sung · 修補 tu bổ · 補血 bổ huyết · 補語 bổ ngữ	
補	bù	3	搷補 đền bù · 補㙮 bù đắp	
布	BỐ	3	布告 bố cáo · 布置 bố trí · 頒布 ban bố · 布局 bố cục · 分布 phân bố	
佈	bố	5	佈媄 bố mẹ	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：布
怖	BỐ	5	恐怖 khủng bố · 拥怖 ruồng bỏ	
菩	BỒ	2	菩薩 bồ tát · 菩提 bồ đề	
蒲	BỒ	T	蒲結 bồ kết · 蒲筠 bồ quân · 蒲柳 bồ liễu · 蒲公英 bồ công anh	
蔀	bồ	T	笈蔀 cặp bồ · 蔀𡭺 bồ nhí	
䈬	bồ	T	䈬搞 bồ cào · 䈬甓 bồ bịch	
𪁭	bồ	T	𪁭鳩 bồ câu · 𪁭𪇌 chim bồ nông	
步	BỘ	3	𠫾步 đi bộ · 百步 bách bộ · 同步 đồng bộ · 塘步 đường bộ · 步兵 bộ binh · 𪜯水打步 lính thuỷ đánh bộ	
