# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

逋	bo	𭊫逋 ki bo  · 𡨺逋逋 giữ bo bo	
鯆	bò	𩵜鯆 cá bò	
𡀨	bõ	拯𡀨 chẳng bõ	
㗘	bô	吶㗘㗘 nói bô bô [聲]	
𠴙	bở	𧃷𠴙 khoai bở · 想𠴙 tưởng bở · 𫼻𠴙 vớ bở	
𡃓	bớ	扒𡃓 bắt bớ [𠸨]	
𠳝	bỡ	𠳝𢣸 bỡ ngỡ	
卜	BỐC	占卜 chiêm bốc	
𢱎	bời	𦇒𢱎 rối bời · 𨔈𢱎 chơi bời	
渀	bõm	皮渀 bì bõm [聲] · 𡔑渀 lõm bõm	
泵	bơm	丐泵 cái bơm [摱] · 泵渃 bơm nước [摱]	
𣭛	bờm	𣭛馭 bờm ngựa · 𣭛𬇁 bờm xơm · 僶𣭛 thằng bờm	
姂	bợm	𧦟姂 bịp bợm · 姂𫅷 bợm già · 姂𠻼 bợm nhậu	
𤵳	bón	燥𤵳 táo bón	
𪝕	bòn	𪝕捽 bòn rút · 𪝕㩢 bòn mót	
坌	bộn	坌皮 bộn bề [𠸨]	
𩺡	bơn	鱓𩺡 thờn bơn	
𢸚	bong	𢸚筋 bong gân · 𢸚𧿀 bong tróc · 𤽸𢸚 trắng bong	
槰	bòng	𣘃槰 cây bòng · 果槰 quả bòng	
䙜	bòng	𭢌䙜 đèo bòng · 𫼳䙜𠫾塘 mang bòng đi đường · 摱丐包䙜勃 mượn cái bao bòng bột	
𩸮	bống	𩵜𩸮 cá bống	
捧	bồng	捧嬖 bồng bế	
蓬	BỒNG	蓬萊 bồng lai	
𠷕	boong	𠷕𠷕 boong boong [聲] · 丐𠷕 cái boong [摱]	
䑺	boong	䑺艚 boong tàu [摱]	
抸	bốp	𠰏抸 bôm bốp	
𠶙	bộp	𠶙摯 bộp chộp	
渤	bọt	渃渤 nước bọt · 䕯渤 bèo bọt · 渤㳥 bọt sóng	
𥩾	bốt	𥩾挌 bốt gác [摱] · 𥩾警察 bốt cảnh sát [摱]	
𩋚	bốt	𩋚膏蒭 bốt cao-su [摱] · 蹎𠫾對𩋚𤽸 chân đi đôi bốt trắng [摱]	
𤴭	bớt	𤴭青 bớt xanh	
𡜵	bu	𡜵㗒 bu ơi	
䈻	bu	丐䈻抵𡳝𪃿 cái bu để rốt gà	
咘	bú	咘𣼺 bú mớm	
脯	bụ	脯偘 bụ bẫm · 𦙶𢬣㛪𡮣脯 cổ tay em bé bụ	
𫫢	bự	𫫢哃 bự đùng · 𫰅𫫢 to bự · 翁𫫢 ông bự · 𦙶𫫢𦛋 cổ bự ghét · 𩈘𫫢粉 mặt bự phấn · 𬃻𦹳𫫢 trái thơm bự	
䋠	bủa	䋠䋥 bủa lưới · 䋠圍 bủa vây	
𭎟	bựa	𭎟𩚵 bựa cơm · 𭎟𪘵 bựa răng	
㯷	bục	㯷講 bục giảng · 磟㯷 lục bục	
𠸟	bui	𠸟固𠬠𢚸忠悋孝 bui có một lòng trung lẫn hiếu	
筫	búi	筫𦹯 búi cỏ · 筫𩯀徠 búi tóc lại	
𣱭	bủm	丐𣱭 cái bủm	
𡀫	bùm	𡀫 bùm [聲]	
𡀫	lẩm	𡀫唫 lẩm cẩm · 𡀫稟 lẩm bẩm [𠸨]	
𠏟	bụm	𠬠𠏟𥽌 một bụm gạo · 𠏟𠰘唭 bụm miệng cười	
㤓	bủn	㤓𫢗 bủn xỉn · 㤓噋 bủn rủn	
𥻸	bún	𥻸𦙣 bún mọc	
𨮇	bung	𨮇衝 bung xung	
𣵮	bưng	𣵮洴 bưng biền	
