# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

能	261	1	部件	42	655	10
員	262	1	部件	252	935	10
高	263	1	部件	76	1111	10
息	264	1	部件	540	1211	10
鳥	265	1	部件	995	116	11
麻	266	1	部件	1064	307	11
魚	267	1	部件	634	345	11
造	268	1	部件	290	410	11
帶	269	1	部件	295	418	11
從	270	1	部件	102	509	11
習	271	1	部件	399	584	11
連	272	1	部件	323	628	11
貫	273	1	部件	1390	2082	11
間	274	1	部件	127	23	12
發	275	1	部件	52	79	12
童	276	1	部件	723	138	12
黑	277	1	部件	529	331	12
象	278	1	部件	392	355	12
買	279	1	部件	524	485	12
幾	280	1	部件	205	670	12
畫	281	1	部件	400	725	12
黃	282	1	部件	453	828	12
登	283	1	部件	900	882	12
喜	284	1	部件	393	999	12
路	285	1	部件	220	245	13
新	286	1	部件	113	303	13
意	287	1	部件	90	561	13
會	288	1	部件	22	788	13
道	289	1	部件	98	896	13
寫	290	1	部件	307	442	15
親	291	1	部件	322	198	16
澡	292	1	部件	2600	1552	16
聽	293	1	部件	331	332	22
已	294	1	單字	144	52	3
下	295	1	單字	35	63	3
三	296	1	單字	72	1099	3
尺	297	1	單字	1209	265	4
什	298	1	單字	249	618	4
升	299	1	單字	660	712	4
功	300	1	單字	424	2	5
外	301	1	單字	89	361	5
北	302	1	單字	263	403	5
打	303	1	單字	236	458	5
他	304	1	單字	19	484	5
只	305	1	單字	130	598	5
幼	306	1	單字	1174	800	5
叫	307	1	單字	476	924	5
汁	308	1	單字	1804	952	5
奶	309	1	單字	1028	1572	5
扒	310	1	單字	2914	/	5
字	311	1	單字	318	108	6
吃	312	1	單字	353	144	6
冰	313	1	單字	1084	190	6
汗	314	1	單字	1381	237	6
年	315	1	單字	28	261	6
休	316	1	單字	779	264	6
再	317	1	單字	180	356	6
好	318	1	單字	48	594	6
地	319	1	單字	26	694	6
色	320	1	單字	200	778	6
在	321	1	單字	6	857	6
收	322	1	單字	291	955	6
丟	323	1	單字	1606	1863	6
她	324	1	單字	184	/	6
位	325	1	單字	133	34	7
村	326	1	單字	704	114	7
別	327	1	單字	204	316	7
抓	328	1	單字	1124	321	7
找	329	1	單字	449	495	7
但	330	1	單字	118	516	7
沒	331	1	單字	107	885	7
住	332	1	單字	337	1019	7
尾	333	1	單字	1178	1083	7
把	334	1	單字	131	1120	7
吧	335	1	單字	620	1148	7
吹	336	1	單字	1110	1195	7
呀	337	1	單字	1019	1420	7
抄	338	1	單字	2284	1839	7
牠	339	1	單字	1111	/	7
姐	340	1	單字	945	10	8
坡	341	1	單字	1167	25	8
放	342	1	單字	235	59	8
兒	343	1	單字	241	75	8
事	344	1	單字	59	76	8
玩	345	1	單字	661	143	8
爬	346	1	單字	1313	161	8
杯	347	1	單字	1060	194	8
房	348	1	單字	469	223	8
姊	349	1	單字	1980	274	8
怪	350	1	單字	848	322	8
拍	351	1	單字	838	323	8
法	352	1	單字	69	335	8
和	353	1	單字	29	390	8
物	354	1	單字	134	416	8
河	355	1	單字	555	419	8
服	356	1	單字	316	463	8
花	357	1	單字	247	467	8
抱	358	1	單字	1063	513	8
怕	359	1	單字	684	578	8
枝	360	1	單字	1114	588	8
往	361	1	單字	339	643	8
爸	362	1	單字	1027	663	8
來	363	1	單字	15	1054	8
的	364	1	單字	1	1164	8
呢	365	1	單字	421	1462	8
洋	366	1	單字	731	6	9
很	367	1	單字	126	83	9
苦	368	1	單字	532	160	9
祖	369	1	單字	948	167	9
後	370	1	單字	44	180	9
科	371	1	單字	333	218	9
神	372	1	單字	309	253	9
穿	373	1	單字	749	328	9
看	374	1	單字	80	389	9
南	375	1	單字	314	487	9
亮	376	1	單字	664	488	9
怎	377	1	單字	416	500	9
室	378	1	單字	612	569	9
背	379	1	單字	725	620	9
急	380	1	單字	738	622	9
信	381	1	單字	259	668	9
紅	382	1	單字	405	777	9
飛	383	1	單字	417	861	9
英	384	1	單字	386	947	9
耍	385	1	單字	2402	/	9
記	386	1	單字	240	36	10
珠	387	1	單字	1118	78	10
笑	388	1	單字	494	91	10
送	389	1	單字	596	192	10
哭	390	1	單字	1197	193	10
們	391	1	單字	24	233	10
海	392	1	單字	198	329	10
起	393	1	單字	79	337	10
院	394	1	單字	376	357	10
個	395	1	單字	14	386	10
校	396	1	單字	345	502	10
借	397	1	單字	1140	540	10
流	398	1	單字	270	577	10
消	399	1	單字	461	581	10
浪	400	1	單字	965	591	10
追	401	1	單字	819	662	10
時	402	1	單字	23	684	10
草	403	1	單字	571	877	10
氣	404	1	單字	171	898	10
根	405	1	單字	415	1025	10
候	406	1	單字	341	1265	10
哪	407	1	單字	656	1266	10
書	408	1	單字	207	1454	10
娘	409	1	單字	1048	1499	10
現	410	1	單字	68	5	11
乾	411	1	單字	753	33	11
掃	412	1	單字	1323	37	11
動	413	1	單字	64	58	11
唱	414	1	單字	638	74	11
國	415	1	單字	20	93	11
婆	416	1	單字	1069	103	11
做	417	1	單字	165	133	11
假	418	1	單字	599	173	11
常	419	1	單字	168	213	11
第	420	1	單字	175	243	11
清	421	1	單字	317	251	11
眼	422	1	單字	343	310	11
彩	423	1	單字	808	317	11
問	424	1	單字	108	429	11
條	425	1	單字	297	431	11
雪	426	1	單字	967	443	11
晚	427	1	單字	526	455	11
停	428	1	單字	650	490	11
荷	429	1	單字	1596	535	11
蛋	430	1	單字	1102	539	11
細	431	1	單字	588	585	11
您	432	1	單字	844	718	11
這	433	1	單字	11	721	11
都	434	1	單字	60	732	11
教	435	1	單字	158	768	11
得	436	1	單字	39	1174	11
許	437	1	單字	278	1542	11
筆	438	1	單字	586	62	12
飯	439	1	單字	806	126	12
雄	440	1	單字	736	151	12
進	441	1	單字	95	259	12
跑	442	1	單字	745	275	12
植	443	1	單字	818	304	12
結	444	1	單字	246	333	12
游	445	1	單字	903	426	12
給	446	1	單字	232	444	12
視	447	1	單字	359	464	12
帽	448	1	單字	1729	473	12
詞	449	1	單字	773	499	12
喝	450	1	單字	944	503	12
開	451	1	單字	70	537	12
訴	452	1	單字	671	601	12
陽	453	1	單字	429	637	12
菜	454	1	單字	797	714	12
就	455	1	單字	32	751	12
雲	456	1	單字	636	930	12
棵	457	1	單字	1645	1750	12
?	458	1	單字	/	/	12
愛	459	1	單字	239	64	13
節	460	1	單字	348	69	13
想	461	1	單字	94	132	13
跳	462	1	單字	787	168	13
過	463	1	單字	43	286	13
裝	464	1	單字	465	365	13
經	465	1	單字	66	369	13
話	466	1	單字	188	449	13
圓	467	1	單字	889	450	13
葉	468	1	單字	645	468	13
園	469	1	單字	547	476	13
躲	470	1	單字	1646	528	13
飽	471	1	單字	1518	568	13
福	472	1	單字	556	579	13
媽	473	1	單字	593	703	13
跟	474	1	單字	567	923	13
嗎	475	1	單字	516	1062	13
-	476	1	單字	1368	2836	13
歌	477	1	單字	475	12	14
對	478	1	單字	41	73	14
綠	479	1	單字	755	87	14
種	480	1	單字	88	115	14
麼	481	1	單字	110	285	14
鼻	482	1	單字	1437	379	14
說	483	1	單字	33	387	14
實	484	1	單字	114	452	14
語	485	1	單字	479	456	14
