# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

綁	1621	3	單字	2457	1602	13
瑞	1622	3	單字	1532	1615	13
溜	1623	3	單字	1914	1619	13
嫁	1624	3	單字	1965	1632	13
頒	1625	3	單字	2196	1634	13
矮	1626	3	單字	2085	1646	13
傻	1627	3	單字	2011	1680	13
溶	1628	3	單字	2039	1691	13
溼	1629	3	單字	/	1706	13
跪	1630	3	單字	2561	1793	13
葡	1631	3	單字	2003	1822	13
腰	1632	3	單字	1632	1845	13
溺	1633	3	單字	2972	1849	13
愚	1634	3	單字	1982	1877	13
慌	1635	3	單字	1884	1882	13
搭	1636	3	單字	1434	1889	13
毀	1637	3	單字	1818	1935	13
飾	1638	3	單字	1335	1967	13
滔	1639	3	單字	2282	2001	13
惹	1640	3	單字	2407	2012	13
碎	1641	3	單字	1384	2013	13
愁	1642	3	單字	1857	2027	13
煎	1643	3	單字	2776	2038	13
賊	1644	3	單字	2465	2068	13
滋	1645	3	單字	1537	2123	13
睛	1646	3	單字	1026	2128	13
嗚	1647	3	單字	2302	2479	13
催	1648	3	單字	2091	2553	13
猾	1649	3	單字	/	/	13
痴	1650	3	單字	2638	/	13
誇	1651	3	單字	2012	/	13
跤	1652	3	單字	3277	/	13
嫩	1653	3	單字	2119	51	14
夢	1654	3	單字	925	163	14
團	1655	3	單字	451	651	14
酸	1656	3	單字	1355	661	14
際	1657	3	單字	457	739	14
製	1658	3	單字	572	859	14
腐	1659	3	單字	1624	939	14
奪	1660	3	單字	1367	1101	14
幕	1661	3	單字	1228	1218	14
慣	1662	3	單字	1255	1325	14
嘗	1663	3	單字	1467	1591	14
旗	1664	3	單字	1254	1661	14
瘋	1665	3	單字	2018	1665	14
漏	1666	3	單字	1885	1674	14
幣	1667	3	單字	1036	1766	14
漫	1668	3	單字	1146	1792	14
滴	1669	3	單字	1453	1800	14
酷	1670	3	單字	2045	1836	14
摔	1671	3	單字	2312	1855	14
颱	1672	3	單字	2072	1857	14
凳	1673	3	單字	2894	1861	14
翠	1674	3	單字	1786	1865	14
舞	1675	3	單字	669	1908	14
瘦	1676	3	單字	1974	1931	14
慘	1677	3	單字	1732	1956	14
膏	1678	3	單字	2529	1957	14
墓	1679	3	單字	1770	1965	14
蜘	1680	3	單字	3065	1971	14
遙	1681	3	單字	1571	2103	14
碧	1682	3	單字	1666	2127	14
瑰	1683	3	單字	2199	2432	14
漱	1684	3	單字	3372	2457	14
截	1685	3	單字	1672	2697	14
綵	1686	3	單字	2669	2858	14
璃	1687	3	單字	1401	43	15
獎	1688	3	單字	966	176	15
敵	1689	3	單字	1288	188	15
層	1690	3	單字	525	378	15
賣	1691	3	單字	792	417	15
罵	1692	3	單字	1604	644	15
適	1693	3	單字	641	667	15
趣	1694	3	單字	823	745	15
鄰	1695	3	單字	1340	803	15
範	1696	3	單字	850	966	15
編	1697	3	單字	871	1046	15
閱	1698	3	單字	1273	1049	15
劇	1699	3	單字	608	1208	15
磁	1700	3	單字	1880	1309	15
膠	1701	3	單字	1308	1315	15
篇	1702	3	單字	982	1339	15
遭	1703	3	單字	1237	1376	15
輝	1704	3	單字	1236	1492	15
蓮	1705	3	單字	1466	1501	15
瞎	1706	3	單字	2840	1576	15
箱	1707	3	單字	1203	1582	15
膚	1708	3	單字	1386	1601	15
艘	1709	3	單字	2226	1618	15
碼	1710	3	單字	1131	1623	15
褲	1711	3	單字	2256	1638	15
誼	1712	3	單字	2043	1690	15
墳	1713	3	單字	2314	1707	15
億	1714	3	單字	824	1712	15
翩	1715	3	單字	2670	1722	15
歎	1716	3	單字	2756	1723	15
輩	1717	3	單字	1508	1729	15
窮	1718	3	單字	1235	1735	15
駕	1719	3	單字	1694	1744	15
廟	1720	3	單字	1752	1772	15
噴	1721	3	單字	1792	1784	15
躺	1722	3	單字	1823	1785	15
撈	1723	3	單字	2352	1844	15
鋒	1724	3	單字	1478	1864	15
賠	1725	3	單字	2258	1874	15
諒	1726	3	單字	2097	1903	15
潮	1727	3	單字	1061	1934	15
劈	1728	3	單字	2592	1998	15
慧	1729	3	單字	1365	1999	15
銷	1730	3	單字	1225	2049	15
鋪	1731	3	單字	1756	2074	15
踢	1732	3	單字	1947	2106	15
儉	1733	3	單字	2578	2129	15
膝	1734	3	單字	2382	2225	15
皺	1735	3	單字	2259	2397	15
蔔	1736	3	單字	2190	2613	15
幟	1737	3	單字	2601	2866	15
遺	1738	3	單字	1113	446	16
險	1739	3	單字	763	746	16
燃	1740	3	單字	1480	840	16
擔	1741	3	單字	710	965	16
選	1742	3	單字	251	1158	16
隨	1743	3	單字	557	1162	16
積	1744	3	單字	505	1166	16
錦	1745	3	單字	1636	1495	16
螞	1746	3	單字	2658	1570	16
餐	1747	3	單字	990	1575	16
螢	1748	3	單字	2571	1595	16
磨	1749	3	單字	1400	1620	16
濃	1750	3	單字	1231	1631	16
撿	1751	3	單字	2293	1694	16
雕	1752	3	單字	1493	1733	16
遵	1753	3	單字	1843	1755	16
橡	1754	3	單字	2123	1765	16
默	1755	3	單字	1049	1770	16
融	1756	3	單字	1038	1795	16
燙	1757	3	單字	2783	1859	16
擋	1758	3	單字	2160	1875	16
蔬	1759	3	單字	1864	1881	16
擁	1760	3	單字	1077	1915	16
頸	1761	3	單字	1875	2441	16
蕩	1762	3	單字	1783	2547	16
螃	1763	3	單字	3212	2798	16
優	1764	3	單字	627	42	17
聰	1765	3	單字	1570	121	17
講	1766	3	單字	565	314	17
臨	1767	3	單字	914	406	17
績	1768	3	單字	1120	421	17
擊	1769	3	單字	798	1018	17
縮	1770	3	單字	1083	1149	17
聯	1771	3	單字	454	1227	17
勵	1772	3	單字	1224	1292	17
戴	1773	3	單字	1258	1293	17
繁	1774	3	單字	1066	1294	17
檢	1775	3	單字	917	1379	17
嚇	1776	3	單字	1514	1461	17
鴿	1777	3	單字	2403	1464	17
艱	1778	3	單字	1625	1580	17
鍋	1779	3	單字	1962	1639	17
霞	1780	3	單字	2233	1666	17
糞	1781	3	單字	2668	1775	17
醜	1782	3	單字	2054	1781	17
嶼	1783	3	單字	2367	1843	17
霜	1784	3	單字	2285	1846	17
翼	1785	3	單字	1728	1873	17
瞧	1786	3	單字	1968	1947	17
膽	1787	3	單字	1490	1981	17
賺	1788	3	單字	1601	1985	17
燦	1789	3	單字	2089	2111	17
邁	1790	3	單字	1815	2152	17
斃	1791	3	單字	3389	2184	17
蹈	1792	3	單字	1760	2251	17
鞠	1793	3	單字	3199	2375	17
織	1794	3	單字	735	244	18
雜	1795	3	單字	893	724	18
歸	1796	3	單字	979	910	18
斷	1797	3	單字	499	987	18
繞	1798	3	單字	1333	1258	18
額	1799	3	單字	1005	1364	18
鵝	1800	3	單字	1854	1627	18
嚮	1801	3	單字	2060	1681	18
鎖	1802	3	單字	1796	1759	18
擾	1803	3	單字	1590	1778	18
叢	1804	3	單字	1700	1838	18
礎	1805	3	單字	1360	1954	18
嬸	1806	3	單字	2923	2162	18
龜	1807	3	單字	2436	2344	18
懷	1808	3	單字	790	30	19
類	1809	3	單字	340	352	19
願	1810	3	單字	675	459	19
簽	1811	3	單字	1394	838	19
獸	1812	3	單字	2002	998	19
蟻	1813	3	單字	2431	1015	19
轎	1814	3	單字	2768	1604	19
騙	1815	3	單字	1597	1643	19
鯨	1816	3	單字	3203	1647	19
懶	1817	3	單字	1841	1828	19
霧	1818	3	單字	1576	1926	19
韻	1819	3	單字	1963	1936	19
繳	1820	3	單字	2300	1995	19
穫	1821	3	單字	2017	2044	19
寵	1822	3	單字	2267	2065	19
瓣	1823	3	單字	2557	2142	19
蟹	1824	3	單字	2313	2368	19
藤	1825	3	單字	2200	2404	19
繫	1826	3	單字	1476	2757	19
獻	1827	3	單字	1130	890	20
競	1828	3	單字	1141	1078	20
繼	1829	3	單字	703	1311	20
蘇	1830	3	單字	923	1369	20
耀	1831	3	單字	1422	1569	20
襪	1832	3	單字	2861	1594	20
蘋	1833	3	單字	2001	1659	20
爐	1834	3	單字	1714	1702	20
籃	1835	3	單字	1593	1715	20
騰	1836	3	單字	1711	2047	20
犧	1837	3	單字	2052	2274	20
鐵	1838	3	單字	647	320	21
蘭	1839	3	單字	768	536	21
顧	1840	3	單字	673	792	21
續	1841	3	單字	533	1167	21
爛	1842	3	單字	1385	1280	21
辯	1843	3	單字	1677	1992	21
躍	1844	3	單字	1450	1997	21
灘	1845	3	單字	1727	1726	22
籠	1846	3	單字	1698	1925	22
聾	1847	3	單字	2873	2029	22
鷗	1848	3	單字	2818	/	22
驗	1849	3	單字	515	1184	23
蘿	1850	3	單字	2164	2775	23
罐	1851	3	單字	2084	1577	24
廳	1852	3	單字	1108	866	25
籬	1853	3	單字	3173	2512	25
讚	1854	3	單字	2007	1249	26
鑽	1855	3	單字	2301	1711	27
豔	1856	3	單字	/	1689	28
叉	1857	4	部件	2296	2218	3
冊	1858	4	部件	1452	992	5
伏	1859	4	部件	1615	2260	6
旬	1860	4	部件	2363	2903	6
巫	1861	4	部件	2615	1625	7
欣	1862	4	部件	1032	1132	8
延	1863	4	部件	1171	1329	8
屈	1864	4	部件	1730	1688	8
昆	1865	4	部件	1663	2034	8
奈	1866	4	部件	1926	2056	8
析	1867	4	部件	1169	2211	8
函	1868	4	部件	2289	2759	8
宣	1869	4	部件	1008	759	9
甚	1870	4	部件	648	1411	9
奏	1871	4	部件	961	1678	9
畏	1872	4	部件	2263	2560	9
席	1873	4	部件	921	776	10
畜	1874	4	部件	2211	1394	10
桑	1875	4	部件	2111	2401	10
執	1876	4	部件	1117	757	11
規	1877	4	部件	562	972	11
逢	1878	4	部件	1846	2481	11
復	1879	4	部件	781	462	12
須	1880	4	部件	604	1144	12
奠	1881	4	部件	2800	1914	12
虛	1882	4	部件	1261	2041	12
鼠	1883	4	部件	1497	914	13
禁	1884	4	部件	1025	1064	13
廉	1885	4	部件	1742	1344	13
肅	1886	4	部件	1888	1566	13
奧	1887	4	部件	1155	2235	13
署	1888	4	部件	1374	2727	13
寧	1889	4	部件	1100	1289	14
閣	1890	4	部件	1920	2095	14
壽	1891	4	部件	1681	2119	14
暴	1892	4	部件	1059	385	15
賞	1893	4	部件	912	653	15
諸	1894	4	部件	1311	1345	15
鄭	1895	4	部件	1438	1400	15
慮	1896	4	部件	1164	2053	15
嬰	1897	4	部件	1879	1540	17
隱	1898	4	部件	1256	1944	17
爵	1899	4	部件	2252	2337	17
顛	1900	4	部件	2428	1686	19
屬	1901	4	部件	666	797	21
覽	1902	4	部件	1250	1226	21
丹	1903	4	單字	1408	1168	4
仇	1904	4	單字	2079	1476	4
扎	1905	4	單字	1785	2405	4
勾	1906	4	單字	2224	/	4
犯	1907	4	單字	989	1443	5
刊	1908	4	單字	1312	1976	5
囚	1909	4	單字	2676	2429	5
叩	1910	4	單字	2595	/	5
仰	1911	4	單字	1515	1355	6
企	1912	4	單字	1006	1696	6
朽	1913	4	單字	2493	1982	6
曳	1914	4	單字	2905	2018	6
妄	1915	4	單字	2690	2158	6
乒	1916	4	單字	3171	2227	6
宇	1917	4	單字	1301	2381	6
仲	1918	4	單字	2176	2770	6
乓	1919	4	單字	3209	2809	6
弛	1920	4	單字	3457	2897	6
克	1921	4	單字	396	1007	7
含	1922	4	單字	859	1066	7
宏	1923	4	單字	1614	1377	7
邪	1924	4	單字	2497	1517	7
牡	1925	4	單字	2796	1635	7
估	1926	4	單字	1475	1797	7
吼	1927	4	單字	2613	1837	7
肝	1928	4	單字	2249	1871	7
尿	1929	4	單字	1913	1983	7
汰	1930	4	單字	3221	2105	7
妝	1931	4	單字	2157	2117	7
伶	1932	4	單字	2890	2154	7
扯	1933	4	單字	2024	2186	7
盯	1934	4	單字	2575	2187	7
屁	1935	4	單字	2297	2219	7
扭	1936	4	單字	1995	2310	7
吻	1937	4	單字	2257	2321	7
沐	1938	4	單字	2842	2483	7
岔	1939	4	單字	3408	2656	7
冶	1940	4	單字	2659	2799	7
妒	1941	4	單字	2707	2805	7
阱	1942	4	單字	3303	2861	7
甸	1943	4	單字	2747	2893	7
刷	1944	4	單字	1852	795	8
版	1945	4	單字	943	1095	8
佩	1946	4	單字	1525	1160	8
阻	1947	4	單字	1280	1260	8
佳	1948	4	單字	1035	1326	8
承	1949	4	單字	904	1359	8
迪	1950	4	單字	1594	1419	8
枚	1951	4	單字	1949	1609	8
拘	1952	4	單字	2147	1825	8
拋	1953	4	單字	1938	1856	8
糾	1954	4	單字	2058	1943	8
昂	1955	4	單字	1929	1950	8
拇	1956	4	單字	2996	1963	8
帖	1957	4	單字	3345	1986	8
泣	1958	4	單字	2480	2177	8
旺	1959	4	單字	2087	2276	8
弦	1960	4	單字	2309	2297	8
肪	1961	4	單字	2739	2385	8
怖	1962	4	單字	2183	2408	8
宙	1963	4	單字	1748	2409	8
拌	1964	4	單字	2910	2444	8
沸	1965	4	單字	2397	2504	8
祈	1966	4	單字	2392	2592	8
侍	1967	4	單字	2425	2629	8
疚	1968	4	單字	3111	2686	8
怯	1969	4	單字	2859	2717	8
怡	1970	4	單字	2140	2725	8
泄	1971	4	單字	3101	2768	8
拔	1972	4	單字	1502	/	8
毒	1973	4	單字	1080	236	9
限	1974	4	單字	780	971	9
恨	1975	4	單字	1528	1032	9
持	1976	4	單字	375	1077	9
係	1977	4	單字	536	1253	9
迫	1978	4	單字	1406	1288	9
促	1979	4	單字	1161	1390	9
屍	1980	4	單字	2230	1551	9
砂	1981	4	單字	2278	1737	9
哀	1982	4	單字	1751	1769	9
幽	1983	4	單字	1567	1791	9
俠	1984	4	單字	2333	1812	9
屏	1985	4	單字	2026	1824	9
盼	1986	4	單字	1829	1832	9
俊	1987	4	單字	1706	2004	9
俐	1988	4	單字	3232	2046	9
盈	1989	4	單字	1608	2084	9
柄	1990	4	單字	2586	2188	9
茂	1991	4	單字	2041	2272	9
拱	1992	4	單字	2632	2311	9
郁	1993	4	單字	2460	2343	9
苔	1994	4	單字	3246	2389	9
虐	1995	4	單字	2625	2418	9
咽	1996	4	單字	2558	2422	9
勃	1997	4	單字	1873	2460	9
珊	1998	4	單字	2264	2486	9
恍	1999	4	單字	2767	2718	9
剎	2000	4	單字	2395	2827	9
奕	2001	4	單字	2627	2910	9
茸	2002	4	單字	3179	/	9
酒	2003	4	單字	789	221	10
翁	2004	4	單字	1940	1074	10
素	2005	4	單字	639	1081	10
泰	2006	4	單字	1572	1233	10
核	2007	4	單字	931	1271	10
納	2008	4	單字	908	1352	10
徐	2009	4	單字	1376	1426	10
悟	2010	4	單字	1538	1593	10
娛	2011	4	單字	2013	1599	10
拳	2012	4	單字	2186	1612	10
純	2013	4	單字	1296	1713	10
耘	2014	4	單字	2562	1745	10
倍	2015	4	單字	972	1815	10
捐	2016	4	單字	1776	1830	10
託	2017	4	單字	1545	1831	10
紡	2018	4	單字	2139	1911	10
徑	2019	4	單字	1193	1923	10
屑	2020	4	單字	2550	1953	10
畔	2021	4	單字	2551	2016	10
峻	2022	4	單字	2518	2054	10
挫	2023	4	單字	2167	2062	10
圃	2024	4	單字	3053	2122	10
剖	2025	4	單字	2486	2124	10
涉	2026	4	單字	1530	2141	10
哲	2027	4	單字	1387	2201	10
耗	2028	4	單字	2005	2284	10
症	2029	4	單字	1707	2285	10
矩	2030	4	單字	2536	2288	10
脂	2031	4	單字	1996	2301	10
倡	2032	4	單字	2165	2308	10
逞	2033	4	單字	3476	2338	10
浩	2034	4	單字	1859	2342	10
狹	2035	4	單字	2197	2348	10
哺	2036	4	單字	2552	2365	10
衰	2037	4	單字	1921	2414	10
栽	2038	4	單字	2071	2540	10
挽	2039	4	單字	2261	2586	10
倦	2040	4	單字	2239	2618	10
脅	2041	4	單字	2133	2623	10
陡	2042	4	單字	2968	2644	10
峭	2043	4	單字	2808	2709	10
挾	2044	4	單字	2717	/	10
殺	2045	4	單字	874	276	11
啟	2046	4	單字	996	1086	11
液	2047	4	單字	1325	1121	11
副	2048	4	單字	883	1156	11
陶	2049	4	單字	1485	1328	11
逐	2050	4	單字	934	1371	11
爽	2051	4	單字	2023	1447	11
桶	2052	4	單字	1997	1493	11
聊	2053	4	單字	1585	1532	11
授	2054	4	單字	1253	1589	11
斜	2055	4	單字	1568	1592	11
娶	2056	4	單字	2726	1705	11
啞	2057	4	單字	2543	1760	11
捲	2058	4	單字	1639	1802	11
販	2059	4	單字	1869	1886	11
晝	2060	4	單字	3008	1955	11
唯	2061	4	單字	1295	1964	11
毫	2062	4	單字	1188	1973	11
蛇	2063	4	單字	1960	1977	11
梭	2064	4	單字	2496	1978	11
掏	2065	4	單字	2568	2060	11
烹	2066	4	單字	2618	2113	11
帳	2067	4	單字	1668	2160	11
逍	2068	4	單字	3191	2181	11
偽	2069	4	單字	1967	2206	11
甥	2070	4	單字	/	2209	11
凰	2071	4	單字	3052	2222	11
瓷	2072	4	單字	1956	2248	11
掀	2073	4	單字	2500	2250	11
惋	2074	4	單字	3275	2252	11
偏	2075	4	單字	1204	2264	11
巢	2076	4	單字	2391	2267	11
淒	2077	4	單字	2569	2345	11
悠	2078	4	單字	1661	2371	11
痕	2079	4	單字	1925	2383	11
掩	2080	4	單字	1959	2478	11
捧	2081	4	單字	2006	2543	11
窒	2082	4	單字	3429	2609	11
崎	2083	4	單字	2833	2645	11
聆	2084	4	單字	2650	2906	11
涵	2085	4	單字	1820	/	11
粘	2086	4	單字	3180	/	11
絕	2087	4	單字	637	32	12
評	2088	4	單字	840	538	12
博	2089	4	單字	942	589	12
超	2090	4	單字	777	812	12
測	2091	4	單字	825	880	12
創	2092	4	單字	574	886	12
筒	2093	4	單字	1851	1136	12
菌	2094	4	單字	1840	1177	12
稅	2095	4	單字	1338	1361	12
策	2096	4	單字	851	1362	12
殖	2097	4	單字	1462	1407	12
裁	2098	4	單字	1431	1416	12
堤	2099	4	單字	2240	1424	12
棄	2100	4	單字	1266	1562	12
廊	2101	4	單字	1950	1650	12
喉	2102	4	單字	2174	1662	12
趁	2103	4	單字	2066	1673	12
愉	2104	4	單字	1676	1714	12
鈔	2105	4	單字	2463	1854	12
堡	2106	4	單字	1470	1878	12
脾	2107	4	單字	2370	1913	12
喚	2108	4	單字	1922	2000	12
欽	2109	4	單字	2388	2028	12
萎	2110	4	單字	2645	2052	12
絨	2111	4	單字	2539	2134	12
絡	2112	4	單字	1357	2153	12
猩	2113	4	單字	2829	2157	12
筍	2114	4	單字	2916	2166	12
軸	2115	4	單字	2348	2168	12
湊	2116	4	單字	2322	2169	12
啼	2117	4	單字	2580	2223	12
腕	2118	4	單字	2686	2233	12
傢	2119	4	單字	2253	2316	12
註	2120	4	單字	1611	2328	12
脹	2121	4	單字	1904	2341	12
鈕	2122	4	單字	2662	2382	12
棕	2123	4	單字	2831	2436	12
絮	2124	4	單字	2701	2445	12
堵	2125	4	單字	2542	2454	12
媚	2126	4	單字	2381	2459	12
跛	2127	4	單字	3452	2493	12
渾	2128	4	單字	1985	2496	12
喧	2129	4	單字	2509	2520	12
鈍	2130	4	單字	2944	2595	12
渦	2131	4	單字	2900	2614	12
揀	2132	4	單字	2937	2617	12
詠	2133	4	單字	2673	2756	12
嵌	2134	4	單字	2869	2914	12
廂	2135	4	單字	2555	/	12
揣	2136	4	單字	2848	/	12
溉	2137	4	單字	2666	/	12
聖	2138	4	單字	1176	590	13
僅	2139	4	單字	814	815	13
煩	2140	4	單字	1282	958	13
肆	2141	4	單字	2406	1342	13
酬	2142	4	單字	2112	1545	13
罪	2143	4	單字	1081	1614	13
禍	2144	4	單字	1970	1749	13
椰	2145	4	單字	2718	1786	13
逼	2146	4	單字	1976	1948	13
羨	2147	4	單字	2475	1972	13
歇	2148	4	單字	2398	2023	13
債	2149	4	單字	1882	2077	13
隙	2150	4	單字	2521	2081	13
睜	2151	4	單字	2181	2088	13
殿	2152	4	單字	2145	2109	13
窟	2153	4	單字	2904	2125	13
罩	2154	4	單字	2209	2174	13
猿	2155	4	單字	3047	2182	13
暈	2156	4	單字	2445	2207	13
嗓	2157	4	單字	2932	2226	13
嫌	2158	4	單字	1809	2243	13
馴	2159	4	單字	3038	2259	13
腥	2160	4	單字	2951	2282	13
塘	2161	4	單字	2272	2315	13
腹	2162	4	單字	1794	2370	13
煉	2163	4	單字	2040	2376	13
傲	2164	4	單字	1817	2378	13
碌	2165	4	單字	2274	2392	13
嗜	2166	4	單字	3100	2413	13
傾	2167	4	單字	1334	2419	13
塑	2168	4	單字	1358	2437	13
愧	2169	4	單字	2342	2450	13
塌	2170	4	單字	2526	2492	13
瑚	2171	4	單字	3102	2507	13
靴	2172	4	單字	3467	2577	13
詢	2173	4	單字	1364	2707	13
葫	2174	4	單字	2741	2807	13
蔥	2175	4	單字	/	2817	13
嫉	2176	4	單字	3078	/	13
劃	2177	4	單字	834	50	14
漢	2178	4	單字	957	263	14
漆	2179	4	單字	1942	424	14
蒸	2180	4	單字	1734	1002	14
嘉	2181	4	單字	1446	1207	14
鳳	2182	4	單字	1692	1346	14
複	2183	4	單字	1009	1354	14
遞	2184	4	單字	1749	1487	14
僕	2185	4	單字	2612	1687	14
魂	2186	4	單字	1791	1738	14
榜	2187	4	單字	1954	1743	14
誓	2188	4	單字	2346	1808	14
餃	2189	4	單字	3333	1852	14
寡	2190	4	單字	2488	1858	14
歉	2191	4	單字	2107	2050	14
暢	2192	4	單字	1673	2104	14
碟	2193	4	單字	2345	2114	14
夥	2194	4	單字	1762	2164	14
獄	2195	4	單字	1806	2175	14
誦	2196	4	單字	2503	2180	14
綢	2197	4	單字	3029	2193	14
蝕	2198	4	單字	1999	2281	14
鳴	2199	4	單字	1699	2293	14
障	2200	4	單字	1215	2305	14
緒	2201	4	單字	1690	2331	14
骯	2202	4	單字	3394	2363	14
蓄	2203	4	單字	1946	2373	14
綿	2204	4	單字	1774	2411	14
綴	2205	4	單字	2678	2428	14
嶇	2206	4	單字	3431	2524	14
墅	2207	4	單字	2855	2538	14
慚	2208	4	單字	2981	2557	14
蓆	2209	4	單字	3027	2584	14
摟	2210	4	單字	3085	2602	14
綱	2211	4	單字	1738	2620	14
漲	2212	4	單字	1724	2626	14
熏	2213	4	單字	/	2653	14
屢	2214	4	單字	2729	2674	14
寞	2215	4	單字	2116	2694	14
遜	2216	4	單字	2093	2730	14
摧	2217	4	單字	2826	2872	14
榕	2218	4	單字	2218	/	14
熒	2219	4	單字	3178	/	14
德	2220	4	單字	535	398	15
彈	2221	4	單字	829	505	15
餘	2222	4	單字	771	625	15
暫	2223	4	單字	1473	855	15
質	2224	4	單字	423	907	15
調	2225	4	單字	378	964	15
賭	2226	4	單字	2113	1056	15
廢	2227	4	單字	1388	1115	15
儀	2228	4	單字	1170	1154	15
蔗	2229	4	單字	2804	1307	15
黎	2230	4	單字	1463	1367	15
澈	2231	4	單字	2814	1414	15
摩	2232	4	單字	1226	1418	15
魯	2233	4	單字	1229	1425	15
劍	2234	4	單字	1549	1525	15
醉	2235	4	單字	1659	1537	15
嬌	2236	4	單字	2291	1586	15
颳	2237	4	單字	3075	1624	15
賢	2238	4	單字	1741	1693	15
撥	2239	4	單字	1404	1754	15
慰	2240	4	單字	1603	1763	15
嘲	2241	4	單字	2498	1819	15
遮	2242	4	單字	2146	1821	15
鋤	2243	4	單字	3073	1928	15
稿	2244	4	單字	1605	1937	15
潛	2245	4	單字	1411	1958	15
趟	2246	4	單字	2351	2048	15
踐	2247	4	單字	1827	2080	15
豎	2248	4	單字	2331	2086	15
慕	2249	4	單字	1731	2107	15
漿	2250	4	單字	2056	2185	15
緣	2251	4	單字	1214	2190	15
潤	2252	4	單字	1566	2203	15
霉	2253	4	單字	2986	2212	15
緩	2254	4	單字	1243	2224	15
瞇	2255	4	單字	2917	2241	15
憤	2256	4	單字	1877	2257	15
澄	2257	4	單字	2225	2266	15
撒	2258	4	單字	1705	2317	15
蔚	2259	4	單字	2856	2326	15
糊	2260	4	單字	1685	2357	15
銳	2261	4	單字	1971	2384	15
駛	2262	4	單字	1552	2407	15
誕	2263	4	單字	1429	2415	15
澗	2264	4	單字	3230	2421	15
毅	2265	4	單字	2095	2424	15
稽	2266	4	單字	2598	2468	15
熬	2267	4	單字	2582	2475	15
蔭	2268	4	單字	2424	2480	15
嬉	2269	4	單字	2843	2488	15
磅	2270	4	單字	2824	2491	15
毆	2271	4	單字	3266	2563	15
鞍	2272	4	單字	3181	2567	15
敷	2273	4	單字	2761	2569	15
槳	2274	4	單字	2940	2589	15
螂	2275	4	單字	2770	2600	15
槽	2276	4	單字	2675	2657	15
蓬	2277	4	單字	2148	2662	15
鞏	2278	4	單字	3257	2690	15
磋	2279	4	單字	2788	2721	15
徹	2280	4	單字	1461	/	15
墟	2281	4	單字	3314	/	15
謀	2282	4	單字	1584	56	16
獨	2283	4	單字	616	92	16
戰	2284	4	單字	419	131	16
諾	2285	4	單字	1362	766	16
輸	2286	4	單字	1101	1058	16
曉	2287	4	單字	1356	1190	16
澳	2288	4	單字	1327	1199	16
據	2289	4	單字	450	1375	16
遼	2290	4	單字	2474	1392	16
憑	2291	4	單字	1454	1494	16
儘	2292	4	單字	1291	1640	16
橘	2293	4	單字	2640	1667	16
憶	2294	4	單字	1223	1757	16
謂	2295	4	單字	1244	1962	16
鋸	2296	4	單字	2825	2094	16
劑	2297	4	單字	1638	2151	16
蕊	2298	4	單字	3190	2205	16
骼	2299	4	單字	2942	2261	16
穎	2300	4	單字	2248	2352	16
衡	2301	4	單字	1290	2355	16
懊	2302	4	單字	3132	2367	16
蕪	2303	4	單字	3427	2387	16
輯	2304	4	單字	1787	2388	16
蹄	2305	4	單字	3031	2449	16
濁	2306	4	單字	2778	2451	16
凝	2307	4	單字	1586	2482	16
霍	2308	4	單字	2603	2508	16
鮑	2309	4	單字	2596	2651	16
擅	2310	4	單字	2410	2672	16
衛	2311	4	單字	/	2837	16
諮	2312	4	單字	3448	/	16
營	2313	4	單字	653	826	17
避	2314	4	單字	1013	1131	17
濟	2315	4	單字	542	1200	17
儲	2316	4	單字	1547	1264	17
濱	2317	4	單字	2238	1356	17
餵	2318	4	單字	2481	1504	17
虧	2319	4	單字	1807	1660	17
瞪	2320	4	單字	2254	1748	17
邀	2321	4	單字	1302	1994	17
燭	2322	4	單字	2090	2006	17
蕾	2323	4	單字	2620	2101	17
償	2324	4	單字	2078	2102	17
縫	2325	4	單字	1717	2159	17
糙	2326	4	單字	3054	2171	17
闊	2327	4	單字	1405	2196	17
薯	2328	4	單字	2671	2234	17
懇	2329	4	單字	2533	2249	17
繃	2330	4	單字	3150	2299	17
聳	2331	4	單字	2303	2340	17
燥	2332	4	單字	2404	2354	17
薄	2333	4	單字	1373	2406	17
糟	2334	4	單字	2075	2420	17
謙	2335	4	單字	2223	2446	17
濛	2336	4	單字	3202	2495	17
鍾	2337	4	單字	1975	2500	17
鍵	2338	4	單字	1573	2530	17
薑	2339	4	單字	3093	2559	17
癌	2340	4	單字	1989	2615	17
矯	2341	4	單字	3121	2714	17
趨	2342	4	單字	1927	2831	17
篷	2343	4	單字	2765	/	17
蟑	2344	4	單字	3240	/	17
蟲	2345	4	單字	1222	269	18
獵	2346	4	單字	2014	441	18
鎮	2347	4	單字	1052	649	18
職	2348	4	單字	761	1155	18
鬆	2349	4	單字	1125	1172	18
櫃	2350	4	單字	1634	1941	18
闖	2351	4	單字	2109	2145	18
軀	2352	4	單字	2412	2287	18
鵑	2353	4	單字	2941	2327	18
瀑	2354	4	單字	2687	2438	18
擲	2355	4	單字	2559	2501	18
蟬	2356	4	單字	2888	2621	18
禱	2357	4	單字	2593	2627	18
穢	2358	4	單字	3447	2829	18
簿	2359	4	單字	2279	510	19
證	2360	4	單字	693	720	19
爆	2361	4	單字	1352	1048	19
繪	2362	4	單字	1403	1262	19
