# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
咟	bếch		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻]
胉	bệch	𤽸胉 trắng bệch	U+80C9
𠷨	bẻm	𠷨𠵐 bẻm mép	[翻] U+20DE8
𤶒󠄁	ben	𫉱𤶒󠄁 lang ben	U+24D92 U+E0101
䡢	ben	車䡢 xe ben · 車載䡢 xe tải ben	U+4862
𤓩（𤊰）	bén	焒𤓩𠓨稴 lửa bén vào rơm · 銫 𤓩 sắc bén	U+244E9 (U+242B0)
惼	bẽn	惼𢤠 bẽn lẽn [𠸨]	U+60FC
抃	bện	抃𥿣 bện chão	U+6283
鋲	beng	杈鋲 xà beng	[翻] U+92F2
鋲	bênh		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻]
泙	bềnh	泠泙 lềnh bềnh	U+6CD9
𧴋	beo	𤜯𧴋 cọp beo · 𦝂𧴋 đít beo · 𧴋𦖻 beo tai	U+27D0B
䕯	bèo	蘿䕯 lá bèo · 䕯蕘 bèo nhèo [𠸨] · 餅䕯 bánh bèo	[翻] U+456F
殍	bẽo	薄殍 bạc bẽo [𠸨]	U+6B8D
𠻅	bẹp	碮𠻅 đè bẹp · 㑲𠻅 nằm bẹp · 𠻅拰 bẹp dúm	U+20EC5
𥇂	bét	𥇂眜 bét mắt · 項𥇂 hạng bét ·捏𥇂 nát bét · 𠾦𥇂 be bét [𠸨]	[翻] U+251C2
𫊽	bét	蟡𫊽 ve bét	U+2B2BD
𡌀	bết	𡌀潑 bết bát [𠸨] · 𨀺𡌀 lết bết · 𠶎𡌀 bê bết	U+21300
𡋾	bệt	𱖗𡋾 ngồi bệt · 咧𡋾 lệt bệt · 咖啡𡋾 cà phê bệt	U+212FE
彼	BỈ	彼岸 bỉ ngạn · 彼嗇斯豐 bỉ sắc tư phong	U+5F7C
苾	bí	果苾 quả bí	U+82FE
𠸠󠄁（𠸠）	bí	𠸠󠄁甫 bí bo [聲]	U+20E20 U+E0101 (U+20E20)
否	BĨ	運否 vận bĩ · 否極泰來 bĩ cực thái lai	U+5426
否	PHỦ	否認 phủ nhận · 否定 phủ định · 否決 phủ quyết	
俖	bĩ	俖㥬 bĩ bàng	U+4FD6
柀	bìa	柀冊 bìa sách · 柀𡹃 bìa rừng	U+67C0
詖	bịa	詖撻 bịa đặt	U+8A56
甓	bịch	甓𥟉 bịch thóc · 甓𥼱 bịch kẹo · 篰甓 bồ bịch · 𠏆甓 bồ bịch	U+7513
砭	biếm	針砭 châm biếm	"讀差𧵑「砭 biêm 」。 Đọc sai của ""砭 biêm "". U+782D"
砭	bìm	砭䒦 bìm bịp	[翻]
貶	BIẾM	褒貶 bao biếm · 貶畫 biếm hoạ	U+8CB6
騙	BIỂN	騙取 biển thủ	U+9A19
洴	biền	𣵮洴 bưng biền	U+6D34
駢	biền	駢別 biền biệt	U+99E2
諘	biểu	𠲖𪀊徠低諘！ Ê cu lại đây biểu! · 僶其、𫥨低𠋺諘！ Thằng kia, ra đây tao biểu!	U+8AD8
𠍥	bỉm	丐𠍥 cái bỉm · 𠍥𠫾 bỉm đi	U+20365
汴	bin	汴𠲅 bin (pin) sạc [摱]	U+6C74
𠯴	bịn	𠯴湅 bịn rịn [𠸨]	[翻] U+20BF4
丙	BÍNH	丙子 Bính Tí · 丙寅 Bính Dần	U+4E19
柄	BÍNH	權柄 quyền bính	U+67C4
砰	bình	砰礔 bình bịch [聲]	U+7830
胼	bĩnh	匏胼 bầu bĩnh · 破胼 phá bĩnh	U+80FC
䒦	bịp	砭䒦 bìm bịp	[翻] U+44A6
瓢	bìu	瓢𢬢 bìu díu · 瓢𬃻 bìu dái	[翻] U+74E2
