# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
㨥	nem	㨥㨥 nem nép [𠸨]	⇔ 㨥 nép
𬗂	nếp	咹𬗂 ăn nếp · 𥽌𬗂 gạo nếp · 𬗂丐 nếp cái · 𨢇𬗂 rượu nếp · 𬗂粃 nếp tẻ · 穭𬗂 lúa nếp	U+2C5C2
𠹑	nẹt	𠴓𠹑 đe nẹt	U+20E51
𢟗	nết	𢟗那 nết na · 仄𢟗 trắc nết · 性 𢟗 tính nết	U+227D7
𪡇	nỉ	𪡇嫩 nỉ non · 奈𪡇 nài nỉ [𠸨] · 𡅧𪡇 năn nỉ [𠸨] · 襖𪡇 áo nỉ [摱] · 𥶄𪡇 nón nỉ [摱]	U+2A847
𪡇	nì	𡅧𪡇 nằn nì [𠸨]	⇔ 𪡇 nỉ
鈮	nĩa	用鈮劅𪿙 dùng nĩa xúc vôi	U+922E
𡀡	ních	𠴐𡀡 núc ních · 𬘋𡀡 chặt ních	[翻] U+21021
𡀡	ninh	𡀡𡀡 ninh ních [𠸨]	⇔ 𡀡 ních
𠺁	nịch	𠺁𠺁 nình nịch [𠸨]	U+20E81
𠺁	nình	𠺁𠺁 nình nịch [𠸨]	⇔ 𠺁 nịch
薴	niễng	榘薴 củ niễng	U+85B4
䗿	niễng	䗿䗿 niềng niễng [𠸨]	U+45FF
䗿	niềng	䗿䗿 niềng niễng [𠸨]	⇔ 䗿 niễng
𦉗	niêu	鈉𦉗 nồi niêu · 𩚵𦉗 cơm niêu	U+26257
尿	NIỆU	尿道 niệu đạo	U+5C3F
𦡲	nính	𨆞𦡲 núng nính [𠸨]	U+26872
𥷨	níp	𣗿𥷨 tủ níp	[翻] U+25DE8
𦄇	nịt	絏𦄇 dây nịt · 抳𦄇 nai nịt	[翻] U+26107
𫼩	níu	𫼩捁 níu kéo	[翻] U+2BF29
溺	nịu	㕴溺 nũng nịu	U+6EBA
弩	nỏ	𢹿弩 lẫy nỏ · 弩別 nỏ biết · 弩得 nỏ được	U+5F29
𬊨	nỏ	𤇨𬊨 phơi nỏ · 𬊨𠵘 nỏ mồm	U+2C2A8
伮	nó	衆伮 chúng nó	[異] 奴 U+4F2E
奴	NÔ	奴隸 nô lệ · 家奴 gia nô · 奴婢 nô tì	U+5974
𦀨	nơ	丐𦀨 cái nơ · 𦀨𧊉 nơ bướm	[翻] U+26028
㣽	nỡ	㣽𱜢 nỡ nào	[異] 女 𡝖 𦬑 U+38FD
卵	NOÃN	卵黃 noãn hoàng · 卵巢 noãn sào	U+5375
𧂭	nóc	𧂭茹 nóc nhà · 𣔻自𧂭𣔻𬺗 dột từ nóc dột xuống	U+270AD
𩽖	nóc	𩵜𩽖 cá nóc	U+29F56
𣕬	nọc	㨂𣕬 đóng nọc	[翻] U+2356C
蝳	nọc	蝳毒 nọc độc · 蝳𧋻 nọc rắn ·蝳蝳 nòng nọc [𠸨]	U+8773
蝳	nòng	蝳蝳 nòng nọc [𠸨]	⇔ 蝳 nọc
𡄍	nốc	𡄍𨡕 nốc bia · 𡄍𨢇 nốc rượu ·隻𡄍 chiếc nốc	U+2110D
𨁡	noi	𨁡蹺 noi theo · 𨁡𦎛 noi gương	U+28061
𣊌	nôi	𣌝𣊌 nắng nôi [𠸨]	U+2328C
𥱮	nôi	丐𥱮 cái nôi · 催𥱮 thôi nôi	U+25C6E
摕	nới	摕挵 nới lỏng	U+6455
摕	nơi	摕摕 nơi nới [𠸨]	⇔ 摕 nới
唸	nỏm	匿唸 nắc nỏm [𠸨]	U+5538
喃	nôm	𡨸喃 chữ Nôm · 喃那 nôm na	[翻] U+5583
𩄑	nồm	𩙍𩄑 gió nồm · 𡗶𩄑 trời nồm	U+29111
䭃	nộm	䭃𧍇 nộm sứa · 䭃花荎 nộm hoa chuối	U+4B43
䈒	nơm	䈒扒𩵜 nơm bắt cá	U+4212
𧀒	nõn	𧀒荎 nõn chuối · 𧀒㑚 nõn nà	U+27012
𧀒	nõ	𧀒娘 nõ nường [𠸨]	⇔ 𧀒 nõn
擃	nong	擃𩌂 nong giày · 擃飭 nong sức · 擃嗱 nong nả · 椌固擃鏡 khung có nong kính	U+64C3
𥵛	nong	𥵛蠶 nong tằm · 丐𥵛 cái nong	U+25D5B
𪇌	nông	𪁭𪇌 bồ nông	U+2A1CC
襛	nỗng	襛襛 nồng nỗng [𠸨]	U+895B
襛	nồng	襛襛 nồng nỗng [𠸨]	⇔ 襛 nỗng
𢟕	nớp	𢟕𢟕 nơm nớp [𠸨]	U+227D5
𢟕	nơm	𢟕𢟕 nơm nớp [𠸨]	⇔ 𢟕 nớp
𠯆	nự	拒𠯆 cự nự	U+20BC6
𦶦	nưa	勃𦶦 bột nưa · 嗏𦶦 Chà Nưa	U+26DA6
𥫭	nứa	𣘃𥫭 cây nứa	U+25AED
𠴐	núc	𠴐𡀡 núc ních	[翻] U+20D10
𰈒	nục	𰈒䑈 nục nạc [𠸨]	U+30212
𤎐	nực	𤎐內 nực nội [𠸨]	U+24390
埝	núm	埝𡑵 núm vung · 埝斤 núm cân · 𨆃埝 khúm núm	[翻] U+57DD
埝	num	埝埝 num núm [𠸨]	⇔ 埝 núm [翻]
蕽	nùn	蕽稴 nùn rơm	[翻] U+857D
儂	nùng	𠊛儂 người Nùng	[翻] U+5102
憹	nùng	惱憹 não nùng	U+61B9
㕴	nũng	𫜵㕴 làm nũng · 㕴溺 nũng nịu · 𡥵㕴媄 con nũng mẹ	U+3574
㕴	nhủng	㕴𦅯 nhủng nhẳng [𠸨]	
湳	nườm	湳𣻀 nườm nượp [𠸨]	U+6E73
䁸	nuông	䁸朝 nuông chiều	U+4078
𢭗	nương	𢭗𨉟𠓨𧦕 nương mình vào ghế	U+22B57
娘	NƯƠNG	姑娘 cô nương · 娘娘 nương nương	U+5A18
娘	nàng	娘仙 nàng tiên · 娘妯 nàng dâu	
娘	nường	𧀒娘 nõn nường [𠸨]	
𣻀	nượp	湳𣻀 nườm nượp [𠸨]	U+23EC0
𱟄	nuột	𱟄㑚 nuột nà · 惱𱟄 não nuột [𠸨]	U+317C4
𥧩	núp	𥧩𨉟 núp mình · 𥧩𣈖 núp bóng	[翻] U+259E9
莪	nga	𦹯莪 cỏ nga	U+83AA
鱳	ngác	𩵜鱳 cá ngác	U+9C73
㗁	ngạc	㗁𦙥 ngạc họng	U+35C1
腭	NGẠC	腭化 ngạc hoá	U+816D
鱷	NGẠC	鯨鱷 kình ngạc	U+9C77
𥔲	ngắc	𥔲迯 ngắc ngoải · 𥔲語 ngắc ngứ · 㑋𥔲 ngúc ngắc	U+25532
𠊎	ngái	𠊛𠊎 người Ngái	U+2028E
𠵨	ngáy	𠵨𠵨 ngay ngáy [𠸨] · 𠵨哺哺 ngáy pho pho	U+20D68
𠵨	ngay	𠵨𠵨 ngay ngáy [𠸨]	⇔ 𠵨 ngáy
𰟅	ngấy	𰟅焠 ngấy sốt · 𰟅𰟅 ngây ngấy [𠸨]	U+307C5
𰟅	gây		⇔ 𰟅 gấy
𰟅	gấy		⇔ 𰟅 ngấy
𰟅	ngây		⇔ 𰟅 ngấy
蔇	ngấy	𣘃蔇 cây ngấy · 𠹗蔇 chát ngấy · 蔇香 ngấy hương	U+8507
𠵌	ngầy	𠵌玡 ngầy ngà [𠸨]	U+20D4C
𠵌	nghí	𠵌𨀑 nghí ngoáy [𠸨]	
𦡡	ngậy	脿𦡡 béo ngậy	U+26861
儑	ngám	儑儑 ngam ngám [𠸨]	U+5111
儑	ngam	儑儑 ngam ngám [𠸨]	⇔ 儑 ngám
黔	ngăm	黔黔黰 ngăm ngăm đen	U+9ED4
吟	ngâm	吟哦 ngâm nga · 吟詩 ngâm thơ · 吟詠 ngâm vịnh	[翻] U+541F
汵	ngâm	茄汵𩻐 cà ngâm mắm · 汵𩵽 ngâm tôm	U+6C75
𪃛	ngan	𪃛𪄌 ngan ngỗng	U+2A0DB
岸	NGẠN	右岸 hữu ngạn · 左岸 tả ngạn	U+5CB8
諺	NGẠN	諺語 ngạn ngữ	U+8AFA
𠵫	ngàng	𢣸𠵫 ngỡ ngàng	U+20D6B
硬	NGẠNH	剛硬 cương ngạnh	U+786C
樈	ngạnh	怏樈 ương ngạnh · 箭固樈 tên có ngạnh · 樈𩵜𩵾 ngạnh cá trê	U+6A08
𩺿	ngạnh	𩵜𩺿 cá ngạnh	U+29EBF
遨	NGAO	遨遊 ngao du	U+9068
獒	NGAO	㹥獒 chó ngao	U+7352
螯	ngao	𡥵螯 con ngao	U+87AF
獓	ngáo	𡥵獓 con ngáo · 獓𧋾 ngáo ộp ·忤獓 ngổ ngáo · 獓𥒥 ngáo đá	U+7353
𬳜	ngát	八𬳜 bát ngát · 𦹳𬳜 thơm ngát · 𬳜香 ngát hương · 𩂁𬳜 ngút ngát	U+2CCDC
𠖯	ngắt	𦻳𠖯 tím ngắt · 冷𠖯 lạnh ngắt	U+205AF
𢪰	ngắt	𢪰𠳒 ngắt lời · 𢪰葻花 ngắt bông hoa	U+22AB0
𢪰	lắt	𢪰花 lắt hoa	⇔ 𢪰 ngắt
𣿃	ngấu	𩻐𣿃 mắm ngấu · 𣿃哯 ngấu nghiến	U+23FC3
湡	ngầu	濁湡 đục ngầu · 矓窒湡 trông rất ngầu	[翻] U+6E61
湡	ngụa	汲湡 ngập ngụa [𠸨]	
𠿄	ngậu	𠿄𬽾 ngậu xị	U+20FC4
犠（𤚇）	nghé	𡥵犠 con nghé	U+72A0 (U+24687)
𠊙	nghè	翁𠊙 ông nghè · 𠊙𥾘 nghè sợi	[翻] U+20299
𤈝	nghẹ	𤮗𤈝 lọ nghẹ	U+2421D
倪	NGHÊ	𣱆倪 họ Nghê · 悞倪 ngô nghê [𠸨] · 𥄬倪 ngủ nghê [𠸨]	U+502A
猊	NGHÊ	狻猊 toan nghê · 𡥵猊 con nghê	U+730A
鯢	NGHÊ	鯨鯢 kình nghê	U+9BE2
乂	NGHỆ	乂安 Nghệ An	U+4E42
𪭄	nghệch	𩈘𪭄 mặt nghệch · 㘈𪭄 ngờ nghệch · 𪭄愕 nghệch ngạc [𠸨]	U+2AB44
噖	nghêm		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻] U+5656
垷	nghẽn	塞垷 tắc nghẽn	U+57B7
撓	nghẽo	扢撓 ngặt nghẽo [𠸨]	U+6493
撓	nghẹo	扢撓 ngặt nghẹo [𠸨]	
嘵	nghêu	嘵嗷 nghêu ngao	U+5635
嘵	nhéo	叫嘵嘵 kêu nheo nhéo	[翻]
嘵	nheo	嘵嘵 nheo nhéo [𠸨]	⇔ 嘵 nhéo [翻]
嶢	nghểu	𡴯嶢 ngất nghểu [𠸨]	U+5DA2
𥪯	nghễu	𥪯喭 nghễu nghện [𠸨]	U+25AAF
宜	NGHI	便宜 tiện nghi · 適宜 thích nghi	U+5B9C
儼	NGHIỄM	儼然 nghiễm nhiên	U+513C
儼	ngẩm	心儼 tâm ngẩm · 𩜽儼 ngán ngẩm [𠸨]	
哯	nghiến	哯𪘵 nghiến răng · 𣿃哯 ngấu nghiến · 𠸂哯 nuốt nghiến	U+54EF
㘙	nghỉm	沈㘙 chìm nghỉm · 𤎕㘙 tắt nghỉm	U+3619
㘙	ngoém	㘙㘙 ngoem ngoém [𠸨]	
㘙	ngoem	㘙㘙 ngoem ngoém [𠸨]	⇔ 㘙 ngoém
頸	nghĩnh	唔頸 ngộ nghĩnh [𠸨]	U+9838
𠑦	nghịt	𠑦𪖫 nghịt mũi · 黰𠑦 đen nghịt · 佟𠑦 đông nghịt · 𠑦𠑦 nghìn nghịt [𠸨]	U+20466
𠑦	nghìn	𠑦𠑦 nghìn nghịt [𠸨]	⇔ 𠑦 nghịt
憢	nghỉu	鐎憢 tiu nghỉu	U+61A2
憢	nghịu	𢗾憢 ngượng nghịu [𠸨] · 𡅑憢 ngọng nghịu [𠸨]	
𢫸	ngo	𢫸㧪 ngo ngoe	U+22AF8
藕	ngó	藕蓮 ngó sen · 藕𧃷 ngó khoai	U+85D5
茣	ngò	蔞茣 rau ngò	U+8323
蜈	NGÔ	蜈蚣 ngô công	U+8708
𦬶	ngổ	蔞𦬶 rau ngổ	U+26B36
忤	NGỖ	忤逆 ngỗ nghịch · 忤逆 ngỗ ngược	U+5FE4
忤	ngổ	忤獓 ngổ ngáo	
悟	NGỘ	覺悟 giác ngộ · 醒悟 tỉnh ngộ	U+609F
𢣸	ngỡ	𠳝𢣸 bỡ ngỡ · 𢣸𠵫 ngỡ ngàng	U+228F8
訛	ngoa	吶訛 nói ngoa · 刁訛 điêu ngoa	U+8A1B
鈺	ngoắc	鈺𢬣 ngoắc tay	U+923A
𢫛	ngoặc	𨁪𢫛夾 dấu ngoặc kép	U+22ADB
𠱓	ngoai	𢢯𠱓 nguôi ngoai [𠸨]	U+20C53
迯	ngoải	𥔲迯 ngắc ngoải	U+8FEF
𨀑	ngoáy	𨀑脽 ngoáy đuôi · 𥄭𨀑 ngó ngoáy [𠸨]	U+28011
𠶃	ngoạm	𠶃𥙩 ngoạm lấy · 㹥𠶃𩩫 chó ngoạm xương	U+20D83
𠰂	ngoẳn	𠽓𠰂 ngủn ngoẳn [𠸨]	U+20C02
𠰂	ngoẻn	𠰂𠰂 ngoen ngoẻn [𠸨]	
𠰂	ngoen	𠰂𠰂 ngoen ngoẻn [𠸨]	⇔ 𠰂 ngoẻn
𱒌	ngoảng	𱒌𱒌 ngoang ngoảng [𠸨]	U+3148C
𱒌	ngoang	𱒌𱒌 ngoang ngoảng [𠸨]	⇔ 𱒌 ngoảng
弘	ngoằng	啷弘 loằng ngoằng [𠸨]	U+5F18
𥋓	ngoảnh	𥋓徠 ngoảnh lại · 𥋓𩈘 ngoảnh mặt	U+252D3
𠲺	ngoáp	𠲺𠲺 ngoam ngoáp [𠸨]	U+20CBA
𠲺	ngóp	𢶼𠲺 ngoi ngóp	
𠲺	ngoam	𠲺𠲺 ngoam ngoáp [𠸨]	⇔ 𠲺 ngoáp
𭨦	ngoắt	𭨦僥 ngoắt ngoéo [𠸨]	U+2DA26
逧	ngóc	逧𡿃 ngóc ngách · 逧頭 ngóc đầu	U+9027
𣔣	ngộc	𣔣𪭄 ngộc nghệch [𠸨]	U+23523
㧪	ngoe	㧪𭡏 ngoe nguẩy · 𢫸㧪 ngo ngoe · 㧪脽 ngoe đuôi	U+39EA
蛫	ngoé	蛫蛫 ngoe ngoé [𠸨]	U+86EB
蛫	ngoe	蛫蛫 ngoe ngoé [𠸨]	⇔ 蛫 ngoé
㳉	ngoét	㐳㳉 ngót ngoét	U+3CC9
𢶼	ngoi	𢶼𠲺 ngoi ngóp · 𢶼𧻭 ngoi dậy	U+22DBC
𤬪	ngói	坧𤬪 gạch ngói	[翻] U+24B2A
𩿺	ngói	𪀄𩿺 chim ngói	U+29FFA
𦛽	ngỏm	𥿂𦛽 tom ngỏm [𠸨]	U+266FD
𤼔	ngợm	𠊛𤼔 người ngợm · 逆𤼔 nghịch ngợm	U+24F14
𪐬	ngòn	黰𪐬 đen ngòn · 𧹻𪐬 đỏ ngòn · 𪐬𦙴 ngòn chỏ	U+2A42C
𦰟	ngọn	𦰟畑 ngọn đèn · 𦰟𣘃 ngọn cây · 𦰟源 ngọn nguồn	U+26C1F
𬢞	ngộn	𬢞𬢞 ngồn ngộn [𠸨]	U+2C89E
𬢞	ngồn	𬢞𬢞 ngồn ngộn [𠸨]	⇔ 𬢞 ngộn
𥍎	ngóng	𥍎矓 ngóng trông	U+2534E
𥍎	ngong	𥍎𥍎 ngong ngóng [𠸨]	⇔ 𥍎 ngóng
隅	ngòng	隅蟯 ngòng ngoèo [𠸨]	U+9685
𡅑	ngọng	吶𡅑 nói ngọng · 𡅑憢 ngọng nghịu [𠸨]	U+21151
顒	ngông	顒狂 ngông cuồng	U+9852
茙	ngồng	茙茙 ngồng ngồng [𠸨]	U+8319
𪄌	ngỗng	𪃛𪄌 ngan ngỗng	U+2A10C
𥆹	ngớp	𥆹𥆹 ngơm ngớp [𠸨]	U+251B9
𥆹	ngơm	𥆹𥆹 ngơm ngớp [𠸨]	⇔ 𥆹 ngớp
㐳	ngót	㐳㳉 ngót ngoét · 𱑛㐳 trứng ngót · 㐳𠬠世紀 ngót một thế kỉ	U+3433
㐳	ngon	㐳㐳 ngon ngót [𠸨]	⇔ 㐳 ngót
𦬂	ngót	𫈨𦬂 ráy ngót · 蔞𦬂 rau ngót	U+26B02
兀	NGỘT	突兀 đột ngột	[翻] U+5140
𠯪	ngớt	𠯪𢚷 ngớt giận · 𠯪𩄎 ngớt mưa	U+20BEA
𠯪	ngơn	𠯪𠯪 ngơn ngớt [𠸨]	⇔ 𠯪 ngớt
𬗙	ngù	𬗙㘈 ngù ngờ [𠸨]	U+2C5D9
魚	NGƯ	鮑魚 bào ngư	U+9B5A
𣊘	ngừ	垠𣊘 ngần ngừ	U+23298
俉	ngữ	俉𧘇𫜵咹之得 ngữ ấy làm ăn gì được	U+4FC9
敔	ngữ	咹消固敔 ăn tiêu có ngữ	U+6554
𤻭	ngứa	𤻭𠵨 ngứa ngáy [𠸨] · 𤻭蹎 ngứa chân · 𤻭藝 ngứa nghề	U+24EED
𭡏	nguây	𭡏𭡏 nguây nguẩy	U+2D84F
𭡏	nguẩy	𭡏𭡏 nguây nguẩy · 𭡏頭辭挃 nguẩy đầu từ chối	
𭡏	ngoay	𭡏𭡏 ngoay ngoảy [𠸨]	⇔ 𭡏 ngoảy
𭡏	ngoảy	澿𭡏 ngấm ngoảy [𠸨]	⇔ 𭡏 nguẩy
𠰻	nguậy	午𠰻 ngọ nguậy [𠸨]	U+20C3B
𠰻	ngoạy	午𠰻 ngọ ngoạy [𠸨]	⇔ 𠰻 nguậy
㑋	ngúc	㑋𥔲 ngúc ngắc	U+344B
哎	ngủi	𠦯哎 ngắn ngủi [𠸨]	[翻] U+54CE
𬹯	ngửi	𬹯𧡊 ngửi thấy · 𭊪𬹯 hít ngửi · 𬹯苿 ngửi mùi	U+2CE6F
魏	NGUỴ	阿魏 a nguỵ · 𣱆魏 họ Nguỵ	U+9B4F
𥊜	nguýt	澿𥊜 ngấm nguýt [𠸨]	U+2529C
喁	ngụm	𠬠喁渃 một ngụm nước	[翻] U+5581
𤉘	ngún	𤉘焒 ngún lửa	[翻] U+24258
𤸒	ngúng	𤸒𭡏 ngúng nguẩy [𠸨]	U+24E12
𥈴	ngước	𥈴眜 ngước mắt · 𥈴𬨠 ngước lên	U+25234
𢢯	nguôi	𢢯𠱓 nguôi ngoai [𠸨] · 𢢯𢚷 nguôi giận	U+228AF
𱐂	nguội	𱐂冷 nguội lạnh · 𩚵𱐂 cơm nguội · 𠏲𱐂 thợ nguội	U+31402
𱐂	nguồi	𱐂𱐂 nguồi nguội [𠸨]	⇔ 𱐂 nguội
崞	ngưởng	𡴯崞 ngất ngưởng [𠸨]	U+5D1E
𩓛	ngụp	𩓛𬺗 ngụp xuống	[翻] U+294DB
𩂁	ngút	𡶀高𩂁 núi cao ngút · 霓𩂁 nghi ngút	[翻] U+29081
𤈡	ngụt	𤈡𤈡 ngùn ngụt [𠸨]	U+24221
𤈡	ngùn	𤈡𤈡 ngùn ngụt [𠸨]	⇔ 𤈡 ngụt
牛	NGƯU	牛郎 ngưu lang · 金牛 kim ngưu · 𣇟牛 sao ngưu	U+725B
丫	NHA	丫鬟 nha hoàn	U+4E2B
丫	a	丫鬟 a hoàn	
芽	NHA	芽莊 Nha Trang	U+82BD
𠰹	nhả	𠰹𫥨 nhả ra · 𠰹𩝇 nhả mồi · 𡂒𠰹 chớt nhả	U+20C39
𤆹	nhá	𤆹濂 nhá nhem	U+241B9
㦡	nhác	𭞣㦡 nhếch nhác · 𬇣㦡 nháo nhác · 𢙫㦡 nhớn nhác	U+39A1
㦡	dác		⇔ 㦡 nhác
䁻	nhác	䁻𧡊 nhác thấy · 䁻矓 nhác trông	U+407B
𠯅	nhắc	𠯅𢬨 nhắc nhở [𠸨] · 𠯅徠 nhắc lại · 𠯅𡀯𫇰𫜵之朱𢞂 nhắc chuyện cũ làm gì cho buồn	U+20BC5
啀	nhai	啀𩚵 nhai cơm	U+5540
啀	nhài	𢯦啀 lài nhài [𠸨]	⇔ 啀 nhai
涯	NHAI	天涯 thiên nhai · 生涯 sinh nhai	[翻] U+6DAF
涯	nhải	涯涯 nhai nhải [𠸨]	[翻]
𦲒	nhài	花𦲒 hoa nhài	U+26C92
𦲒	lài		⇔ 𦲒 nhài
爾	nhãi	爾囁 nhãi nhép [𠸨]	U+723E
𠽬	nhại	𠽬徠 nhại lại · 𪀄𠽬 chim nhại · 濔𠽬 nhễ nhại · 𠽬𠳒𠊛恪 nhại lời người khác	U+20F6C
捱	nhay	捱捱 nhay nhay [𠸨]	U+6371
𥅘	nháy	𥅘眜 nháy mắt · 扖𥅘 nhấp nháy	U+25158
𥅘	nhay	𥅘𥅘 nhay nháy [𠸨]	⇔ 𥅘 nháy
𮛢	nhạy	𮛢𤓩 nhạy bén · 𮛢感 nhạy cảm · 𮞊𮛢 nhanh nhạy	U+2E6E2
徍	nhầy	徍濡 nhầy nhụa · 𠍣徍 bầy nhầy	[翻] U+5F8D
岩	NHAM	岩石 nham thạch · 岩險 nham hiểm	U+5CA9
岩	ngồm	岩含 ngồm ngoàm [𠸨]	
𩜠	nham	咹𩜠 ăn nham · 糮𩜠 lam nham	U+29720
𰪯	nhám	紙𰪯 giấy nhám · 𰪯𰪯 nham nhám [𠸨] · 𰪯謲 nhám xàm	U+30AAF
𰪯	nham	𰪯𰪯 nham nhám [𠸨]	⇔ 𰪯 nhám
𩸶	nhám	𩵜𩸶 cá nhám	U+29E36
𥄮	nhắm	𥄮眜 nhắm mắt	[翻] U+2512E
𠲏	nhắm	𠲏𨢇 nhắm rượu	U+20C8F
壬	NHÂM	壬申 Nhâm Thân · 壬辰 Nhâm Thìn	U+58EC
𠿹	nhẩm	𡀫𠿹 lẩm nhẩm · 併𠿹 tính nhẩm	U+20FF9
𠰃	nhấm	齽𠰃 gặm nhấm	U+20C03
𠰃	nhồm	𠰃啱 nhồm nhàm [𠸨]	
𠰃	nhuôm	𠰃𠰃 nhuôm nhuôm [𠸨]	
雁	NHẠN	𪀄雁 chim nhạn	U+96C1
雁	nhàn		⇔ 雁 nhạn
仞	nhẳn	仞仞 nhăn nhẳn [𠸨]	U+4EDE
仞	nhẩn	仞芽 nhẩn nha	
仞	nhăn	仞仞 nhăn nhẳn [𠸨]	⇔ 仞 nhẳn
仞	nhân	仞仞 nhân nhẩn [𠸨]	⇔ 仞 nhẩn
𣼴	nhẵn	歇𣼴 hết nhẵn · 𣼴𣾶 nhẵn nhụi [𠸨] · 𣼴𩈘 nhẵn mặt · 𠫾 𣼴塘 đi nhẵn đường	U+23F34
𠽗	nhặn	雅𠽗 nhã nhặn [𠸨]	U+20F57
姻	NHÂN	婚姻 hôn nhân · 姻緣 nhân duyên	U+59FB
𠯄	nhẫn	自𧘇𠯄𫢩 từ ấy nhẫn nay	U+20BC4
爙	nhang	爙畑 nhang đèn	U+7219
瓖	nhàng	珥瓖 nhẹ nhàng [𠸨] · 廊瓖 làng nhàng	[翻] U+74D6
芿	nhăng	榘芿 củ nhăng	U+82BF
𠲕	nhăng	掕𠲕 lăng nhăng [𠸨] · 𠐔𠲕 nhố nhăng [𠸨]	U+20C95
𦅯	nhẳng	𦅯𦅯 nhăng nhẳng [𠸨]	U+2616F
𦅯	nhăng	𦅯𦅯 nhăng nhẳng [𠸨]	⇔ 𦅯 nhẳng
囔	nhắng	囔𱎰 nhắng nhít [𠸨]	U+56D4
嚷	nhằng	㖫嚷 lằng nhằng [𠸨] · 入嚷 nhập nhằng [𠸨] · 二嚷 nhì nhằng [𠸨]	U+56B7
𠯹	nhẵng	冗𠯹 nhũng nhẵng	U+20BF9
𠯹	nhằng	𠯹𠯹 nhằng nhẵng [𠸨]	⇔ 𠯹 nhẵng
蠅	nhặng	𧋆蠅 ruồi nhặng · 蠅𬽾 nhặng xị · 𫜵蠅𬨠 làm nhặng lên	U+8805
椩	nhành	椩𣘃 nhành cây · 㨢𱠴椩花 nâng niu nhành hoa	U+6929
拎	nhạnh	抇拎 nhặt nhạnh [𠸨]	U+62CE
堯	nhao	吶堯堯 nói nhao nhao	U+582F
𬇣	nháo	八𬇣 bát nháo · 𬇣𤄮 nháo nhào · 𥇈𬇣 nhốn nháo	[翻] U+2C1E3
𬇣	dáo		⇔ 𬇣 nháo
𤄮	nhào	𤄮𪵅 nhào lộn · 𨁟𤄮 ngã nhào	U+2412E
𤃤	nhão	𡐙𤃤 đất nhão · 繌𤃤 mềm nhão · 𤃤𥹽 nhão nhoét [𠸨]	U+240E4
𠿱	nhạo	𠿱謗 nhạo báng · 𠶜𠿱 chế nhạo	U+20FF1
𡊠	nháp	紙𡊠 giấy nháp · 𣱿𡊠 nhớp nháp	[翻] U+212A0
𡊠	nham	𡊠𡊠 nham nháp [𠸨]	⇔ 𡊠 nháp
扖	nhấp	扖𠰘 nhấp miệng · 扖𥅘 nhấp nháy · 扖䠨 nhấp nhổm	U+6256
𡥌	nhắt	𡥌𡥌 lắt nhắt · 𤝞𡥌 chuột nhắt	[翻] U+2194C
𡥌	lắt	𤝞𡥌 chuột lắt	⇔ 𡥌 nhắt
抇	nhặt	𠹌抇𬘋𣖾 năng nhặt chặt bị	U+6287
橈	nhàu	𣘃橈 cây nhàu · 𬃻橈 trái nhàu	U+6A48
𦈂	nhàu	𡲫𦈂 vải nhàu · 𦈂捏 nhàu nát · 𧧷𦈂 càu nhàu · 𦈂𦈂 nhàu nhàu	U+26202
洏	nhè	哭洏 khóc nhè · 洏𪥘󠄁𣈜 nhè cả ngày · 洏頭𦓡打 nhè đầu mà đánh	U+6D0F
濔	nhễ	濔𠽬 nhễ nhại	U+6FD4
𭞣	nhếch	𭞣㦡 nhếch nhác	[翻] U+2D7A3
呥	nhẻm	呥𣲹濂 nhẻm nhèm nhem [𠸨]	U+5465
呥	nhem	呥呥 nhem nhẻm [𠸨]	⇔ 呥 nhẻm
𣲹	nhèm	𠿳𣲹 lèm nhèm · 入𣲹 nhập nhèm	[翻] U+23CB9
𠇦	nhẹm	𡨺𠇦 giữ nhẹm · 掩𠇦 ém nhẹm	U+201E6
𠇦	dẹm	掩𠇦 ém dẹm [𠸨]	⇔ 𠇦 nhẹm
蝒	nhện	𦁸蝒 mạng nhện · 𡥵蝒 con nhện	U+8752
蝒	dện		⇔ 蝒 nhện
𤾱	nhênh	𤽸𤾱 trắng nhênh	[翻] U+24FB1
䁱	nheo	䁱眜 nheo mắt	U+4071
鱙	nheo	𩵜鱙 cá nheo	U+9C59
𡅍	nhẻo	𡅍𡅍 nheo nhẻo [𠸨]	U+2114D
𡅍	nheo	𡅍𡅍 nheo nhẻo [𠸨]	⇔ 𡅍 nhẻo
蕘	nhèo	䕯蕘 bèo nhèo [𠸨]	U+8558
繞	nhẽo	冗繞 nhõng nhẽo [𠸨]	U+7E5E
繞	nhếu	繞𬇣 nhếu nháo [𠸨]	
繞	nhiễu	巾繞 khăn nhiễu	
𠰉	nhẹo	𠰉𠰉 nhèo nhẹo [𠸨]	U+20C09
𠰉	réo	𠰉𬨠 réo lên · 叫𠰉 kêu réo · 𠰉噲 réo gọi	
𠰉	giéo	𠰉㗭 giéo giắt [𠸨]	⇔ 𠰉 réo
