# 常用标准汉喃字表
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共7164字（读音不同等，部分字分立多条，合计8928条）
# https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html
# 𡨸漢喃	音讀	Unicode	𥱬註	譬喻

䑈	nạc	U+4448		𰈒䑈 nục nạc [𠸨]
匿	NẶC	U+533F		匿名 nặc danh
喏	nặc	U+558F	[翻]	濃喏 nồng nặc
腋	nách	U+814B		氍𠓨腋 cù vào nách
抳	nai	U+62B3	[翻]	抳𦄇 nai nịt
狔	nai	U+72D4		㹯狔 hươu nai
埿	nai	U+57FF		埿𨢇 nai rượu
二	nái	U+4E8C	⇔ 二 lái	二 nái
𤜠	nái	U+24720		𤞼𤜠 lợn nái
𧈣	nái	U+27223		螻𧈣 sâu nái
𥾋	nái	U+25F8B		𫄎𥾋 lụa nái · 裙𥾋 quần nái
奈	nài	U+5948		押奈 ép nài · 奈馭 nài ngựa · 奈𪡇 nài nỉ [𠸨] · 叫奈 kêu nài
㭁	nải	U+3B41		𢬣㭁 tay nải · 㭁荎 nải chuối · 𬓐㭁 trễ nải
奈	NẠI	U+5948		橋奈何 cầu Nại Hà
耐	NẠI	U+8010		忍耐 nhẫn nại
𭝎	nại	U+2D74E		拯𭝎艱勞 chẳng nại gian lao
男	NAM	U+7537		男女 nam nữ · 男生 nam sinh
南	NAM	U+5357	[翻]	方南 phương nam · 東南 đông nam
𠄼	năm	U+2013C		𠄼𱑕 năm mươi · 計劃𠄼𢆥 kế hoạch năm năm
𢆥	năm	U+221A5		𢆥㵋 năm mới · 𢆥𣎃 năm tháng
菍	nấm	U+83CD	[翻]	菍香 nấm hương · 菍稴 nấm rơm
𡎜	nấm	U+2139C		𡎜墓 nấm mồ
汭	nầm	U+6C6D	⇔ 汭 nập	汭汭 nầm nập [𠸨]
捻	nắm	U+637B		捻𡨺 nắm giữ · 捻𢬣 nắm tay · 捻𢡠 nắm chắc · 捻炭 nắm than
㑲	nằm	U+3472	[異] 𦣰	㑲𥄬 nằm ngủ · 咹㑲 ăn nằm
捻	nạm	U+637B	⇔ 捻 nắm	捻𥽌 nạm gạo
腩	nạm	U+8169		𬖾腩 phở nạm [摱]
錜	nạm	U+931C		錜鐄 nạm vàng
難	NAN	U+96E3		艱難 gian nan · 危難 nguy nan
𥸁	nan	U+25E01		𥸁𥯌 nan tre
儺	nán	U+513A		儺徠 nán lại · 𱖗儺添 ngồi nán thêm
難	nàn	U+96E3		𡃎難 phàn nàn · 隢難 nghèo nàn
𡅧	năn	U+21167	[翻]	咹𡅧 ăn năn · 𡅧𪡇 năn nỉ [𠸨]
𮐝	năn	U+2E41D	⇔ 𮐝 năng	
赧	nấn	U+8D67		赧哪 nấn ná
嫨	nần	U+5AE8	[翻]	𧴱嫨 nợ nần
𠼶	nắn	U+20F36		捥𠼶 uốn nắn
𡅧	nằn	U+21167	⇔ 𡅧 năn[翻]	𡅧𪡇 nằn nì [𠸨]
𢥪	nản	U+2296A		𢥇𢥪 chán nản
難	NẠN	U+96E3		避難 tị nạn · 困難 khốn nạn · 災難 tai nạn · 難人 nạn nhân
攤	nặn	U+6524		攤像 nặn tượng
榔	nang	U+6994		𣘃榔 cây nang
囊	NANG	U+56CA		錦囊 cẩm nang
娘	nàng	U+5A18		娘仙 nàng tiên · 娘妯 nàng dâu
㨢	nâng	U+3A22	[翻]	㨢𬨠 nâng lên · 𢬣㨢卬𣮮 tay nâng ngang mày
能	NĂNG	U+80FD	[翻]	能動 năng động · 能竅 năng khiếu · 可能 khả năng
𠹌	năng	U+20E4C		𠡏𠹌 siêng năng · 𠹌抇𬘋𣖾 năng nhặt chặt bị
𮐝	năng	U+2E41D		𦹯𮐝 cỏ năng · 榘𮐝 củ năng
饢	nấng	U+9962		𩝺饢 nuôi nấng [𠸨]
𣌝	nắng	U+2331D		浸𣌝 tắm nắng
㑷	nằng	U+3477		㑷喏 nằng nặc [𠸨]
㶞	nẵng	U+3D9E		沱㶞 Đà Nẵng
𣡤	nạng	U+23864		𢶢𣡤 chống nạng · 𣡤𢬣𣡤蹎 nạng tay nạng chân
𥘀	nặng	U+25600		𥘀𤹘 nặng nhọc · 𥘀𢚸 nặng lòng · 𨁪𥘀 dấu nặng
𤘓	nanh	U+24613		𤘓𤢇 nanh vuốt · 𤘓䱸 nanh sấu · 𤘓蝳 nanh nọc
𧰗	nành	U+27C17		豆𧰗 đậu nành
𱜢	nao	U+31722	⇔ 𱜢 nào	坭𱜢 nơi nao
㝹	nao	U+3779		㝹𨆞 nao núng [𠸨] · 𠷀㝹 nôn nao
鬧	NÁO	U+9B27		鬧動 náo động · 鬧熱 náo nhiệt · 鬧𱕔 náo nức
𱜢	nào	U+31722	[異] 鬧	勢𱜢 thế nào · 𣈜𱜢 ngày nào · 𠫾𱜢 đi nào
惱	NÃO	U+60F1		苦惱 khổ não · 惱𢚸 não lòng · 惱憹 não nùng · 懊惱 ảo não
瑙	NÃO	U+7459	[翻]	瑪瑙 mã não
腦	NÃO	U+8166		動腦 động não · 大腦 đại não · 洗腦 tẩy não · 龍腦 long não
鐃	nạo	U+9403		鐃鈸 nạo bạt · 𣘃鐃擒窒𢡠𢬣 cây nạo cầm rất chắc tay · 鐃𣛭𣛭 nạo đu đủ
𩄵	nấp	U+29135		隱𩄵 ẩn nấp
蒳	nắp	U+84B3	[翻]	蒳𡑵 nắp vung · 拫蒳 ngăn nắp
十	nạp	U+5341	數點𥪝㗂㑝俚𤞼。 Số đếm trong tiếng lóng lái lợn.	十 nạp
納	NẠP	U+7D0D		容納 dung nạp · 接納 tiếp nạp · 歸納 quy nạp · 收納 thu nạp
汭	nập	U+6C6D	[翻]	漝汭 tấp nập
捏	nát	U+634F	[異] 涅	𭬙捏 mục nát · 捏散 nát tan · 捏𥇂 nát bét · 詘捏 dốt nát
㖏	nạt	U+358F	[翻]	㖏怒 nạt nộ [𠸨] · 扒㖏 bắt nạt
蓐	náu	U+84D0		隱蓐 ẩn náu
𣘽	nâu	U+2363D	[翻]	榘𣘽 củ nâu · 𦭷𣘽 màu nâu
𤍇	nấu	U+24347	[異] 𤒛	𤍇𤇪 nấu chín
𤊲	nẫu	U+242B2		𤇪𤊲 chín nẫu · 𤊲𠽋 nẫu nực · 𤊲㑚 nẫu nà
𢟹	nẫu	U+227F9	⇔ 𢟹 nẩu	
耨	nậu	U+8028		頭耨 đầu nậu · 襖耨 áo nậu
𫢩	nay	U+2B8A9		現𫢩 hiện nay · 𣋚𫢩 hôm nay
𢖱	náy	U+225B1		曖𢖱 áy náy [𠸨]
尼	này	U+5C3C		旬尼 tuần này · 尼低 này đây
𣅅	nãy	U+23145		班𣅅 ban nãy · 𣅶𣅅 lúc nãy · 欺𣅅 khi nãy
乃	nấy	U+4E43	[翻]	埃乃 ai nấy
尼	nầy	U+5C3C	⇔ 尼 này	
䄧	nảy	U+4127		䄧生 nảy sinh · 䟢䄧 giãy nảy
䄧	nẩy	U+4127	⇔ 䄧 nảy	
迡	né	U+8FE1		𦵗迡 ké né [𠸨]
儞	né	U+511E		儞𨉟 né mình · 儞𠬉 né tránh
呢	nè	U+5462	[翻]	吶𦖑呢 nói nghe nè
柅	nê	U+67C5		𣘃柅 cây nê
𩚯	nê	U+296AF		𩛂𩚯 no nê · 錢𡀳𩚯、空懝 Tiền còn nê, không ngại · 𥙩𩚯 lấy nê
怩	nề	U+6029		怩苛 nề hà · 空怩艱勞 không nề gian lao
𡋂	nề	U+212C2	⇔ 𡋂 nền	𡋂䌰 nề nếp [𠸨]
胒	nề	U+80D2		浮胒 phù nề · 𩈘胒 mặt nề
𪿗	nề	U+2AFD7		𠏲𪿗 thợ nề · 𪿗墻 nề tường · 𥘀𪿗 nặng nề [𠸨]
𦕗	nẻ	U+26557		㘿𦕗 nứt nẻ
𢘝	nể	U+2261D		𠼤𢘝 kiêng nể · 敬𢘝 kính nể
泥	NỆ	U+6CE5		拘泥 câu nệ
泥	nệ	U+6CE5		憩泥 khệ nệ
逽	nếch	U+903D	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
㨥	nem	U+3A25	⇔ 㨥 nép	㨥㨥 nem nép [𠸨]
揇	ném	U+63C7	[翻]	揇𠰏 ném bom
𣑻	nêm	U+2347B		㨂𣑻 đóng nêm · 𣑻𢱝 nêm chốt · 𬘋如𣑻 chặt như nêm
𨡯	nêm	U+2886F		𨡯羹 nêm canh · 𩻐𨡯 mắm nêm
𫫞	nếm	U+2BADE		𫫞𱱇 nếm trải · 㑲荄𫫞𦟽 nằm gai nếm mật
𧛋	nệm	U+276CB		㑲𧛋 nằm nệm · 𧛋唏 nệm hơi
𦮴	nén	U+26BB4	[翻]	榘𦮴 củ nén · 𦮴鐄 nén vàng · 𦮴香 nén hương
搌	nén	U+640C		拵搌 dồn nén
𨫀	nén	U+28AC0	單位𢵋 đơn vị đo	𠬠𨫀 một nén
𢧚	nên	U+229DA		𫜵𢧚 làm nên · 朱𢧚 cho nên · 咹𢧚𫜵𫥨 ăn nên làm ra
𪰟	nến	U+2AC1F		𣘃𪰟 cây nến · 畑𪰟 đèn nến · 紙𪰟 giấy nến
𡋂	nền	U+212C2	[異] 𪤍	𡋂茹 nền nhà · 𡋂𡐙 nền đất · 樂𡋂 nhạc nền
𢬧	nện	U+22B27		𢬧𡐙 nện đất · 𢬧𡲫 nện vải · 𢬧劕 nện chặt · 𢬧朱𠬠丐 nện cho một cái
儜	nênh	U+511C	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
釖	neo	U+91D6		㖼釖 mỏ neo · 釖逗 neo đậu · 抯釖 thả neo
𱒡	nèo	U+314A1		撟𱒡 kèo nèo [𠸨]
𡑩	nẻo	U+21469		𨷯𡑩 cửa nẻo · 𡑩塘 nẻo đường · 𡑩賒 nẻo xa · 每𠊛𠬠𡑩 mỗi người một nẻo
㨥	nép	U+3A25		𢬱㨥 khép nép · 㨥𬺗 nép xuống
䌰	nếp	U+4330	[翻]	𡋂䌰 nền nếp · 䌰𤯩 nếp sống · 䌰茹 nếp nhà · 䌰襖 nếp áo
𬗂	nếp	U+2C5C2		咹𬗂 ăn nếp · 𥽌𬗂 gạo nếp · 𬗂丐 nếp cái · 𨢇𬗂 rượu nếp · 𬗂粃 nếp tẻ · 穭𬗂 lúa nếp
涅	nét	U+6D85	[翻]	涅筆 nét bút · 塘涅 đường nét · 涅𩈘 nét mặt · 察涅 xét nét
𢟗	nết	U+227D7		𢟗那 nết na · 仄𢟗 trắc nết · 性𢟗 tính nết
𠹑	nẹt	U+20E51		𠴓𠹑 đe nẹt
𪲍	nêu	U+2AC8D	[翻]	𣘃𪲍 cây nêu · 𪲍高 nêu cao
裊	nếu	U+88CA		裊𦓡 nếu mà · 裊時 nếu thì
俄	NGA	U+4FC4	[翻]	聯邦俄 Liên bang Nga
莪	nga	U+83AA		𦹯莪 cỏ nga
哦	NGA	U+54E6		吟哦 ngâm nga
峨	NGA	U+5CE8		巍峨 nguy nga
娥	NGA	U+5A25		仙娥 tiên nga · 𫰟娥 Hằng Nga
鵝	NGA	U+9D5D		天鵝 thiên nga
玡	ngà	U+73A1		玉玡 ngọc ngà · 塔玡 tháp ngà · 坡㴜玡 Bờ Biển Ngà
我	NGÃ	U+6211		本我 bản ngã
𨁟	ngã	U+2805F	[異] 我	𨁟𬺗 ngã xuống · 𨁟𡂂 ngã ngửa · 𨁟四 ngã tư · 𨁪𨁟 dấu ngã
㧴	ngả	U+39F4		㧴𱎸 ngả nghiêng
愕	ngác	U+6115	[翻]	𢠐愕 ngơ ngác [𠸨]
鱳	ngác	U+9C73		𩵜鱳 cá ngác
𥔲	ngắc	U+25532		𥔲迯 ngắc ngoải · 𥔲語 ngắc ngứ · 㑋𥔲 ngúc ngắc
㗁	ngạc	U+35C1		㗁𦙥 ngạc họng
愕	NGẠC	U+6115	[翻]	愕然 ngạc nhiên · 驚愕 kinh ngạc
腭	NGẠC	U+816D		腭化 ngạc hoá
鱷	NGẠC	U+9C77		鯨鱷 kình ngạc
𡿃	ngách	U+21FC3		逧𡿃 ngóc ngách · 𡉦𡿃 ngõ ngách
額	NGẠCH	U+984D		外額 ngoại ngạch · 金額 kim ngạch · 額堛 ngạch bậc
皚	ngai	U+769A	[翻]	皚鐄 ngai vàng
𠊎	ngái	U+2028E		𠊛𠊎 người Ngái
𧍋	ngài	U+2734B		𡥵𧍋 con ngài
懝（𪫢）	ngài	U+61DD U+2AAE2	⇔ 懝 ngại	懝懝 ngài ngại [𠸨]
𫣅	ngài	U+2B8C5		各𫣅 các ngài
義（𱻊）	ngãi	U+7FA9 U+31ECA		廣義 Quảng Ngãi · 貪鐄𠬃義 tham vàng bỏ ngãi
艾	NGẢI	U+827E		艾灸 ngải cứu · 針艾 châm ngải
懝（𪫢）	ngại	U+61DD U+2AAE2		㥋懝 e ngại · 懝㥥 ngại ngùng · 𢥈懝 lo ngại
礙（𪿒）	NGẠI	U+7919 U+2AFD2		阻礙 trở ngại · 障礙 chướng ngại
儑	ngam	U+5111	⇔ 儑 ngám	儑儑 ngam ngám [𠸨]
儑	ngám	U+5111		儑儑 ngam ngám [𠸨]
吟	ngâm	U+541F	[翻]	吟哦 ngâm nga · 吟詩 ngâm thơ · 吟詠 ngâm vịnh
汵	ngâm	U+6C75		茄汵𩻐 cà ngâm mắm · 汵𩵽 ngâm tôm
黔	ngăm	U+9ED4		黔黔黰 ngăm ngăm đen
澿	ngấm	U+6FBF		澿渃 ngấm nước
汲	ngầm	U+6C72	⇔ 汲 ngập	汲汲 ngầm ngập [𠸨]
砛	ngầm	U+781B		艚砛 tàu ngầm · 澿砛 ngấm ngầm [𠸨]
𥋴	ngắm	U+252F4	[翻]	𥋴𤢇 ngắm vuốt
𡄎	ngẫm	U+2110E		𡄎擬 ngẫm nghĩ · 研𡄎 nghiền ngẫm
儼	ngẩm	U+513C		心儼 tâm ngẩm · 𩜽儼 ngán ngẩm [𠸨]
唅	ngậm	U+5505		唅𠿯 ngậm ngùi · 唅秱 ngậm đòng
𩜽	ngan	U+2973D	⇔ 𩜽 ngán	𩜽𩜽 ngan ngán [𠸨]
𪃛	ngan	U+2A0DB		𪃛𪄌 ngan ngỗng
𩜽	ngán	U+2973D		嗷𩜽 ngao ngán · 𢥇𩜽 chán ngán · 𩜽儼 ngán ngẩm [𠸨]
嵃	ngàn	U+5D43	[翻][異] 岸	𡶀嵃 núi ngàn · 越𤂬𬦋嵃 vượt suối băng ngàn
𠦳	ngàn	U+209B3	⇔ 𠦳 nghìn	
銀	ngân	U+9280		銀哦 ngân nga
銀	NGÂN	U+9280		銀行 ngân hàng · 銀兩 ngân lượng · 水銀 thuỷ ngân · 銀庫 ngân khố
拫	ngăn	U+62EB		拫浱 ngăn chặn · 拫禦 ngăn ngừa
𠦯	ngăn	U+209AF	⇔ 𠦯 ngắn	𠦯𠦯 ngăn ngắn [𠸨]
痕	ngấn	U+75D5		𤵖痕 vết ngấn · 痕渃 ngấn nước
垠	ngần	U+57A0	[翻]	無垠 vô ngần · 頻垠 tần ngần
銀	ngần	U+9280		𤽸銀 trắng ngần
𠦯	ngắn	U+209AF	[異] 𥐆	𠦯𨱽 ngắn dài · 𠦯哎 ngắn ngủi [𠸨] · 排𢪏𠦯 bài viết ngắn · 時間𠦯 thời gian ngắn
慬	ngẩn	U+616C		𢠐慬 ngơ ngẩn
岸	NGẠN	U+5CB8		右岸 hữu ngạn · 左岸 tả ngạn
諺	NGẠN	U+8AFA		諺語 ngạn ngữ
卬	ngang	U+536C		𨖅卬 sang ngang · 聲卬 thanh ngang
昂	NGANG	U+6602	[翻]	昂藏 ngang tàng · 昂然 ngang nhiên · 軒昂 hiên ngang
𠵫	ngàng	U+20D6B		𢣸𠵫 ngỡ ngàng
昂	ngãng	U+6602	[翻]	迎昂 nghễnh ngãng [𠸨]
仰	ngẩng	U+4EF0		仰頭 ngẩng đầu · 仰𬨠 ngẩng lên
肯	ngẳng	U+80AF		肯𠰋 ngẳng nghiu [𠸨]
梗	ngành	U+6897		𦰟梗 ngọn ngành · 梗工業 ngành công nghiệp · 共梗 cùng ngành
硬	NGẠNH	U+786C		剛硬 cương ngạnh
樈	ngạnh	U+6A08		怏樈 ương ngạnh · 箭固樈 tên có ngạnh · 樈𩵜𩵾 ngạnh cá trê
𩺿	ngạnh	U+29EBF		𩵜𩺿 cá ngạnh
遨	NGAO	U+9068		遨遊 ngao du
嗷	ngao	U+55F7		嘵嗷 nghêu ngao · 喝嗷 hát ngao
獒	NGAO	U+7352		㹥獒 chó ngao
螯	ngao	U+87AF		𡥵螯 con ngao
獓	ngáo	U+7353		𡥵獓 con ngáo · 獓𧋾 ngáo ộp · 忤獓 ngổ ngáo · 獓𥒥 ngáo đá
𢳆	ngào	U+22CC6		𢳆糖 ngào đường · 𢳆𢶿 ngào trộn · 𠿸𢳆 ngạt ngào [𠸨] · 𤮾𢳆 ngọt ngào [𠸨]
傲	NGẠO	U+50B2	[翻]	傲慢 ngạo mạn · 傲𢣂 ngạo nghễ · 傲逆 ngạo ngược
哈	ngáp	U+54C8	[翻]	哈𨱽 ngáp dài
𥄫	ngấp	U+2512B	⇔ 𥄫 gấp	
汲	ngập	U+6C72	[翻]	危汲 nguy ngập · 𣼼汲 tràn ngập · 汲頭 ngập đầu · 汲凝 ngập ngừng [𠸨]
𬳜	ngát	U+2CCDC		八𬳜 bát ngát · 𦹳𬳜 thơm ngát · 𬳜香 ngát hương · 𩂁𬳜 ngút ngát
𡴯	ngất	U+21D2F	[翻]	𡴯𡗶 ngất trời
𤴥	ngất	U+24D25		𤷙𤴥 ngây ngất · 𡴯殮 ngất lịm
𠖯	ngắt	U+205AF		𦻳𠖯 tím ngắt · 冷𠖯 lạnh ngắt
𢪰	ngắt	U+22AB0		𢪰𠳒 ngắt lời · 𢪰葻花 ngắt bông hoa
𠿸	ngạt	U+20FF8	[翻]	𠮾𠿸 ngột ngạt [𠸨] · 𠿸𢳆 ngạt ngào [𠸨]
扢	ngặt	U+6262		嚴扢 nghiêm ngặt
噑	ngau	U+5651	⇔ 噑 ngáu	噑噑 ngau ngáu [𠸨]
噑	ngáu	U+5651		噑噑 ngau ngáu [𠸨]
噑	ngâu	U+5651	⇔ 噑 ngấu	噑噑 ngâu ngấu [𠸨]
噑	ngấu	U+5651		噑噑 ngâu ngấu [𠸨]
𣿃	ngấu	U+23FC3		𩻐𣿃 mắm ngấu · 𣿃哯 ngấu nghiến
五	ngầu	U+4E94		四五 xí-ngầu [摱]
湡	ngầu	U+6E61	[翻]	濁湡 đục ngầu · 矓窒湡 trông rất ngầu
偶	NGẪU	U+5076		配偶 phối ngẫu
𠿄	ngậu	U+20FC4		𠿄𬽾 ngậu xị
𠵨	ngay	U+20D68	⇔ 𠵨 ngáy	𠵨𠵨 ngay ngáy [𠸨]
𬆄	ngay	U+2C184	[異] 𣦍	𬆄𣦎 ngay thẳng · 𬆄實 ngay thật · 𧷸𬆄 mua ngay
𠵨	ngáy	U+20D68		𠵨𠵨 ngay ngáy [𠸨] · 𠵨哺哺 ngáy pho pho
𣈜	ngày	U+2321C	[異] 𣈗	𣈜𫢩 ngày nay · 𣈜𣎃 ngày tháng · 恆𣈜 hằng ngày
𰟅	ngây	U+307C5	⇔ 𰟅 ngấy	
𤷙	ngây	U+24DD9		𤷙悞 ngây ngô [𠸨]
𰟅	ngấy	U+307C5		𰟅焠 ngấy sốt · 𰟅𰟅 ngây ngấy [𠸨]
蔇	ngấy	U+8507		𣘃蔇 cây ngấy · 𠹗蔇 chát ngấy · 蔇香 ngấy hương
慨	ngấy	U+6168		𢥇慨 chán ngấy
𠵌	ngầy	U+20D4C		𠵌玡 ngầy ngà [𠸨]
𦡡	ngậy	U+26861		脿𦡡 béo ngậy
𦖑	nghe	U+26591		𦖑𥍎 nghe ngóng · 𢠯𦖑 lắng nghe · 𦖑吶 nghe nói
𥇚	nghé	U+251DA	⇔ 𥇚 ghé	
犠（𤚇）	nghé	U+72A0 U+24687		𡥵犠 con nghé
𠊙	nghè	U+20299	[翻]	翁𠊙 ông nghè · 𠊙𥾘 nghè sợi
倪	NGHÊ	U+502A		𣱆倪 họ Nghê · 悞倪 ngô nghê [𠸨] · 𥄬倪 ngủ nghê [𠸨]
猊	NGHÊ	U+730A		狻猊 toan nghê · 𡥵猊 con nghê
鯢	NGHÊ	U+9BE2		鯨鯢 kình nghê
藝（芸）	nghề	U+85DD U+82B8		藝業 nghề nghiệp · 藝農 nghề nông
𢣂（𱞦）	nghễ	U+228C2 U+317A6		傲𢣂 ngạo nghễ
𤈝	nghẹ	U+2421D		𤮗𤈝 lọ nghẹ
乂	NGHỆ	U+4E42		乂安 Nghệ An
艾	NGHỆ	U+827E		榘艾 củ nghệ · 艾西 nghệ tây
藝（芸）	NGHỆ	U+85DD U+82B8		藝術 nghệ thuật · 工藝 công nghệ · 才藝 tài nghệ
𥉥	nghếch	U+25265	[翻]	呆𥉥 ngốc nghếch
𪭄	nghệch	U+2AB44		𩈘𪭄 mặt nghệch · 㘈𪭄 ngờ nghệch · 𪭄愕 nghệch ngạc [𠸨]
噖	nghêm	U+5656	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
𪦎	nghén	U+2A98E		胎𪦎 thai nghén
垷	nghẽn	U+57B7		塞垷 tắc nghẽn
喭	nghẹn	U+55AD	[翻]	喭𢳆 nghẹn ngào
喭	nghện	U+55AD	[翻]	𥪯喭 nghễu nghện [𠸨]
迎	NGHÊNH	U+8FCE	⇔ 迎 nghinh[翻]	歡迎 hoan nghênh · 恭迎 cung nghênh · 迎接 nghênh tiếp · 迎敵 nghênh địch · 迎迍 nghênh đón · 迎昂 nghênh ngang
迎	nghễnh	U+8FCE	[翻]	迎昂 nghễnh ngãng [𠸨]
隢	nghèo	U+96A2	[翻][異] 𠨪 堯 嶤	險隢 hiểm nghèo · 隢難 nghèo nàn · 民隢 dân nghèo
撓	nghẽo	U+6493		扢撓 ngặt nghẽo [𠸨]
撓	nghẹo	U+6493		扢撓 ngặt nghẹo [𠸨]
㳉	nghét	U+3CC9		㐳㳉 ngót nghét
𢌎	nghẹt	U+2230E	[翻]	𢌎咀 nghẹt thở
嘵	nghêu	U+5635		嘵嗷 nghêu ngao
蟯	nghêu	U+87EF		𡥵蟯 con nghêu
𥪯	nghễu	U+25AAF		𥪯喭 nghễu nghện [𠸨]
嶢	nghểu	U+5DA2		𡴯嶢 ngất nghểu [𠸨]
宜	NGHI	U+5B9C		便宜 tiện nghi · 適宜 thích nghi
疑（𢯕）	NGHI	U+7591 U+22BD5		疑㘈 nghi ngờ · 懷疑 hoài nghi · 疑問 nghi vấn · 疑惑 nghi hoặc
儀（𱎹）	NGHI	U+5100 U+313B9		儀式 nghi thức · 禮儀 lễ nghi
霓	nghi	U+9713	[翻]	霓𩂁 nghi ngút
𠵌	nghí	U+20D4C		𠵌𨀑 nghí ngoáy [𠸨]
義（𱻊）	nghì	U+7FA9 U+31ECA		不義 bất nghì · 仍仉無義 những kẻ vô nghì
擬（𢪀）	nghĩ	U+64EC U+22A80		意擬 ý nghĩ · 推擬 suy nghĩ · 𡄎擬 ngẫm nghĩ
儗（𱎢）	nghỉ	U+5117 U+313A2		儗𢯕 nghỉ ngơi · 儗法 nghỉ phép
誼	NGHỊ	U+8ABC		友誼 hữu nghị
毅	NGHỊ	U+6BC5		剛毅 cương nghị · 堅毅 kiên nghị
議（𬢱）	NGHỊ	U+8B70 U+2C8B1		提議 đề nghị · 議院 nghị viện
𥊘	nghía	U+25298		𥋴𥊘 ngắm nghía
義（𱻊）	NGHĨA	U+7FA9 U+31ECA		意義 ý nghĩa · 義務 nghĩa vụ · 情義 tình nghĩa
逆	nghịch	U+9006	[翻]	逆𤼔 nghịch ngợm · 𥘷逆𡐙 trẻ nghịch đất
逆	NGHỊCH	U+9006	[翻]	忤逆 ngỗ nghịch · 逆境 nghịch cảnh · 逆向 nghịch hướng · 逆子 nghịch tử · 逆賊 nghịch tặc · 反逆 phản nghịch
嚴	NGHIÊM	U+56B4		嚴毅 nghiêm nghị · 嚴整 nghiêm chỉnh · 嚴明 nghiêm minh · 嚴禁 nghiêm cấm · 莊嚴 trang nghiêm
儼	NGHIỄM	U+513C		儼然 nghiễm nhiên
驗	NGHIỆM	U+9A57		效驗 hiệu nghiệm · 測驗 trắc nghiệm · 檢驗 kiểm nghiệm · 經驗 kinh nghiệm · 㧗驗 thử nghiệm · 試驗 thí nghiệm
研	NGHIÊN	U+7814		研究 nghiên cứu
硯	NGHIÊN	U+786F		丐硯 cái nghiên · 筆硯 bút nghiên
哯	nghiến	U+54EF		哯𪘵 nghiến răng · 𣿃哯 ngấu nghiến · 𠸂哯 nuốt nghiến
研	nghiền	U+7814		研𡄎 nghiền ngẫm · 研𫇿 nghiền thuốc · 研捏𫥨 nghiền nát ra · 研𫥨勃 nghiền ra bột
𢞆	nghiền	U+22786	⇔ 𢞆 nghiện	
𢞆	nghiện	U+22786		戒𢞆 cai nghiện
𱎸	nghiêng	U+313B8		㧴𱎸 ngả nghiêng · 𱎸𡂂 nghiêng ngửa
業	NGHIỆP	U+696D		事業 sự nghiệp · 工業 công nghiệp · 同業 đồng nghiệp
孽	NGHIỆT	U+5B7D		孽報 nghiệt báo · 孽障 nghiệt chướng · 孽𨁟 nghiệt ngã [𠸨]
㘙	nghỉm	U+3619		沈㘙 chìm nghỉm · 𤎕㘙 tắt nghỉm
𠦳	nghìn	U+209B3	[翻]	𨷈𠦳 muôn nghìn · 𠦳斤撩𥾘𩯀 nghìn cân treo sợi tóc
𠑦	nghìn	U+20466	⇔ 𠑦 nghịt	𠑦𠑦 nghìn nghịt [𠸨]
頸	nghĩnh	U+9838		唔頸 ngộ nghĩnh [𠸨]
𠾶	nghỉnh	U+20FB6	⇔ 𠾶 khỉnh	𠺱𠾶 ngủng nghỉnh [𠸨]
𠑦	nghịt	U+20466		𠑦𪖫 nghịt mũi · 黰𠑦 đen nghịt · 佟𠑦 đông nghịt · 𠑦𠑦 nghìn nghịt [𠸨]
𠰋	nghiu	U+20C0B		肯𠰋 ngẳng nghiu [𠸨]
憢	nghỉu	U+61A2		鐎憢 tiu nghỉu
憢	nghịu	U+61A2		𢗾憢 ngượng nghịu [𠸨] · 𡅑憢 ngọng nghịu [𠸨]
𢫸	ngo	U+22AF8		𢫸㧪 ngo ngoe
𥄭	ngó	U+2512D		𥄭𧡊 ngó thấy · 𥄭𱎸 ngó nghiêng · 𥄭𨀑 ngó ngoáy [𠸨]
藕	ngó	U+85D5		藕蓮 ngó sen · 藕𧃷 ngó khoai
茣	ngò	U+8323		蔞茣 rau ngò
吳	NGÔ	U+5433	[翻]	𣘃吳 cây ngô · 𤊡吳 bỏng ngô · 𣱆吳 họ Ngô
悞	ngô	U+609E		悞倪 ngô nghê · 𤷙悞 ngây ngô [𠸨]
梧	NGÔ	U+68A7		梧桐 ngô đồng · 魁梧 khôi ngô
蜈	NGÔ	U+8708		蜈蚣 ngô công
𡉦	ngõ	U+21266		𨷯𡉦 cửa ngõ · 𢴗𡉦 dạm ngõ
唔	ngồ	U+5514	⇔ 唔 ngộ	唔唔 ngồ ngộ [𠸨]
忤	NGỖ	U+5FE4		忤逆 ngỗ nghịch · 忤逆 ngỗ ngược
吘	ngỏ	U+5418		吘意 ngỏ ý · 書吘 thư ngỏ · 𠬃吘 bỏ ngỏ
𢠐	ngơ	U+22810		𢠐慬 ngơ ngẩn · 𢠐愕 ngơ ngác [𠸨]
𦬶	ngổ	U+26B36		蔞𦬶 rau ngổ
