# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

变	⿱亦又	U+53D8-E0101	ME-53D8-001		異體字
啗	⿰口⿱刀臼	U+5557-E0102	ME-5557-001	MAC-00115	異體字；中文電碼0798
啚	⿳口十回	U+555A-E0105	ME-555A-001	MAC-00079	異體字；人名，身份證明局
啟	⿰启攵	U+555F-E0101	ME-555F-001		異體字
啫	⿰口者	U+556B-E0101	ME-556B-001	MAC-00108	異體字；法務局(撤回)
嚤	⿰口摩	U+56A4-E0101	ME-56A4-001		異體字
姸	⿰女幵	U+59F8-E0102	ME-59F8-001		異體字
嫏	⿰女郞	U+5ACF-E0102	ME-5ACF-001		異體字
岍	⿰山幵	U+5C8D-E0103	ME-5C8D-001		異體字
岭	⿰山令	U+5CAD-E0102	ME-5CAD-001		異體字
廸	⿺廴由	U+5EF8-E0104	ME-5EF8-001	MAC-00089	異體字；公司名，財政局
录	⿱彐水	U+5F55-E0103	ME-5F55-001	MAC-00072	異體字；人名，教青局(撤回)
拐	⿰扌另	U+62D0-E0106	ME-62D0-001		異體字
植	⿰木⿱十⿺𠃊⿵冃一	U+690D-E0107	ME-690D-001		異體字
樋	⿰木通	U+6A0B-E0105	ME-6A0B-001		異體字
汧	⿰氵幵	U+2F8FE (U+6C67-E0105)	ME-6C67-001	MAC-00095	異體字
淎	⿰氵奉	U+6DCE-E0102	ME-6DCE-001		異體字
瀞	⿰氵靜	U+701E-E0109	ME-701E-001		異體字
熮	⿰火翏	U+71AE-E0102	ME-71AE-001		異體字
熻	⿰火翕	U+71BB-E0101	ME-71BB-001		異體字
爕	⿱⿲火言火火	U+7215-E0102	ME-7215-001		異體字
真	⿳十且八	U+771F-E0109	ME-771F-001		異體字
硏	⿰石幵	U+784F-E0104	ME-784F-001		異體字
窰	⿱穴䍃	U+7AB0-E0102	ME-7AB0-001		異體字
筑	⿱竹巩	U+7B51-E0106	ME-7B51-001		異體字
綉	⿰糹秀	U+7D89-E0102	ME-7D89-001		異體字
綫	⿰糹戔	U+7DAB-E0102	ME-7DAB-001		異體字
翬	⿱羽軍	U+7FEC-E0102	ME-7FEC-001		異體字
翱	⿰皋羽	U+7FF1-E0101	ME-7FF1-001		異體字
翺	⿰臯羽	U+7FFA-E0102	ME-7FFA-001		異體字
翺	⿰臯羽	U+7FFA-E0103	ME-7FFA-002		異體字
茺	⿱艹充	U+833A-E0104	ME-833A-001		異體字
菁	⿱艹靑	U+83C1-E0107	ME-83C1-001		異體字
蒨	⿱艹倩	U+84A8-E0106	ME-84A8-001		異體字
蔴	⿱艹麻	U+8534-E0104	ME-8534-001		異體字
